split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,cusum,critical,258,35,0.1356589147286821,64,10.928946456944445,5.856008193665664,18.04564014285715,50.00577700000002
split_00,0,existing_fusion,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,k_of_n,advisory,258,21,0.0813953488372093,180,10.928946456944445,16.47002304468468,5.848879666666669,26.016403
split_00,0,existing_fusion,cusum,advisory,258,59,0.2286821705426356,188,10.928946456944445,17.20202406889289,14.890212542372876,36.845284
split_00,0,ml9_fusion,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,cusum,critical,258,32,0.1240310077519379,64,10.928946456944445,5.856008193665664,19.31714446875,52.83922100000001
split_00,0,ml9_fusion,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,k_of_n,advisory,258,22,0.0852713178294573,186,10.928946456944445,17.019023812840835,5.993892318181818,26.016403
split_00,0,ml9_fusion,cusum,advisory,258,61,0.2364341085271318,187,10.928946456944445,17.110523940866862,14.279054196721304,36.845284
split_00,0,motor_simetrisi,threshold,critical,258,0,0.0,25,10.928946456944445,2.28750320065065,,
split_00,0,motor_simetrisi,k_of_n,critical,258,1,0.003875968992248,31,10.928946456944445,2.8365039688068063,60.09712000000002,60.09712000000002
split_00,0,motor_simetrisi,cusum,critical,258,2,0.0077519379844961,19,10.928946456944445,1.738502432494494,74.9761585,102.961118
split_00,0,motor_simetrisi,threshold,advisory,258,7,0.0271317829457364,100,10.928946456944445,9.1500128026026,29.30615428571428,59.095669999999984
split_00,0,motor_simetrisi,k_of_n,advisory,258,5,0.0193798449612403,55,10.928946456944445,5.032507041431431,21.462093800000016,60.09712000000002
split_00,0,motor_simetrisi,cusum,advisory,258,11,0.0426356589147286,85,10.928946456944445,7.77751088221221,43.12234272727271,114.995652
split_00,0,chronos_motor,threshold,critical,258,0,0.0,1,10.928946456944445,0.091500128026026,,
split_00,0,chronos_motor,k_of_n,critical,258,14,0.0542635658914728,89,10.928946456944445,8.143511394316315,19.646411571428565,68.03013099999998
split_00,0,chronos_motor,cusum,critical,258,12,0.0465116279069767,34,10.928946456944445,3.1110043528848843,16.071426166666658,57.092491
split_00,0,chronos_motor,threshold,advisory,258,21,0.0813953488372093,69,10.928946456944445,6.313508833795795,16.03368014285714,90.963522
split_00,0,chronos_motor,k_of_n,advisory,258,26,0.1007751937984496,159,10.928946456944445,14.548520356138134,20.484462846153843,103.97749699999996
split_00,0,chronos_motor,cusum,advisory,258,38,0.1472868217054263,163,10.928946456944445,14.91452086824224,19.930188999999995,113.103864
split_00,0,ml10_fusion,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml10_fusion,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml10_fusion,cusum,critical,258,34,0.1317829457364341,63,10.928946456944445,5.764508065639638,17.846741823529413,46.94385900000003
split_00,0,ml10_fusion,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml10_fusion,k_of_n,advisory,258,21,0.0813953488372093,180,10.928946456944445,16.47002304468468,5.848879666666669,26.016403
split_00,0,ml10_fusion,cusum,advisory,258,60,0.2325581395348837,189,10.928946456944445,17.293524196918916,14.692266300000002,36.015536999999995
split_00,0,itki_komutu,threshold,critical,258,5,0.01937984496124031,48,10.928946456944445,4.3920061452492485,21.912615600000002,33.531859999999995
split_00,0,itki_komutu,k_of_n,critical,258,3,0.011627906976744186,25,10.928946456944445,2.28750320065065,14.35645733333333,27.02733099999999
split_00,0,itki_komutu,cusum,critical,258,18,0.06976744186046512,60,10.928946456944445,5.49000768156156,21.89480944444443,123.04627299999993
split_00,0,itki_komutu,threshold,advisory,258,8,0.031007751937984496,118,10.928946456944445,10.797015107071068,25.701097749999995,92.99668399999996
split_00,0,itki_komutu,k_of_n,advisory,258,25,0.09689922480620156,202,10.928946456944445,18.483025861257254,6.365015960000001,28.945482
split_00,0,itki_komutu,cusum,advisory,258,37,0.1434108527131783,255,10.928946456944445,23.332532646636633,9.706680783783765,33.006091999999626
split_00,0,itki_kontrol_ince,threshold,critical,258,5,0.01937984496124031,29,10.928946456944445,2.653503712754754,22.215732999999997,57.08643699999999
split_00,0,itki_kontrol_ince,k_of_n,critical,258,4,0.015503875968992248,10,10.928946456944445,0.9150012802602601,30.01990149999999,58.099061000000006
split_00,0,itki_kontrol_ince,cusum,critical,258,7,0.027131782945736434,43,10.928946456944445,3.9345055051191182,22.85149257142852,58.03098799999999
split_00,0,itki_kontrol_ince,threshold,advisory,258,23,0.08914728682170543,156,10.928946456944445,14.274019972060056,18.059677043478256,73.99606099999994
split_00,0,itki_kontrol_ince,k_of_n,advisory,258,25,0.09689922480620156,228,10.928946456944445,20.862029189933928,20.678740759999993,82.01361199999997
split_00,0,itki_kontrol_ince,cusum,advisory,258,37,0.1434108527131783,356,10.928946456944445,32.57404557726526,20.845087405405405,166.96193900000003
split_00,0,ml12_fusion_itki,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml12_fusion_itki,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml12_fusion_itki,cusum,critical,258,35,0.13565891472868216,65,10.928946456944445,5.94750832169169,18.016563942857147,50.00577700000002
split_00,0,ml12_fusion_itki,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml12_fusion_itki,k_of_n,advisory,258,21,0.08139534883720931,180,10.928946456944445,16.47002304468468,5.848879666666669,26.016402999999997
