split,seed,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm_recon,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,24.99839300000002,24.99839300000002
split_00,0,lstm_recon,threshold,critical,external_position_anomaly,185,70,0.3783783783783784,24,2.7663557002777774,8.675673919152947,7.191533157142859,61.07983399999999
split_00,0,lstm_recon,threshold,critical,global_position_anomaly,51,6,0.11764705882352941,1,0.6878973927777778,1.4537051753633343,4.83870983333333,12.94029599999999
split_00,0,lstm_recon,threshold,critical,mechanical_fault,43,1,0.023255813953488372,7,1.299568493888889,5.386403281486823,3.9689970000000017,3.9689970000000017
split_00,0,lstm_recon,threshold,critical,normal,0,0,,19,27.959377571111112,0.6795573310484442,,
split_00,0,lstm_recon,k_of_n,critical,altitude_anomaly,114,0,0.0,2,1.4421181852777778,1.3868488868786881,,
split_00,0,lstm_recon,k_of_n,critical,external_position_anomaly,185,61,0.32972972972972975,32,2.7663557002777774,11.567565225537262,8.196261213114761,62.092578999999986
split_00,0,lstm_recon,k_of_n,critical,global_position_anomaly,51,4,0.0784313725490196,3,0.6878973927777778,4.3611155260900025,6.270765000000015,13.949643000000037
split_00,0,lstm_recon,k_of_n,critical,mechanical_fault,43,0,0.0,8,1.299568493888889,6.1558894645563695,,
split_00,0,lstm_recon,k_of_n,critical,normal,0,0,,19,27.959377571111112,0.6795573310484442,,
split_00,0,lstm_recon,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_recon,cusum,critical,external_position_anomaly,185,7,0.03783783783783784,14,2.7663557002777774,5.060809786172553,47.16157128571429,100.95268599999999
split_00,0,lstm_recon,cusum,critical,global_position_anomaly,51,5,0.09803921568627451,4,0.6878973927777778,5.814820701453337,57.37037740000001,78.939889
split_00,0,lstm_recon,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,lstm_recon,cusum,critical,normal,0,0,,7,27.959377571111112,0.2503632272283742,,
split_00,0,lstm_recon,threshold,advisory,altitude_anomaly,114,22,0.19298245614035087,63,1.4421181852777778,43.68573993667868,4.766908318181819,29.01369599999998
split_00,0,lstm_recon,threshold,advisory,external_position_anomaly,185,80,0.43243243243243246,248,2.7663557002777774,89.64863049791379,4.3871150624999995,33.531859999999995
split_00,0,lstm_recon,threshold,advisory,global_position_anomaly,51,12,0.23529411764705882,39,0.6878973927777778,56.69450183917004,4.2419408333333335,11.911060000000006
split_00,0,lstm_recon,threshold,advisory,mechanical_fault,43,13,0.3023255813953488,45,1.299568493888889,34.62687823812958,10.146354384615382,33.97825399999999
split_00,0,lstm_recon,threshold,advisory,normal,0,0,,689,27.959377571111112,24.64289479433569,,
split_00,0,lstm_recon,k_of_n,advisory,altitude_anomaly,114,20,0.17543859649122806,61,1.4421181852777778,42.29889104979999,6.397275399999989,31.045530999999983
split_00,0,lstm_recon,k_of_n,advisory,external_position_anomaly,185,75,0.40540540540540543,197,2.7663557002777774,71.21282341971377,5.779581626666663,52.07152400000001
split_00,0,lstm_recon,k_of_n,advisory,global_position_anomaly,51,9,0.17647058823529413,35,0.6878973927777778,50.8796811377167,7.244034000000001,19.005539999999996
split_00,0,lstm_recon,k_of_n,advisory,mechanical_fault,43,5,0.11627906976744186,46,1.299568493888889,35.396364421199124,16.7795588,36.00812000000002
split_00,0,lstm_recon,k_of_n,advisory,normal,0,0,,597,27.959377571111112,21.352406665048484,,
split_00,0,lstm_recon,cusum,advisory,altitude_anomaly,114,6,0.05263157894736842,16,1.4421181852777778,11.094791095029505,24.996341166666664,70.06197900000001
split_00,0,lstm_recon,cusum,advisory,external_position_anomaly,185,52,0.2810810810810811,99,2.7663557002777774,35.787154916505905,19.28678692307692,67.03474600000001
split_00,0,lstm_recon,cusum,advisory,global_position_anomaly,51,23,0.45098039215686275,21,0.6878973927777778,30.52780868263002,11.431221478260875,33.009626000000026
split_00,0,lstm_recon,cusum,advisory,mechanical_fault,43,0,0.0,12,1.299568493888889,9.233834196834554,,
split_00,0,lstm_recon,cusum,advisory,normal,0,0,,176,27.959377571111112,6.294846856027694,,
split_00,0,lstm_ml14_fusion,threshold,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,cusum,advisory,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,125.030001,125.030001
