split,seed,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,usad_score,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,24.99839300000002,24.99839300000002
split_00,0,usad_score,threshold,critical,external_position_anomaly,185,70,0.3783783783783784,24,2.7663557002777774,8.675673919152947,7.191533157142859,61.07983399999999
split_00,0,usad_score,threshold,critical,global_position_anomaly,51,6,0.11764705882352941,1,0.6878973927777778,1.4537051753633343,4.83870983333333,12.94029599999999
split_00,0,usad_score,threshold,critical,mechanical_fault,43,1,0.023255813953488372,7,1.299568493888889,5.386403281486823,3.9689970000000017,3.9689970000000017
split_00,0,usad_score,threshold,critical,normal,0,0,,19,27.959377571111112,0.6795573310484442,,
split_00,0,usad_score,k_of_n,critical,altitude_anomaly,114,0,0.0,2,1.4421181852777778,1.3868488868786881,,
split_00,0,usad_score,k_of_n,critical,external_position_anomaly,185,61,0.32972972972972975,32,2.7663557002777774,11.567565225537262,8.196261213114761,62.092578999999986
split_00,0,usad_score,k_of_n,critical,global_position_anomaly,51,4,0.0784313725490196,3,0.6878973927777778,4.3611155260900025,6.270765000000015,13.949643000000037
split_00,0,usad_score,k_of_n,critical,mechanical_fault,43,0,0.0,7,1.299568493888889,5.386403281486823,,
split_00,0,usad_score,k_of_n,critical,normal,0,0,,19,27.959377571111112,0.6795573310484442,,
split_00,0,usad_score,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_score,cusum,critical,external_position_anomaly,185,7,0.03783783783783784,13,2.7663557002777774,4.699323372874513,45.71929200000002,98.92748199999998
split_00,0,usad_score,cusum,critical,global_position_anomaly,51,5,0.09803921568627451,3,0.6878973927777778,4.3611155260900025,55.5645172,76.91920499999992
split_00,0,usad_score,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,usad_score,cusum,critical,normal,0,0,,7,27.959377571111112,0.2503632272283742,,
split_00,0,usad_score,threshold,advisory,altitude_anomaly,114,21,0.18421052631578946,61,1.4421181852777778,42.29889104979999,4.945718380952383,29.01369599999998
split_00,0,usad_score,threshold,advisory,external_position_anomaly,185,80,0.43243243243243246,238,2.7663557002777774,86.03376636493338,4.1114958625,31.49551299999999
split_00,0,usad_score,threshold,advisory,global_position_anomaly,51,12,0.23529411764705882,39,0.6878973927777778,56.69450183917004,4.326581083333333,11.911060000000006
split_00,0,usad_score,threshold,advisory,mechanical_fault,43,14,0.32558139534883723,40,1.299568493888889,30.77944732278185,9.559922785714287,33.97825399999999
split_00,0,usad_score,threshold,advisory,normal,0,0,,669,27.959377571111112,23.927571287968902,,
split_00,0,usad_score,k_of_n,advisory,altitude_anomaly,114,20,0.17543859649122806,70,1.4421181852777778,48.539711040754085,6.289867849999991,31.045530999999983
split_00,0,usad_score,k_of_n,advisory,external_position_anomaly,185,78,0.42162162162162165,199,2.7663557002777774,71.93579624630985,5.558745076923073,52.07152400000001
split_00,0,usad_score,k_of_n,advisory,global_position_anomaly,51,8,0.1568627450980392,37,0.6878973927777778,53.78709148844337,5.9014595,12.006472000000002
split_00,0,usad_score,k_of_n,advisory,mechanical_fault,43,6,0.13953488372093023,46,1.299568493888889,35.396364421199124,14.321881833333327,34.99124499999999
split_00,0,usad_score,k_of_n,advisory,normal,0,0,,604,27.959377571111112,21.602769892276857,,
split_00,0,usad_score,cusum,advisory,altitude_anomaly,114,4,0.03508771929824561,16,1.4421181852777778,11.094791095029505,12.979870500000013,31.91303300000004
split_00,0,usad_score,cusum,advisory,external_position_anomaly,185,55,0.2972972972972973,101,2.7663557002777774,36.51012774310198,18.92453785454545,64.997612
split_00,0,usad_score,cusum,advisory,global_position_anomaly,51,17,0.3333333333333333,25,0.6878973927777778,36.34262938408336,14.694973176470587,58.916042000000004
split_00,0,usad_score,cusum,advisory,mechanical_fault,43,0,0.0,11,1.299568493888889,8.464348013765008,,
split_00,0,usad_score,cusum,advisory,normal,0,0,,158,27.959377571111112,5.651055700297588,,
split_00,0,usad_ml14_fusion,threshold,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,cusum,advisory,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,125.030001,125.030001
split_00,0,usad_ml14_fusion,cusum,advisory,external_position_anomaly,185,0,0.0,4,2.7663557002777774,1.4459456531921577,,
split_00,0,usad_ml14_fusion,cusum,advisory,global_position_anomaly,51,1,0.0196078431372549,4,0.6878973927777778,5.814820701453337,44.960684999999984,44.960684999999984
split_00,0,usad_ml14_fusion,cusum,advisory,mechanical_fault,43,0,0.0,2,1.299568493888889,1.5389723661390924,,
split_00,0,usad_ml14_fusion,cusum,advisory,normal,0,0,,99,27.959377571111112,3.540851356515578,,
