split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,threshold,critical,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,existing_fusion,k_of_n,critical,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,existing_fusion,cusum,critical,832,25,0.030048076923076924,123,34.56622134472222,3.5583872119936064,42.32021107999999,119.99622099999999
split_00,0,existing_fusion,threshold,advisory,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,existing_fusion,k_of_n,advisory,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,existing_fusion,cusum,advisory,832,75,0.09014423076923077,547,34.56622134472222,15.8246976013049,36.98112753333333,134.998006
split_00,0,ml9_fusion,threshold,critical,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,ml9_fusion,k_of_n,critical,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,ml9_fusion,cusum,critical,832,27,0.03245192307692308,124,34.56622134472222,3.5873171893268876,40.51226507407406,119.99622099999999
split_00,0,ml9_fusion,threshold,advisory,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,ml9_fusion,k_of_n,advisory,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,ml9_fusion,cusum,advisory,832,74,0.0889423076923077,558,34.56622134472222,16.142927351970997,36.02866783783783,134.998006
split_00,0,itki_komutu,threshold,critical,832,139,0.16706730769230768,97,34.56622134472222,2.8062078013282914,72.65502163309354,240.999312
split_00,0,itki_komutu,k_of_n,critical,832,57,0.06850961538461539,43,34.56622134472222,1.2439890253310981,86.54724977192984,244.603883
split_00,0,itki_komutu,cusum,critical,832,14,0.016826923076923076,411,34.56622134472222,11.890220683978637,80.40399607142855,155.592667
split_00,0,itki_komutu,threshold,advisory,832,448,0.5384615384615384,432,34.56622134472222,12.497750207977544,0.5415527700892856,92.99668399999996
split_00,0,itki_komutu,k_of_n,advisory,832,380,0.4567307692307692,102,34.56622134472222,2.950857687994698,39.299384194736845,242.00032600000003
split_00,0,itki_komutu,cusum,advisory,832,178,0.21394230769230768,1173,34.56622134472222,33.93486341193903,68.5065855,195.000987
split_00,0,exploratory_fusion,threshold,critical,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,exploratory_fusion,k_of_n,critical,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,exploratory_fusion,cusum,critical,832,27,0.03245192307692308,121,34.56622134472222,3.5005272573270436,40.587634888888886,118.796156
split_00,0,exploratory_fusion,threshold,advisory,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,exploratory_fusion,k_of_n,advisory,832,0,0.0,0,34.56622134472222,0.0,,
split_00,0,exploratory_fusion,cusum,advisory,832,75,0.09014423076923077,560,34.56622134472222,16.200787306637558,35.75976709333333,134.998006
