source_id,flight_label,eval_group,dominant_module,dominant_module_score,hypothesis
Real-Motor/acce/406_1/log_26_2023-6-2-10-09-14,motor_fault,rfly_motor,itki_komutu,0.98725,actuator/motor hypothesis
Real-Motor/acce/406_2/log_27_2023-6-2-10-13-42,motor_fault,rfly_motor,itki_komutu,0.9929166666666667,actuator/motor hypothesis
Real-Motor/acce/407_1/log_28_2023-6-2-10-16-50,motor_fault,rfly_motor,itki_komutu,0.99325,actuator/motor hypothesis
Real-Motor/acce/408_1/log_29_2023-6-2-10-19-46,motor_fault,rfly_motor,itki_komutu,0.9929166666666667,actuator/motor hypothesis
Real-Motor/acce/409_1/log_30_2023-6-2-10-22-56,motor_fault,rfly_motor,itki_komutu,0.9914166666666666,actuator/motor hypothesis
Real-Motor/acce/410_1/log_31_2023-6-2-10-26-10,motor_fault,rfly_motor,itki_komutu,0.99125,actuator/motor hypothesis
Real-Motor/acce/411_1/log_32_2023-6-2-10-29-58,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
Real-Motor/acce/412_1/log_33_2023-6-2-10-33-34,motor_fault,rfly_motor,itki_komutu,0.9960833333333333,actuator/motor hypothesis
Real-Motor/acce/413_1/log_34_2023-6-2-10-36-38,motor_fault,rfly_motor,itki_komutu,0.9949166666666667,actuator/motor hypothesis
Real-Motor/acce/414_1/log_35_2023-6-2-10-40-42,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
Real-Motor/acce/415_1/log_36_2023-6-2-10-46-08,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
Real-Motor/acce/416_1/log_37_2023-6-2-10-50-00,motor_fault,rfly_motor,itki_komutu,0.9960833333333333,actuator/motor hypothesis
Real-Motor/acce/416_2/log_38_2023-6-2-10-56-48,motor_fault,rfly_motor,itki_komutu,0.9960833333333333,actuator/motor hypothesis
Real-Motor/acce/417_1/log_39_2023-6-2-11-00-18,motor_fault,rfly_motor,itki_komutu,0.9965833333333334,actuator/motor hypothesis
Real-Motor/acce/418_1/log_40_2023-6-2-11-03-30,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
Real-Motor/acce/419_1/log_41_2023-6-2-11-08-20,motor_fault,rfly_motor,itki_komutu,0.9889166666666667,actuator/motor hypothesis
Real-Motor/acce/420_1/log_42_2023-6-2-11-12-16,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
Real-Motor/acce/421_1/log_43_2023-6-2-11-15-50,motor_fault,rfly_motor,itki_komutu,0.9960833333333333,actuator/motor hypothesis
Real-Motor/acce/422_1/log_44_2023-6-2-11-19-24,motor_fault,rfly_motor,itki_komutu,0.9974166666666666,actuator/motor hypothesis
Real-Motor/acce/423_1/log_45_2023-6-2-11-23-18,motor_fault,rfly_motor,itki_komutu,0.9960833333333333,actuator/motor hypothesis
Real-Motor/acce/424_1/log_0_2023-6-2-13-47-48,motor_fault,rfly_motor,itki_komutu,0.9960833333333333,actuator/motor hypothesis
Real-Motor/acce/428_1/log_4_2023-6-2-14-09-48,motor_fault,rfly_motor,itki_komutu,0.99775,actuator/motor hypothesis
Real-Motor/acce/429_1/log_5_2023-6-2-14-13-26,motor_fault,rfly_motor,itki_komutu,0.9974166666666666,actuator/motor hypothesis
Real-Motor/acce/430_1/log_6_2023-6-2-14-18-00,motor_fault,rfly_motor,itki_komutu,0.99775,actuator/motor hypothesis
Real-Motor/circling/326_1/log_46_2023-5-31-15-23-38,motor_fault,rfly_motor,itki_komutu,0.9894166666666667,actuator/motor hypothesis
Real-Motor/circling/326_2/log_9_2023-6-7-08-20-00,motor_fault,rfly_motor,itki_komutu,0.99525,actuator/motor hypothesis
Real-Motor/circling/327_1/log_47_2023-5-31-15-29-42,motor_fault,rfly_motor,itki_komutu,0.9995833333333334,actuator/motor hypothesis
Real-Motor/circling/327_2/log_10_2023-6-7-08-24-40,motor_fault,rfly_motor,itki_komutu,0.98875,actuator/motor hypothesis
Real-Motor/circling/328_1/log_50_2023-5-31-15-45-54,motor_fault,rfly_motor,itki_komutu,0.9899166666666667,actuator/motor hypothesis
Real-Motor/circling/328_2/log_11_2023-6-7-08-29-38,motor_fault,rfly_motor,itki_komutu,0.9894166666666667,actuator/motor hypothesis
Real-Motor/circling/328_3/log_12_2023-6-7-08-34-04,motor_fault,rfly_motor,itki_komutu,0.98725,actuator/motor hypothesis
Real-Motor/circling/329_1/log_51_2023-5-31-15-50-18,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
Real-Motor/circling/329_2/log_13_2023-6-7-08-41-08,motor_fault,rfly_motor,itki_komutu,0.99525,actuator/motor hypothesis
Real-Motor/circling/330_1/log_52_2023-5-31-15-55-38,motor_fault,rfly_motor,itki_komutu,0.9960833333333333,actuator/motor hypothesis
Real-Motor/circling/330_2/log_14_2023-6-7-08-47-16,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
Real-Motor/circling/331_1/log_53_2023-5-31-16-00-30,motor_fault,rfly_motor,itki_komutu,0.9769166666666667,actuator/motor hypothesis
Real-Motor/circling/331_2/log_15_2023-6-7-08-53-32,motor_fault,rfly_motor,itki_komutu,0.98725,actuator/motor hypothesis
Real-Motor/circling/332_1/log_54_2023-5-31-16-04-28,motor_fault,rfly_motor,itki_komutu,0.9955833333333334,actuator/motor hypothesis
