split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,threshold,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,existing_fusion,k_of_n,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,existing_fusion,cusum,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,existing_fusion,threshold,advisory,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,existing_fusion,k_of_n,advisory,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,existing_fusion,cusum,advisory,303,0,0.0,1,6.112202941944444,0.16360713305796667,,
split_00,0,ml9_fusion,threshold,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,ml9_fusion,k_of_n,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,ml9_fusion,cusum,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,ml9_fusion,threshold,advisory,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,ml9_fusion,k_of_n,advisory,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,ml9_fusion,cusum,advisory,303,0,0.0,1,6.112202941944444,0.16360713305796667,,
split_00,0,itki_komutu,threshold,critical,303,148,0.4884488448844885,126,6.112202941944444,20.6144987653038,15.990374533783784,90.99796
split_00,0,itki_komutu,k_of_n,critical,303,118,0.38943894389438943,39,6.112202941944444,6.3806781892607,16.243452152542375,93.19456
split_00,0,itki_komutu,cusum,critical,303,133,0.4389438943894389,57,6.112202941944444,9.3256065843041,17.41363592481203,95.19241299999999
split_00,0,itki_komutu,threshold,advisory,303,163,0.5379537953795379,216,6.112202941944444,35.339140740520804,14.645214638036812,90.99796
split_00,0,itki_komutu,k_of_n,advisory,303,118,0.38943894389438943,39,6.112202941944444,6.3806781892607,16.243452152542375,93.19456
split_00,0,itki_komutu,cusum,advisory,303,159,0.5247524752475248,186,6.112202941944444,30.4309267487818,18.352945408805027,91.99853400000003
split_00,0,rfly0_fusion,threshold,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,rfly0_fusion,k_of_n,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,rfly0_fusion,cusum,critical,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,rfly0_fusion,threshold,advisory,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,rfly0_fusion,k_of_n,advisory,303,0,0.0,0,6.112202941944444,0.0,,
split_00,0,rfly0_fusion,cusum,advisory,303,0,0.0,1,6.112202941944444,0.16360713305796667,,
split_01,1,existing_fusion,threshold,critical,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,existing_fusion,k_of_n,critical,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,existing_fusion,cusum,critical,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,existing_fusion,threshold,advisory,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,existing_fusion,k_of_n,advisory,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,existing_fusion,cusum,advisory,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,ml9_fusion,threshold,critical,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,ml9_fusion,k_of_n,critical,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,ml9_fusion,cusum,critical,303,0,0.0,0,6.099449990555556,0.0,,
split_01,1,ml9_fusion,threshold,advisory,303,0,0.0,0,6.099449990555556,0.0,,
