feature_a,feature_b,spearman_rho
turn_residual_5s_std,turn_residual_5s_rms,0.9870776574628671
airspeed_error_5s_mean,airspeed_error_5s_max,0.9806928625050965
wp_dist,dist_from_start_m,0.9791691980600122
airspeed_error_5s_mean,airspeed_error_5s_rms,-0.9763103070221087
airspeed_error,abs_airspeed_error,-0.9754500035242532
airspeed_error_5s_max,airspeed_error_5s_rms,-0.9536426682526036
roll_error_cusum_neg,xtrack_error_cusum_pos,0.9212810289021631
turn_residual_5s_std,turn_residual_5s_max,0.9034968301839956
energy_rate,energy_rate_x_throttle,0.9014575795673103
abs_airspeed_error,airspeed_error_5s_rms,0.9009217669915708
