feature,altitude_anomaly,external_position_anomaly,global_position_anomaly,mechanical_fault,normal
gps_step_m,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
gps_speed_calc_mps,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
log_gps_speed,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
gps_accel_mps2,0.9981236782267169,0.9970730755471723,0.9983749446003841,0.9987835043185597,0.9980465982775096
vertical_rate_calc,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
dist_from_start_m,1.0,1.0,1.0,1.0,1.0
baro_alt_m,0.00830033869198111,0.25509772675534165,0.01643521938247895,0.0863711933822635,0.0644471842980264
alt_baro_residual,0.00830033869198111,0.25509772675534165,0.01643521938247895,0.0863711933822635,0.0644471842980264
local_alt_m,1.0,1.0,1.0,1.0,0.999972869420521
alt_local_residual,1.0,1.0,1.0,1.0,0.999972869420521
local_vertical_rate_mps,1.0,1.0,1.0,1.0,0.999972869420521
vertical_rate_local_residual,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9989961685592758
gps_speed_residual,0.9990618391133584,0.8150508959640964,0.4563081695966908,0.9993917521592799,0.9253758338885054
vel_m_s,1.0,0.8162867085108458,0.45686216575565075,1.0,0.9262470269406654
vertical_rate_residual,0.9990618391133584,0.9875117890012683,0.9564928349830107,0.9993917521592799,0.9943960280831643
course_change_deg,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
roll_deg,1.0,1.0,1.0,1.0,1.0
roll_rate,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
pitch_deg,1.0,1.0,1.0,1.0,1.0
pitch_rate,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
yaw_deg,1.0,1.0,1.0,1.0,1.0
yaw_rate,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
roll_setpoint_error,0.9986166102180032,0.9987641874532505,0.999704535381888,0.9995336766554479,0.9995598817106734
roll_rate_error,0.9990618391133584,0.9984714950079677,0.999187472300192,0.9993917521592799,0.9990202846299239
pitch_setpoint_error,0.9986166102180032,0.9987641874532505,0.999704535381888,0.9995336766554479,0.9995598817106734
pitch_rate_error,0.9990618391133584,0.9984714950079677,0.999187472300192,0.9993917521592799,0.9990202846299239
yaw_setpoint_error,0.9986166102180032,0.9987641874532505,0.999704535381888,0.9995336766554479,0.9995598817106734
yaw_rate_error,0.9990618391133584,0.9984714950079677,0.999187472300192,0.9993917521592799,0.9990202846299239
attitude_error_mag,0.9986166102180032,0.9987641874532505,0.999704535381888,0.9995336766554479,0.9995598817106734
actuator_roll_cmd,1.0,1.0,1.0,1.0,1.0
actuator_pitch_cmd,1.0,1.0,1.0,1.0,1.0
actuator_yaw_cmd,1.0,1.0,1.0,1.0,1.0
actuator_thrust_cmd,1.0,1.0,1.0,1.0,1.0
actuator_effort,1.0,1.0,1.0,1.0,1.0
control_strain,0.9986166102180032,0.9987641874532505,0.999704535381888,0.9995336766554479,0.9995598817106734
eph,1.0,1.0,1.0,1.0,1.0
eph_delta,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
epv,1.0,1.0,1.0,1.0,1.0
epv_delta,0.9990618391133584,0.9985365377735861,0.999187472300192,0.9993917521592799,0.9990232991387549
raw_gps_eph,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
raw_gps_eph_delta,0.0,0.34310058863702886,0.9477766287487074,0.0,0.08699571035393348
raw_gps_epv,0.0,0.3437510162932128,0.9572684296055547,0.0,0.08749008980221808
