flight_id,source_flight_id,injection_type,severity,event_start_utc,event_end_utc,detected,delay_s
2026-03-16:010153:002:inj:speed_bias:easy,2026-03-16:010153:002,speed_bias,easy,1773660427.42,1773661196.25,True,0.0
2026-03-16:010153:002:inj:speed_bias:medium,2026-03-16:010153:002,speed_bias,medium,1773662444.07,1773662833.8,True,0.0
2026-03-16:010153:003:inj:position_jump:easy,2026-03-16:010153:003,position_jump,easy,1773680133.48,1773680915.48,True,0.0
2026-03-16:010153:003:inj:position_jump:medium,2026-03-16:010153:003,position_jump,medium,1773679372.18,1773680133.48,True,0.0
2026-03-16:010153:004:inj:vertical_rate_bias:easy,2026-03-16:010153:004,vertical_rate_bias,easy,1773684443.74,1773684768.94,True,0.0
2026-03-16:010153:004:inj:vertical_rate_bias:medium,2026-03-16:010153:004,vertical_rate_bias,medium,1773684097.35,1773684508.38,True,0.0
2026-03-16:0800d5:000:inj:vertical_rate_bias:easy,2026-03-16:0800d5:000,vertical_rate_bias,easy,1773673832.92,1773673870.03,True,0.0
2026-03-16:0800d5:000:inj:vertical_rate_bias:medium,2026-03-16:0800d5:000,vertical_rate_bias,medium,1773673768.34,1773673821.24,True,0.0
2026-03-16:0800d5:001:inj:speed_bias:easy,2026-03-16:0800d5:001,speed_bias,easy,1773678585.15,1773678641.22,True,0.0
2026-03-16:0800d5:001:inj:speed_bias:medium,2026-03-16:0800d5:001,speed_bias,medium,1773678328.32,1773678581.36,True,0.0
2026-03-16:0d04af:000:inj:position_drift:easy,2026-03-16:0d04af:000,position_drift,easy,1773623193.7,1773623544.97,True,1.0299999713897705
2026-03-16:0d04af:000:inj:position_drift:medium,2026-03-16:0d04af:000,position_drift,medium,1773623824.67,1773624312.8,True,2.1399998664855957
2026-03-16:0d04af:001:inj:position_jump:easy,2026-03-16:0d04af:001,position_jump,easy,1773630763.94,1773630955.03,True,0.0
2026-03-16:0d04af:001:inj:position_jump:medium,2026-03-16:0d04af:001,position_jump,medium,1773630947.69,1773631183.66,True,0.0
2026-03-16:0d04af:002:inj:freeze:easy,2026-03-16:0d04af:002,freeze,easy,1773679094.24,1773679381.59,True,11.809999942779541
2026-03-16:0d04af:002:inj:freeze:medium,2026-03-16:0d04af:002,freeze,medium,1773680654.7,1773680780.68,True,5.3999998569488525
2026-03-16:0d04af:003:inj:position_drift:easy,2026-03-16:0d04af:003,position_drift,easy,1773697080.1,1773697840.96,True,190.62000012397766
2026-03-16:0d04af:003:inj:position_drift:medium,2026-03-16:0d04af:003,position_drift,medium,1773690320.56,1773690590.77,True,75.47000002861023
2026-03-16:0d1214:000:inj:altitude_bias:easy,2026-03-16:0d1214:000,altitude_bias,easy,1773677429.41,1773677545.19,True,0.0
2026-03-16:0d1214:000:inj:altitude_bias:medium,2026-03-16:0d1214:000,altitude_bias,medium,1773677569.8,1773678075.43,True,0.0
2026-03-16:346350:000:inj:speed_bias:easy,2026-03-16:346350:000,speed_bias,easy,1773641187.53,1773641609.47,True,0.0
2026-03-16:346350:000:inj:speed_bias:medium,2026-03-16:346350:000,speed_bias,medium,1773643152.71,1773643453.65,True,0.0
2026-03-16:346350:002:inj:altitude_bias:easy,2026-03-16:346350:002,altitude_bias,easy,1773664727.79,1773664787.89,True,0.0
2026-03-16:346350:002:inj:altitude_bias:medium,2026-03-16:346350:002,altitude_bias,medium,1773664471.96,1773664603.05,True,0.0
2026-03-16:346350:003:inj:altitude_bias:easy,2026-03-16:346350:003,altitude_bias,easy,1773668497.42,1773669020.49,True,0.0
2026-03-16:346350:003:inj:altitude_bias:medium,2026-03-16:346350:003,altitude_bias,medium,1773674181.96,1773674531.3,True,0.0
