model,severity,injection_type,events,detected,event_recall,median_delay_s
physics_rule,easy,altitude_bias,29,0,0.0,
physics_rule,easy,coherent_route_drift,33,0,0.0,
physics_rule,easy,freeze,30,0,0.0,
physics_rule,easy,position_drift,37,0,0.0,
physics_rule,easy,position_jump,28,0,0.0,
physics_rule,easy,speed_bias,26,0,0.0,
physics_rule,easy,track_bias,35,0,0.0,
physics_rule,easy,vertical_rate_bias,32,0,0.0,
physics_rule,medium,altitude_bias,29,0,0.0,
physics_rule,medium,coherent_route_drift,33,0,0.0,
physics_rule,medium,freeze,30,0,0.0,
physics_rule,medium,position_drift,37,1,0.02702702702702703,54.580000162124634
physics_rule,medium,position_jump,28,0,0.0,
physics_rule,medium,speed_bias,26,0,0.0,
physics_rule,medium,track_bias,35,0,0.0,
physics_rule,medium,vertical_rate_bias,32,0,0.0,
isolation_forest,easy,altitude_bias,29,0,0.0,
isolation_forest,easy,coherent_route_drift,33,6,0.18181818181818182,9.350000143051147
isolation_forest,easy,freeze,30,1,0.03333333333333333,24.420000076293945
isolation_forest,easy,position_drift,37,13,0.35135135135135137,40.09000015258789
isolation_forest,easy,position_jump,28,2,0.07142857142857142,1.0950000286102295
isolation_forest,easy,speed_bias,26,0,0.0,
isolation_forest,easy,track_bias,35,0,0.0,
isolation_forest,easy,vertical_rate_bias,32,1,0.03125,30.989999771118164
isolation_forest,medium,altitude_bias,29,0,0.0,
isolation_forest,medium,coherent_route_drift,33,2,0.06060606060606061,2.21999990940094
isolation_forest,medium,freeze,30,1,0.03333333333333333,8.579999923706055
isolation_forest,medium,position_drift,37,3,0.08108108108108109,17.640000104904175
isolation_forest,medium,position_jump,28,1,0.03571428571428571,0.5799999237060547
isolation_forest,medium,speed_bias,26,0,0.0,
isolation_forest,medium,track_bias,35,0,0.0,
isolation_forest,medium,vertical_rate_bias,32,0,0.0,
