model_score,flight_id,timestamp_utc,lat,lon,alt,ground_speed_ms,track_deg,phase,rule_score,iforest_score
rule_score,2026-03-16:a5dcde:000,1773627544.01,30.852905,-99.795012,10363.2,198.97,287.5,cruise,558144018.656986,
rule_score,2026-03-16:a43c64:000,1773669432.9,29.694602,-95.639379,3223.3,128.55,282.5,descent,463137933.4970403,
rule_score,2026-03-16:a43c64:000,1773669432.39,29.694489,-95.638733,3223.3,155.35,306.1,descent,429545929.40410554,
rule_score,2026-03-16:48ad87:000,1773647289.0,52.053269,13.411874,10668.0,230.71,82.8,cruise,380963415.3713197,
rule_score,2026-03-16:48ad87:000,1773647288.48,52.05313,13.410383,10668.0,230.71,97.2,descent,335763113.89716125,
rule_score,2026-03-16:a11ad4:005,1773693249.12,35.802628,-119.165662,10668.0,228.14,159.0,cruise,265006563.69918215,
rule_score,2026-03-16:405f3d:001,1773666103.94,52.549713,-0.599747,1866.9,0.36,0.0,ground,190357390.90308222,
rule_score,2026-03-16:405f3d:001,1773666020.66,52.597504,-0.622635,1866.9,0.36,0.0,ground,175473340.4305129,
rule_score,2026-03-16:405f3d:001,1773666209.89,52.485855,-0.569611,1714.5,0.36,0.0,ground,166211826.7561266,
rule_score,2026-03-16:405f3d:001,1773666052.98,52.579263,-0.614685,1882.1,0.36,0.0,ground,158113467.32610804,
rule_score,2026-03-16:405f3d:001,1773666017.87,52.599187,-0.623396,1866.9,0.36,0.0,ground,149974331.1155346,
rule_score,2026-03-16:405f3d:001,1773665250.01,53.022021,-0.820836,1691.6,0.36,0.0,ground,147414740.04092997,
rule_score,2026-03-16:405f3d:001,1773666193.82,52.495377,-0.57518,1729.7,0.36,0.0,ground,138270647.11539745,
rule_score,2026-03-16:a887e0:007,1773705544.99,36.07465,-115.167289,,2.47,16.9,ground,127878825.25086364,
rule_score,2026-03-16:7c9f3f:000,1773704356.88,-19.2534,146.771901,0.0,0.82,225.0,ground,127600953.64084904,
rule_score,2026-03-16:adff60:001,1773690305.71,29.087095,-97.165079,5311.1,160.8,34.0,descent,127017746.44529386,
rule_score,2026-03-16:adff60:001,1773690323.84,29.102969,-97.140575,4648.2,196.71,74.2,descent,127000539.54247871,
rule_score,2026-03-16:a0c56c:000,1773668876.84,29.573194,-90.666989,-15.2,0.36,0.0,ground,125324995.03294648,
rule_score,2026-03-16:a500ec:000,1773679643.5,33.013171,-97.504839,1432.6,124.02,154.2,descent,121595792.78566453,
rule_score,2026-03-16:adff60:001,1773690276.3,29.061447,-97.210729,4145.3,216.56,72.7,descent,114277827.79989645,
rule_score,2026-03-16:4cad3e:003,1773689664.63,51.878185,0.229154,,4.53,98.4,ground,113095835.37334575,
rule_score,2026-03-16:a0c56c:000,1773668888.95,29.573227,-90.666997,-15.2,0.36,0.0,ground,104976146.54367967,
rule_score,2026-03-16:adff60:001,1773690093.27,29.061119,-97.163463,4526.3,36.73,168.7,descent,102419367.66349025,
rule_score,2026-03-16:adff60:001,1773690092.34,29.061584,-97.163409,4709.2,36.73,168.7,descent,99673661.15482327,
rule_score,2026-03-16:43c8e5:001,1773671987.85,51.385529,-1.884675,236.2,0.62,180.0,ground,96774227.3122473,
rule_score,2026-03-16:adff60:001,1773690084.32,29.058655,-97.167047,5966.5,134.0,34.4,descent,96168255.68222429,
rule_score,2026-03-16:a20f1a:005,1773704725.75,43.645551,-70.303802,,5.04,311.8,ground,93703714.1902488,
rule_score,2026-03-16:7c045e:005,1773702741.31,-45.011266,168.785706,434.3,69.14,252.2,descent,88699838.24444175,
rule_score,2026-03-16:405f3d:001,1773666185.83,52.500229,-0.577545,1745.0,0.36,0.0,ground,86516329.93504088,
rule_score,2026-03-16:a500ec:000,1773679505.28,33.156971,-97.587349,2011.7,131.94,155.8,descent,83800082.27112964,
rule_score,2026-03-16:a0c56c:000,1773668910.15,29.573194,-90.667042,-15.2,0.36,0.0,ground,80862062.98237367,
rule_score,2026-03-16:adff60:001,1773690323.24,29.102692,-97.141694,5402.6,190.23,74.3,descent,75471813.19919664,
rule_score,2026-03-16:aaa100:001,1773695034.67,37.421482,-122.43373,944.9,40.84,139.1,descent,74268324.5968155,
rule_score,2026-03-16:7c045e:000,1773621767.55,-45.035614,168.688071,1249.7,82.97,226.5,climb,73496511.35088016,
rule_score,2026-03-16:aaa100:000,1773678220.87,37.615173,-121.807991,944.9,26.54,81.1,descent,72619120.76333484,
rule_score,2026-03-16:adff60:001,1773690273.94,29.059909,-97.215702,4389.1,176.44,73.6,descent,71437529.62482855,
rule_score,2026-03-16:7c045e:000,1773621721.31,-45.020902,168.729032,548.6,79.11,257.2,climb,71211714.22776075,
rule_score,2026-03-16:aaa100:001,1773695550.45,37.362305,-122.411596,883.9,52.16,165.1,descent,67777797.45150346,
rule_score,2026-03-16:405f3d:001,1773666300.75,52.436188,-0.517044,1463.0,0.36,0.0,ground,64405533.361635715,
rule_score,2026-03-16:aaa100:001,1773697634.75,37.464077,-122.313836,670.6,45.52,122.1,cruise,63437611.73694074,
rule_score,2026-03-16:a0c56c:000,1773668970.55,29.57324,-90.666989,-38.1,0.36,0.0,ground,61000003.63588355,
rule_score,2026-03-16:405f3d:001,1773666169.16,52.510849,-0.582275,1767.8,0.36,0.0,ground,57898080.64557219,
rule_score,2026-03-16:adff60:001,1773690275.4,29.060886,-97.212794,4236.7,176.44,73.6,descent,57727313.22174251,
rule_score,2026-03-16:43c8e5:001,1773672184.1,51.385437,-1.885269,251.5,0.62,0.0,ground,52211644.73489495,
rule_score,2026-03-16:a0c56c:000,1773668868.31,29.57324,-90.666989,-15.2,0.62,90.0,ground,51298870.84064507,
rule_score,2026-03-16:a6c65a:000,1773699622.33,31.206528,-98.132199,1280.2,39.2,23.2,cruise,49196621.80657656,
rule_score,2026-03-16:a63b4e:000,1773701831.92,38.822342,-104.715948,1859.3,5.3,150.9,ground,48150687.69018171,
rule_score,2026-03-16:a0c56c:000,1773668950.46,29.57324,-90.666935,-38.1,0.36,0.0,ground,47872359.782111056,
rule_score,2026-03-16:a84e3a:000,1773625371.55,34.083838,-118.03545,,2.16,64.7,ground,47224953.73698361,
rule_score,2026-03-16:a0c56c:000,1773668930.85,29.57324,-90.667042,-38.1,0.62,0.0,ground,46523811.6365983,
rule_score,2026-03-16:aaa100:000,1773681965.46,37.691019,-121.795747,152.4,33.28,320.6,descent,46212219.34484654,
rule_score,2026-03-16:43c8e5:001,1773672187.65,51.385431,-1.8853,251.5,0.62,180.0,ground,44554465.37905546,
rule_score,2026-03-16:3b7b7e:001,1773677594.75,14.633789,-61.037292,129.5,0.62,180.0,ground,44291262.27173292,
rule_score,2026-03-16:a0c56c:000,1773668883.06,29.573227,-90.666997,-15.2,0.62,0.0,ground,43594232.35633675,
rule_score,2026-03-16:a43c64:000,1773679987.43,36.077111,-115.15818,,9.0,337.5,ground,42651528.73134856,
rule_score,2026-03-16:a47758:000,1773671088.0,32.137482,-111.184552,762.0,35.49,38.5,descent,42381066.20041013,
rule_score,2026-03-16:3b7b7e:001,1773677056.74,14.633789,-61.037292,91.4,0.36,0.0,ground,41531916.57906052,
rule_score,2026-03-16:a0c56c:000,1773668964.6,29.57324,-90.666989,-38.1,0.36,0.0,ground,40708339.80374969,
rule_score,2026-03-16:a0c56c:000,1773668969.75,29.573273,-90.666944,-30.5,0.62,270.0,ground,40040982.66755598,
rule_score,2026-03-16:a0c56c:000,1773668843.4,29.573181,-90.66705,-38.1,0.82,135.0,ground,39443103.235655256,
rule_score,2026-03-16:aaa100:001,1773697660.49,37.458956,-122.302074,640.1,47.63,116.3,cruise,39103583.96578552,
rule_score,2026-03-16:a33f67:001,1773686920.22,29.006886,-98.441808,640.1,29.94,85.1,descent,38979616.773985565,
rule_score,2026-03-16:aaa100:001,1773694979.57,37.440674,-122.442159,975.4,54.37,159.5,cruise,38974689.63251456,
rule_score,2026-03-16:a47758:000,1773671088.49,32.137617,-111.184443,762.0,35.44,39.7,descent,38877585.39920579,
rule_score,2026-03-16:aaa100:000,1773683573.26,37.457611,-122.111576,-61.0,34.72,320.4,descent,38125179.17892901,
rule_score,2026-03-16:0d04af:000,1773624696.62,19.522705,-98.915555,2987.0,109.1,239.1,descent,38004290.23755649,
rule_score,2026-03-16:3b7b7e:001,1773677599.32,14.633789,-61.037292,137.2,0.82,135.0,ground,37242063.77394285,
rule_score,2026-03-16:a47758:000,1773670361.94,32.137161,-111.152032,944.9,35.24,213.7,cruise,37196280.24155888,
rule_score,2026-03-16:aaa100:001,1773698026.81,37.453262,-122.126653,243.8,47.68,122.7,descent,37195231.157036215,
rule_score,2026-03-16:a70dfa:002,1773675379.33,33.115446,-97.651249,1005.8,47.02,72.2,cruise,37073820.969879955,
rule_score,2026-03-16:a6c65a:000,1773701798.32,30.881684,-98.145483,1249.7,51.95,181.1,cruise,37073429.71665466,
rule_score,2026-03-16:a6c65a:000,1773699617.42,31.204943,-98.132959,1280.2,38.48,22.8,cruise,36310304.38814442,
rule_score,2026-03-16:a6c65a:000,1773702106.85,30.746521,-98.100748,1249.7,51.29,154.5,cruise,36191907.32974026,
rule_score,2026-03-16:adff60:001,1773690097.71,29.056,-97.16578,3779.5,181.63,204.2,descent,35943475.98352848,
rule_score,2026-03-16:a1afb7:000,1773677125.29,28.019885,-82.338113,,1.44,317.2,ground,35930309.097036816,
rule_score,2026-03-16:a500ec:000,1773680342.98,32.678238,-97.04696,152.4,55.04,1.1,descent,35465217.53688167,
rule_score,2026-03-16:a70dfa:002,1773675427.18,33.120026,-97.626654,1005.8,48.3,78.3,cruise,35349849.80024232,
rule_score,2026-03-16:a500ec:000,1773679757.43,32.909134,-97.439502,1402.1,109.0,147.1,cruise,35349597.98441245,
rule_score,2026-03-16:a70dfa:002,1773675972.63,33.172119,-97.348151,670.6,55.14,93.2,cruise,35349238.08558323,
rule_score,2026-03-16:3b7b7e:001,1773677054.39,14.633789,-61.037292,76.2,0.62,180.0,ground,35344452.91381809,
rule_score,2026-03-16:a0c56c:000,1773668848.16,29.573194,-90.667042,-30.5,0.36,0.0,ground,34838643.41268153,
rule_score,2026-03-16:3b7b7e:001,1773677596.8,14.633789,-61.037292,129.5,0.82,315.0,ground,34804878.85835412,
rule_score,2026-03-16:aa635d:001,1773634527.03,43.630966,-116.620895,670.6,45.83,315.0,descent,34697132.73051255,
rule_score,2026-03-16:a70dfa:002,1773676244.88,33.16951,-97.203076,274.3,35.96,73.4,cruise,34662630.96668261,
rule_score,2026-03-16:aaa100:001,1773694329.74,37.429861,-122.25156,883.9,48.51,291.1,cruise,34660028.99204102,
rule_score,2026-03-16:aaa100:001,1773697644.18,37.462075,-122.309657,640.1,45.83,118.9,cruise,34659403.18310446,
rule_score,2026-03-16:a70dfa:002,1773676217.08,33.169214,-97.21471,274.3,39.66,92.2,descent,34659113.39411863,
rule_score,2026-03-16:aaa100:001,1773696014.22,37.451555,-122.441492,548.6,39.97,11.9,cruise,34636756.72735923,
