epoch,mean_train_gaussian_nll,windows,candidate_windows_before_balancing,observed_target_cells,batches,elapsed_seconds,sampler,train_group_count,group_quota_min,group_quota_max,replacement_window_draws,mean_validation_gaussian_nll
1,1.830590888572597,5703,5703,45501,6,0.6671315999992657,group_then_source_balanced_epoch_quota,4,1425,1426,2699,1.0721611669233868
2,1.7183752273104687,5703,5703,45549,6,0.4768934000021545,group_then_source_balanced_epoch_quota,4,1425,1426,2698,1.050433640394892
3,1.6288180106944052,5703,5703,45583,6,0.4145570000000589,group_then_source_balanced_epoch_quota,4,1425,1426,2699,1.0161592943327769
4,1.543803019743615,5703,5703,45279,6,0.4177915000000212,group_then_source_balanced_epoch_quota,4,1425,1426,2698,0.952767241313344
5,1.4564968192348973,5703,5703,45410,6,0.39941230000113137,group_then_source_balanced_epoch_quota,4,1425,1426,2698,0.8439130796988805
6,1.3638790468870907,5703,5703,45543,6,0.4387938999971084,group_then_source_balanced_epoch_quota,4,1425,1426,2698,0.680615800292719
7,1.27132323804843,5703,5703,45615,6,0.3989357000027667,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.5068940207078343
8,1.1829504573348586,5703,5703,45561,6,0.41241960000115796,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.44273049124869257
9,1.117237756562904,5703,5703,45348,6,0.42499640000096406,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.36758646187978145
10,1.062758072267638,5703,5703,45474,6,0.402679500002705,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.340296343602001
11,1.0003062541715297,5703,5703,45591,6,0.3983005000009143,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.2621772773082782
12,0.9551988111868452,5703,5703,45474,6,0.4320780999987619,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.18204031316810176
13,0.9012848609213062,5703,5703,45343,6,0.41796099999919534,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.1932828493527181
14,0.8637282422846599,5703,5703,45479,6,0.43319160000100965,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.14187665365619717
15,0.8028698169818932,5703,5703,45547,6,0.43629190000137896,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.26299096446916725
16,0.7638490419633969,5703,5703,45601,6,0.4759846999986621,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.7567054609642045
17,0.7033730297731051,5703,5703,45544,6,0.3970812000006845,group_then_source_balanced_epoch_quota,4,1425,1426,2699,0.6209529953778006
18,0.6591690181780505,5703,5703,45427,6,0.41029689999777474,group_then_source_balanced_epoch_quota,4,1425,1426,2699,2.4035357671185573
19,0.6182051873624745,5703,5703,45497,6,0.4014448000016273,group_then_source_balanced_epoch_quota,4,1425,1426,2699,2.5650373383195118
20,0.591102701873675,5703,5703,45343,6,0.42561810000188416,group_then_source_balanced_epoch_quota,4,1425,1426,2698,1.8958544164193085
21,0.5454560691412158,5703,5703,45588,6,0.4123049000008905,group_then_source_balanced_epoch_quota,4,1425,1426,2698,2.529321765576259
22,0.5298889163319997,5703,5703,45536,6,0.4170572999973956,group_then_source_balanced_epoch_quota,4,1425,1426,2698,4.345423801743849
23,0.48343693024469603,5703,5703,45413,6,0.42400439999983064,group_then_source_balanced_epoch_quota,4,1425,1426,2699,4.123451285538495
24,0.4413527518120516,5703,5703,45356,6,0.44248639999932493,group_then_source_balanced_epoch_quota,4,1425,1426,2698,3.727078054981539
25,0.41231624758262175,5703,5703,45473,6,0.40918729999975767,group_then_source_balanced_epoch_quota,4,1425,1426,2698,3.546325017971103
26,0.38822944975283685,5703,5703,45402,6,0.4416108000004897,group_then_source_balanced_epoch_quota,4,1425,1426,2698,4.306786310402954
27,0.3659037774781958,5703,5703,45407,6,0.4059097000026668,group_then_source_balanced_epoch_quota,4,1425,1426,2699,4.020377361034774
28,0.33853371149998246,5703,5703,45573,6,0.44174629999906756,group_then_source_balanced_epoch_quota,4,1425,1426,2698,4.035793352699063
29,0.3148174698952221,5703,5703,45408,6,0.4304792000002635,group_then_source_balanced_epoch_quota,4,1425,1426,2699,4.186163928061524
30,0.2983907370047662,5703,5703,45476,6,0.4356238000000303,group_then_source_balanced_epoch_quota,4,1425,1426,2698,5.521345827086784
