split,seed,architecture,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,usad,usad_relerr,threshold,critical,altitude_anomaly,114,3,0.02631578947368421,7,1.4421181852777778,4.853971104075408,9.010534333333341,24.99839300000002
split_00,0,usad,usad_relerr,threshold,critical,external_position_anomaly,185,84,0.4540540540540541,129,2.7663557002777774,46.631747315447086,5.376590523809524,65.10561899999999
split_00,0,usad,usad_relerr,threshold,critical,global_position_anomaly,51,10,0.19607843137254902,22,0.6878973927777778,31.981513857993356,4.511659299999998,20.95106499999997
split_00,0,usad,usad_relerr,threshold,critical,mechanical_fault,43,0,0.0,9,1.299568493888889,6.925375647625915,,
split_00,0,usad,usad_relerr,threshold,critical,normal,0,0,,110,27.959377571111112,3.9342792850173085,,
split_00,0,usad,usad_relerr,k_of_n,critical,altitude_anomaly,114,1,0.008771929824561403,10,1.4421181852777778,6.934244434393441,1.012785000000001,1.012785000000001
split_00,0,usad,usad_relerr,k_of_n,critical,external_position_anomaly,185,71,0.3837837837837838,95,2.7663557002777774,34.34120926331375,7.001648070422531,67.10841199999999
split_00,0,usad,usad_relerr,k_of_n,critical,global_position_anomaly,51,5,0.09803921568627451,27,0.6878973927777778,39.250039734810024,4.828445399999995,8.948671999999988
split_00,0,usad,usad_relerr,k_of_n,critical,mechanical_fault,43,0,0.0,6,1.299568493888889,4.616917098417277,,
split_00,0,usad,usad_relerr,k_of_n,critical,normal,0,0,,95,27.959377571111112,3.397786655242221,,
split_00,0,usad,usad_relerr,cusum,critical,altitude_anomaly,114,0,0.0,1,1.4421181852777778,0.6934244434393441,,
split_00,0,usad,usad_relerr,cusum,critical,external_position_anomaly,185,26,0.14054054054054055,25,2.7663557002777774,9.037160332450986,30.47973688461537,90.15150399999999
split_00,0,usad,usad_relerr,cusum,critical,global_position_anomaly,51,15,0.29411764705882354,25,0.6878973927777778,36.34262938408336,22.113233733333338,55.87771900000001
split_00,0,usad,usad_relerr,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,usad,usad_relerr,cusum,critical,normal,0,0,,22,27.959377571111112,0.7868558570034617,,
split_00,0,usad,usad_relerr,threshold,advisory,altitude_anomaly,114,8,0.07017543859649122,30,1.4421181852777778,20.80273330318032,6.771252125,24.99839300000002
split_00,0,usad,usad_relerr,threshold,advisory,external_position_anomaly,185,97,0.5243243243243243,205,2.7663557002777774,74.10471472609808,5.26623049484536,60.09712000000002
split_00,0,usad,usad_relerr,threshold,advisory,global_position_anomaly,51,12,0.23529411764705882,39,0.6878973927777778,56.69450183917004,3.164576416666666,10.964572999999973
split_00,0,usad,usad_relerr,threshold,advisory,mechanical_fault,43,0,0.0,14,1.299568493888889,10.772806562973646,,
split_00,0,usad,usad_relerr,threshold,advisory,normal,0,0,,336,27.959377571111112,12.017434906961961,,
split_00,0,usad,usad_relerr,k_of_n,advisory,altitude_anomaly,114,6,0.05263157894736842,40,1.4421181852777778,27.736977737573763,2.982124666666668,5.997671
split_00,0,usad,usad_relerr,k_of_n,advisory,external_position_anomaly,185,85,0.4594594594594595,157,2.7663557002777774,56.7533668877922,7.045982376470586,36.09170700000001
split_00,0,usad,usad_relerr,k_of_n,advisory,global_position_anomaly,51,8,0.1568627450980392,39,0.6878973927777778,56.69450183917004,4.272766250000002,10.964572999999973
split_00,0,usad,usad_relerr,k_of_n,advisory,mechanical_fault,43,0,0.0,13,1.299568493888889,10.0033203799041,,
split_00,0,usad,usad_relerr,k_of_n,advisory,normal,0,0,,302,27.959377571111112,10.801384946138429,,
split_00,0,usad,usad_relerr,cusum,advisory,altitude_anomaly,114,7,0.06140350877192982,23,1.4421181852777778,15.948762199104914,30.12125099999998,96.04948300000001
split_00,0,usad,usad_relerr,cusum,advisory,external_position_anomaly,185,66,0.3567567567567568,113,2.7663557002777774,40.84796470267846,10.941235848484848,35.064007000000004
split_00,0,usad,usad_relerr,cusum,advisory,global_position_anomaly,51,28,0.5490196078431373,45,0.6878973927777778,65.41673289135005,9.758933178571434,33.990216000000004
split_00,0,usad,usad_relerr,cusum,advisory,mechanical_fault,43,0,0.0,7,1.299568493888889,5.386403281486823,,
split_00,0,usad,usad_relerr,cusum,advisory,normal,0,0,,226,27.959377571111112,8.083155621944652,,
split_00,0,usad,usad_rankpct,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,0,1.4421181852777778,0.0,24.99839300000002,24.99839300000002
split_00,0,usad,usad_rankpct,threshold,critical,external_position_anomaly,185,72,0.3891891891891892,87,2.7663557002777774,31.44931795692943,11.18274215277778,79.93473900000002
split_00,0,usad,usad_rankpct,threshold,critical,global_position_anomaly,51,7,0.13725490196078433,4,0.6878973927777778,5.814820701453337,13.419136285714286,67.89696400000003
split_00,0,usad,usad_rankpct,threshold,critical,mechanical_fault,43,0,0.0,6,1.299568493888889,4.616917098417277,,
split_00,0,usad,usad_rankpct,threshold,critical,normal,0,0,,101,27.959377571111112,3.612383707152256,,
split_00,0,usad,usad_rankpct,k_of_n,critical,altitude_anomaly,114,0,0.0,6,1.4421181852777778,4.160546660636065,,
split_00,0,usad,usad_rankpct,k_of_n,critical,external_position_anomaly,185,71,0.3837837837837838,98,2.7663557002777774,35.425668503207866,10.829283943661975,63.961658
split_00,0,usad,usad_rankpct,k_of_n,critical,global_position_anomaly,51,4,0.0784313725490196,7,0.6878973927777778,10.17593622754334,21.28707125000003,70.9903250000001
split_00,0,usad,usad_rankpct,k_of_n,critical,mechanical_fault,43,0,0.0,7,1.299568493888889,5.386403281486823,,
split_00,0,usad,usad_rankpct,k_of_n,critical,normal,0,0,,141,27.959377571111112,5.043030719885823,,
split_00,0,usad,usad_rankpct,cusum,critical,altitude_anomaly,114,0,0.0,3,1.4421181852777778,2.0802733303180325,,
split_00,0,usad,usad_rankpct,cusum,critical,external_position_anomaly,185,27,0.14594594594594595,32,2.7663557002777774,11.567565225537262,27.235152777777785,86.157236
split_00,0,usad,usad_rankpct,cusum,critical,global_position_anomaly,51,9,0.17647058823529413,10,0.6878973927777778,14.537051753633342,21.4266408888889,54.04915199999999
split_00,0,usad,usad_rankpct,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,usad,usad_rankpct,cusum,critical,normal,0,0,,46,27.959377571111112,1.6452440646436017,,
split_00,0,usad,usad_rankpct,threshold,advisory,altitude_anomaly,114,7,0.06140350877192982,41,1.4421181852777778,28.430402181013108,6.315647428571432,24.99839300000002
split_00,0,usad,usad_rankpct,threshold,advisory,external_position_anomaly,185,109,0.5891891891891892,295,2.7663557002777774,106.63849192292163,6.700658394495413,65.99316600000002
split_00,0,usad,usad_rankpct,threshold,advisory,global_position_anomaly,51,17,0.3333333333333333,31,0.6878973927777778,45.064860436263366,19.234626294117646,166.96193900000003
split_00,0,usad,usad_rankpct,threshold,advisory,mechanical_fault,43,2,0.046511627906976744,19,1.299568493888889,14.620237478321377,13.481589499999984,26.96317899999997
split_00,0,usad,usad_rankpct,threshold,advisory,normal,0,0,,494,27.959377571111112,17.66849060725955,,
split_00,0,usad,usad_rankpct,k_of_n,advisory,altitude_anomaly,114,8,0.07017543859649122,50,1.4421181852777778,34.67122217196721,8.254911874999998,39.995192
split_00,0,usad,usad_rankpct,k_of_n,advisory,external_position_anomaly,185,82,0.44324324324324327,221,2.7663557002777774,79.88849733886671,7.07923035365854,54.00396700000002
split_00,0,usad,usad_rankpct,k_of_n,advisory,global_position_anomaly,51,5,0.09803921568627451,30,0.6878973927777778,43.61115526090003,17.204148599999993,41.855165
split_00,0,usad,usad_rankpct,k_of_n,advisory,mechanical_fault,43,4,0.09302325581395349,20,1.299568493888889,15.389723661390924,15.442076499999985,27.879136000000017
split_00,0,usad,usad_rankpct,k_of_n,advisory,normal,0,0,,411,27.959377571111112,14.699898055837398,,
split_00,0,usad,usad_rankpct,cusum,advisory,altitude_anomaly,114,8,0.07017543859649122,28,1.4421181852777778,19.415884416301633,34.97724062500001,147.00708999999998
split_00,0,usad,usad_rankpct,cusum,advisory,external_position_anomaly,185,79,0.42702702702702705,130,2.7663557002777774,46.99323372874513,11.199643,44.079406000000034
split_00,0,usad,usad_rankpct,cusum,advisory,global_position_anomaly,51,22,0.43137254901960786,29,0.6878973927777778,42.157450085536695,24.955080318181817,46.917550000000006
split_00,0,usad,usad_rankpct,cusum,advisory,mechanical_fault,43,1,0.023255813953488372,9,1.299568493888889,6.925375647625915,0.0,0.0
split_00,0,usad,usad_rankpct,cusum,advisory,normal,0,0,,292,27.959377571111112,10.443723192955037,,
split_01,1,usad,usad_relerr,threshold,critical,altitude_anomaly,114,19,0.16666666666666666,107,1.4421181852777778,74.19641544800982,6.212063210526316,43.013206999999966
split_01,1,usad,usad_relerr,threshold,critical,external_position_anomaly,185,89,0.4810810810810811,245,2.7663557002777774,88.56417125801967,4.2886,32.03156000000001
split_01,1,usad,usad_relerr,threshold,critical,global_position_anomaly,51,4,0.0784313725490196,17,0.6878973927777778,24.712987981176685,2.2801425,4.050720999999996
split_01,1,usad,usad_relerr,threshold,critical,mechanical_fault,43,1,0.023255813953488372,4,1.299568493888889,3.0779447322781848,3.9689970000000017,3.9689970000000017
split_01,1,usad,usad_relerr,threshold,critical,normal,0,0,,526,27.63281452361111,19.035339290196244,,
