split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,cusum,critical,258,35,0.1356589147286821,64,10.928946456944445,5.856008193665664,18.04564014285715,50.00577700000002
split_00,0,existing_fusion,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,k_of_n,advisory,258,21,0.0813953488372093,180,10.928946456944445,16.47002304468468,5.848879666666669,26.016403
split_00,0,existing_fusion,cusum,advisory,258,59,0.2286821705426356,188,10.928946456944445,17.20202406889289,14.890212542372876,36.845284
split_00,0,ml9_fusion,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,cusum,critical,258,32,0.1240310077519379,64,10.928946456944445,5.856008193665664,19.31714446875,52.83922100000001
split_00,0,ml9_fusion,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,k_of_n,advisory,258,22,0.0852713178294573,186,10.928946456944445,17.019023812840835,5.993892318181818,26.016403
split_00,0,ml9_fusion,cusum,advisory,258,61,0.2364341085271318,187,10.928946456944445,17.110523940866862,14.279054196721304,36.845284
split_00,0,pooled_ekf,threshold,critical,258,10,0.0387596899224806,2,10.928946456944445,0.183000256052052,14.190581300000002,24.074145
split_00,0,pooled_ekf,k_of_n,critical,258,14,0.0542635658914728,14,10.928946456944445,1.2810017923643642,11.645717714285714,57.018276
split_00,0,pooled_ekf,cusum,critical,258,6,0.0232558139534883,5,10.928946456944445,0.45750064013013,53.16400433333337,75.01275899999999
split_00,0,pooled_ekf,threshold,advisory,258,32,0.1240310077519379,234,10.928946456944445,21.411029958090086,6.382865968749997,61.07983399999999
split_00,0,pooled_ekf,k_of_n,advisory,258,18,0.0697674418604651,148,10.928946456944445,13.54201894785185,4.960937166666663,16.04529700000002
split_00,0,pooled_ekf,cusum,advisory,258,30,0.1162790697674418,68,10.928946456944445,6.222008705769769,16.322491900000003,50.987075
split_00,0,dikey_tutarlilik,threshold,critical,258,0,0.0,4,10.928946456944445,0.366000512104104,,
split_00,0,dikey_tutarlilik,k_of_n,critical,258,3,0.0116279069767441,9,10.928946456944445,0.823501152234234,8.611707000000019,17.016000000000005
split_00,0,dikey_tutarlilik,cusum,critical,258,8,0.0310077519379844,24,10.928946456944445,2.196003072624624,54.11146875,101.06041299999998
split_00,0,dikey_tutarlilik,threshold,advisory,258,25,0.0968992248062015,221,10.928946456944445,20.221528293751746,15.19297544,160.03151600000004
split_00,0,dikey_tutarlilik,k_of_n,advisory,258,21,0.0813953488372093,256,10.928946456944445,23.424032774662656,6.956492000000004,42.09608400000002
split_00,0,dikey_tutarlilik,cusum,advisory,258,21,0.0813953488372093,147,10.928946456944445,13.450518819825822,20.185270428571425,58.08656100000002
split_00,0,kontrol_cevabi,threshold,critical,258,3,0.0116279069767441,11,10.928946456944445,1.006501408286286,14.700511999999998,43.085527
split_00,0,kontrol_cevabi,k_of_n,critical,258,4,0.0155038759689922,9,10.928946456944445,0.823501152234234,31.792948249999984,78.11909499999999
split_00,0,kontrol_cevabi,cusum,critical,258,13,0.0503875968992248,71,10.928946456944445,6.496509089847846,43.1844196153846,77.12875600000001
split_00,0,kontrol_cevabi,threshold,advisory,258,36,0.1395348837209302,273,10.928946456944445,24.979534951105094,15.89682941666667,73.99606099999994
split_00,0,kontrol_cevabi,k_of_n,advisory,258,38,0.1472868217054263,294,10.928946456944445,26.901037639651644,16.628923052631574,57.092491
split_00,0,kontrol_cevabi,cusum,advisory,258,32,0.1240310077519379,234,10.928946456944445,21.411029958090086,18.22226709375,45.103141
split_00,0,motor_simetrisi,threshold,critical,258,0,0.0,25,10.928946456944445,2.28750320065065,,
split_00,0,motor_simetrisi,k_of_n,critical,258,1,0.003875968992248,31,10.928946456944445,2.8365039688068063,60.09712000000002,60.09712000000002
split_00,0,motor_simetrisi,cusum,critical,258,2,0.0077519379844961,19,10.928946456944445,1.738502432494494,74.9761585,102.961118
split_00,0,motor_simetrisi,threshold,advisory,258,7,0.0271317829457364,100,10.928946456944445,9.1500128026026,29.30615428571428,59.095669999999984
split_00,0,motor_simetrisi,k_of_n,advisory,258,5,0.0193798449612403,55,10.928946456944445,5.032507041431431,21.462093800000016,60.09712000000002
split_00,0,motor_simetrisi,cusum,advisory,258,11,0.0426356589147286,85,10.928946456944445,7.77751088221221,43.12234272727271,114.995652
split_01,1,existing_fusion,threshold,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,k_of_n,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,cusum,critical,258,35,0.13565891472868216,158,10.734994461388888,14.718219051559533,21.604793799999996,59.095669999999984
split_01,1,existing_fusion,threshold,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,k_of_n,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,cusum,advisory,258,59,0.22868217054263565,273,10.734994461388888,25.430846842251597,14.677601542372875,48.97536600000001
split_01,1,ml9_fusion,threshold,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,k_of_n,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,cusum,critical,258,36,0.13953488372093023,169,10.734994461388888,15.742905188060513,20.94874208333333,58.09403900000001
split_01,1,ml9_fusion,threshold,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,k_of_n,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,cusum,advisory,258,60,0.23255813953488372,290,10.734994461388888,27.014452689571293,15.216362716666659,48.97536600000001
