split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,usad_score,threshold,critical,393,78,0.1984732824427481,53,34.15531734333333,1.5517349602475559,7.18454043589744,61.07983399999999
split_00,0,usad_score,k_of_n,critical,393,51,0.1297709923664122,74,34.15531734333333,2.1665733407230023,8.990460254901967,63.105069
split_00,0,usad_score,cusum,critical,393,12,0.030534351145038167,29,34.15531734333333,0.8490625254184739,49.82007791666667,98.92748199999998
split_00,0,usad_score,threshold,advisory,393,127,0.3231552162849873,1020,34.15531734333333,29.86357848023598,4.918059385826772,33.97825399999999
split_00,0,usad_score,k_of_n,advisory,393,109,0.27735368956743,919,34.15531734333333,26.90649865033026,6.509167559633024,52.07152400000001
split_00,0,usad_score,cusum,advisory,393,77,0.19592875318066158,311,34.15531734333333,9.105463634660186,17.099930519480512,66.011956
split_00,0,usad_ml14_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,cusum,advisory,393,2,0.005089058524173028,110,34.15531734333333,3.2205819929666255,84.99534299999999,125.030001
split_00,0,usad_itki_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,cusum,critical,393,6,0.015267175572519083,36,34.15531734333333,1.054008652243623,35.21540933333335,63.089397999999996
split_00,0,usad_itki_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,cusum,advisory,393,73,0.18575063613231552,979,34.15531734333333,28.663179737402967,15.638688054794523,85.14009300000004
