split,seed,model,decision,budget,fault_group,n_events,detected_events,event_onset_recall
split_00,0,lstm_ae,threshold,critical,motor,178,77,0.43258426966292135
split_00,0,lstm_ae,threshold,critical,sensor,125,27,0.216
split_00,0,lstm_ae,k_of_n,critical,motor,178,78,0.43820224719101125
split_00,0,lstm_ae,k_of_n,critical,sensor,125,29,0.232
split_00,0,lstm_ae,cusum,critical,motor,178,118,0.6629213483146067
split_00,0,lstm_ae,cusum,critical,sensor,125,64,0.512
split_00,0,lstm_ae,threshold,advisory,motor,178,0,0.0
split_00,0,lstm_ae,threshold,advisory,sensor,125,0,0.0
split_00,0,lstm_ae,k_of_n,advisory,motor,178,0,0.0
split_00,0,lstm_ae,k_of_n,advisory,sensor,125,0,0.0
split_00,0,lstm_ae,cusum,advisory,motor,178,152,0.8539325842696629
split_00,0,lstm_ae,cusum,advisory,sensor,125,95,0.76
split_00,0,dense_ae,threshold,critical,motor,178,64,0.3595505617977528
split_00,0,dense_ae,threshold,critical,sensor,125,13,0.104
split_00,0,dense_ae,k_of_n,critical,motor,178,71,0.398876404494382
split_00,0,dense_ae,k_of_n,critical,sensor,125,16,0.128
split_00,0,dense_ae,cusum,critical,motor,178,104,0.5842696629213483
split_00,0,dense_ae,cusum,critical,sensor,125,45,0.36
split_00,0,dense_ae,threshold,advisory,motor,178,0,0.0
split_00,0,dense_ae,threshold,advisory,sensor,125,0,0.0
split_00,0,dense_ae,k_of_n,advisory,motor,178,0,0.0
split_00,0,dense_ae,k_of_n,advisory,sensor,125,0,0.0
split_00,0,dense_ae,cusum,advisory,motor,178,140,0.7865168539325843
split_00,0,dense_ae,cusum,advisory,sensor,125,88,0.704
split_00,0,usad,threshold,critical,motor,178,54,0.30337078651685395
split_00,0,usad,threshold,critical,sensor,125,11,0.088
split_00,0,usad,k_of_n,critical,motor,178,60,0.33707865168539325
split_00,0,usad,k_of_n,critical,sensor,125,14,0.112
split_00,0,usad,cusum,critical,motor,178,100,0.5617977528089888
split_00,0,usad,cusum,critical,sensor,125,41,0.328
split_00,0,usad,threshold,advisory,motor,178,0,0.0
split_00,0,usad,threshold,advisory,sensor,125,1,0.008
split_00,0,usad,k_of_n,advisory,motor,178,0,0.0
