split,seed,model,decision,budget,tp,fn,fp,tn
split_00,0,lstm_ae,threshold,critical,104,199,2,10
split_00,0,lstm_ae,k_of_n,critical,107,196,2,10
split_00,0,lstm_ae,cusum,critical,182,121,7,5
split_00,0,lstm_ae,threshold,advisory,0,303,12,0
split_00,0,lstm_ae,k_of_n,advisory,0,303,12,0
split_00,0,lstm_ae,cusum,advisory,247,56,9,3
split_00,0,dense_ae,threshold,critical,77,226,2,10
split_00,0,dense_ae,k_of_n,critical,87,216,2,10
split_00,0,dense_ae,cusum,critical,149,154,6,6
split_00,0,dense_ae,threshold,advisory,0,303,12,0
split_00,0,dense_ae,k_of_n,advisory,0,303,12,0
split_00,0,dense_ae,cusum,advisory,228,75,9,3
split_00,0,usad,threshold,critical,65,238,2,10
split_00,0,usad,k_of_n,critical,74,229,2,10
split_00,0,usad,cusum,critical,141,162,3,9
split_00,0,usad,threshold,advisory,1,302,12,0
split_00,0,usad,k_of_n,advisory,1,302,12,0
split_00,0,usad,cusum,advisory,213,90,8,4
split_01,1,lstm_ae,threshold,critical,80,223,2,10
split_01,1,lstm_ae,k_of_n,critical,78,225,2,10
split_01,1,lstm_ae,cusum,critical,156,147,7,5
split_01,1,lstm_ae,threshold,advisory,0,303,12,0
split_01,1,lstm_ae,k_of_n,advisory,0,303,12,0
split_01,1,lstm_ae,cusum,advisory,229,74,9,3
split_01,1,dense_ae,threshold,critical,73,230,1,11
split_01,1,dense_ae,k_of_n,critical,73,230,1,11
split_01,1,dense_ae,cusum,critical,146,157,7,5
split_01,1,dense_ae,threshold,advisory,1,302,12,0
split_01,1,dense_ae,k_of_n,advisory,1,302,12,0
split_01,1,dense_ae,cusum,advisory,227,76,8,4
split_01,1,usad,threshold,critical,41,262,1,11
split_01,1,usad,k_of_n,critical,39,264,1,11
split_01,1,usad,cusum,critical,113,190,6,6
split_01,1,usad,threshold,advisory,1,302,12,0
split_01,1,usad,k_of_n,advisory,1,302,12,0
split_01,1,usad,cusum,advisory,212,91,8,4
split_02,2,lstm_ae,threshold,critical,104,199,2,10
split_02,2,lstm_ae,k_of_n,critical,104,199,2,10
split_02,2,lstm_ae,cusum,critical,139,164,6,6
split_02,2,lstm_ae,threshold,advisory,0,303,12,0
split_02,2,lstm_ae,k_of_n,advisory,0,303,12,0
split_02,2,lstm_ae,cusum,advisory,213,90,8,4
split_02,2,dense_ae,threshold,critical,91,212,3,9
split_02,2,dense_ae,k_of_n,critical,92,211,3,9
split_02,2,dense_ae,cusum,critical,116,187,5,7
split_02,2,dense_ae,threshold,advisory,0,303,12,0
split_02,2,dense_ae,k_of_n,advisory,0,303,12,0
split_02,2,dense_ae,cusum,advisory,173,130,8,4
split_02,2,usad,threshold,critical,76,227,2,10
split_02,2,usad,k_of_n,critical,81,222,2,10
split_02,2,usad,cusum,critical,119,184,4,8
split_02,2,usad,threshold,advisory,0,303,12,0
split_02,2,usad,k_of_n,advisory,0,303,12,0
split_02,2,usad,cusum,advisory,188,115,8,4
split_03,3,lstm_ae,threshold,critical,128,175,5,7
split_03,3,lstm_ae,k_of_n,critical,127,176,5,7
split_03,3,lstm_ae,cusum,critical,130,173,4,8
split_03,3,lstm_ae,threshold,advisory,0,303,12,0
split_03,3,lstm_ae,k_of_n,advisory,0,303,12,0
split_03,3,lstm_ae,cusum,advisory,213,90,12,0
split_03,3,dense_ae,threshold,critical,114,189,7,5
split_03,3,dense_ae,k_of_n,critical,114,189,7,5
split_03,3,dense_ae,cusum,critical,124,179,4,8
split_03,3,dense_ae,threshold,advisory,0,303,12,0
split_03,3,dense_ae,k_of_n,advisory,0,303,12,0
split_03,3,dense_ae,cusum,advisory,198,105,12,0
split_03,3,usad,threshold,critical,122,181,8,4
split_03,3,usad,k_of_n,critical,122,181,8,4
split_03,3,usad,cusum,critical,103,200,2,10
split_03,3,usad,threshold,advisory,0,303,12,0
split_03,3,usad,k_of_n,advisory,0,303,12,0
split_03,3,usad,cusum,advisory,184,119,11,1
split_04,4,lstm_ae,threshold,critical,94,209,2,10
split_04,4,lstm_ae,k_of_n,critical,94,209,2,10
split_04,4,lstm_ae,cusum,critical,146,157,3,9
split_04,4,lstm_ae,threshold,advisory,0,303,12,0
split_04,4,lstm_ae,k_of_n,advisory,0,303,12,0
split_04,4,lstm_ae,cusum,advisory,221,82,9,3
split_04,4,dense_ae,threshold,critical,104,199,2,10
split_04,4,dense_ae,k_of_n,critical,102,201,2,10
split_04,4,dense_ae,cusum,critical,131,172,3,9
split_04,4,dense_ae,threshold,advisory,0,303,12,0
split_04,4,dense_ae,k_of_n,advisory,0,303,12,0
split_04,4,dense_ae,cusum,advisory,209,94,9,3
split_04,4,usad,threshold,critical,103,200,3,9
split_04,4,usad,k_of_n,critical,103,200,3,9
split_04,4,usad,cusum,critical,133,170,4,8
split_04,4,usad,threshold,advisory,0,303,12,0
split_04,4,usad,k_of_n,advisory,0,303,12,0
split_04,4,usad,cusum,advisory,217,86,9,3
