model,decision,budget,mean_event_onset_recall,mean_false_alarms_per_hour,mean_median_detection_delay_s,seed_count,passed_operational_gate
dense_ae,cusum,advisory,0.6831683168316831,135.9428101420239,10.8983373,5,False
dense_ae,cusum,critical,0.43960396039603966,55.39320601265742,21.414344299999993,5,False
dense_ae,k_of_n,advisory,0.0006600660066006601,51.35670345241779,35.00289399999997,5,False
dense_ae,k_of_n,critical,0.3089108910891089,30.499399863215626,14.616163200000011,5,False
dense_ae,threshold,advisory,0.0006600660066006601,51.35670345241779,34.79715799999997,5,False
dense_ae,threshold,critical,0.3029702970297029,29.2048010855027,15.242536599999994,5,False
lstm_ae,cusum,advisory,0.7412541254125411,145.81431364106896,9.823203399999992,5,False
lstm_ae,cusum,critical,0.497029702970297,64.01592998194499,17.540826800000005,5,False
lstm_ae,k_of_n,advisory,0.0,51.22750239254922,,5,False
lstm_ae,k_of_n,critical,0.3366336633663366,31.599655288364477,12.167269199999993,5,False
lstm_ae,threshold,advisory,0.0,51.22750239254922,,5,False
lstm_ae,threshold,critical,0.3366336633663366,31.212812476546425,11.874008999999997,5,False
usad,cusum,advisory,0.6693069306930692,128.45599028727685,11.630444100000005,5,False
usad,cusum,critical,0.401980198019802,54.82080392170214,21.106039200000005,5,False
usad,k_of_n,advisory,0.0013201320132013201,51.64764358545089,35.00289399999997,5,False
usad,k_of_n,critical,0.2765676567656766,28.557928821381275,16.471709500000003,5,False
usad,threshold,advisory,0.0013201320132013201,51.64764358545089,34.79715799999997,5,False
usad,threshold,critical,0.26864686468646864,27.0385526634958,15.27480819999999,5,False
