split,seed,model,best_epoch,best_val_loss,parameter_count,audit_windows,n_windows,n_positive_windows,n_negative_windows,auroc,auprc,positive_prevalence,rho_trained_vs_untrained,rho_trained_vs_magnitude,rho_threshold,magnitude_domination_flagged
split_00,0,lstm_ae,39,1.842511534690857,19507,5000,32476,13120,19356,0.586779913441474,0.4732702397565293,0.40399063924128586,0.9321037600681503,0.9330669633386784,0.8,True
split_00,0,dense_ae,40,2.110496759414673,22814,5000,32476,13120,19356,0.5633043292808936,0.45166903672425557,0.40399063924128586,0.9434170008059641,0.9434417157443112,0.8,True
split_00,0,usad,4,6.362445831298828,35094,5000,32476,13120,19356,0.5324743517167425,0.4289250869049399,0.40399063924128586,0.9995064015562205,0.9996247719609639,0.8,True
split_01,1,lstm_ae,40,2.4414050579071045,19507,5000,32492,13120,19372,0.57228161882186,0.4582280843772716,0.40379170257294106,0.8885852831433895,0.8854463593323557,0.8,True
split_01,1,dense_ae,40,2.672358512878418,22814,5000,32492,13120,19372,0.5695903779593882,0.4608946954757693,0.40379170257294106,0.8967815024047828,0.8955266398640507,0.8,True
split_01,1,usad,9,7.853888511657715,35094,5000,32492,13120,19372,0.5093456524188796,0.40823273250604936,0.40379170257294106,0.9957456427098255,0.9955499340777837,0.8,True
split_02,2,lstm_ae,38,2.110947608947754,19507,5000,32476,13120,19356,0.5832374229929335,0.4724080431019925,0.40399063924128586,0.9430192827486688,0.9427022598267153,0.8,True
split_02,2,dense_ae,40,2.34123158454895,22814,5000,32476,13120,19356,0.5608282701462709,0.4496339307721235,0.40399063924128586,0.9503412729324591,0.9501277896851115,0.8,True
split_02,2,usad,6,6.087754726409912,35094,5000,32476,13120,19356,0.5401133731772841,0.4409092164579401,0.40399063924128586,0.9990164410326107,0.9990682637787082,0.8,True
split_03,3,lstm_ae,36,2.6220107078552246,19507,5000,32889,13120,19769,0.601653121757519,0.48161483554780726,0.39891757122442156,0.9519359726054387,0.9508562986947137,0.8,True
split_03,3,dense_ae,40,2.7720189094543457,22814,5000,32889,13120,19769,0.5886184227368793,0.47150046550827895,0.39891757122442156,0.9674318959772757,0.9672856626970711,0.8,True
split_03,3,usad,8,6.900206565856934,35094,5000,32889,13120,19769,0.556798162450079,0.44500307928943716,0.39891757122442156,0.9988418045936168,0.9988502477458997,0.8,True
split_04,4,lstm_ae,40,2.5935182571411133,19507,5000,32483,13120,19363,0.5959883788763582,0.4872822906855029,0.4039035803343287,0.9504263065930522,0.9507614313012754,0.8,True
split_04,4,dense_ae,40,2.883228063583374,22814,5000,32483,13120,19363,0.5845694300199148,0.48346520104079094,0.4039035803343287,0.9580361014484369,0.9578446703117637,0.8,True
split_04,4,usad,4,7.686428546905518,35094,5000,32483,13120,19363,0.5618492212485972,0.4527462203296228,0.4039035803343287,0.9998531425301223,0.9998612753864444,0.8,True
