policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,158,0.6666666666666666
advisory,HIL,Motor,744,531,0.7137096774193549
advisory,HIL,Propeller,387,319,0.8242894056847545
advisory,HIL,Sensor,552,366,0.6630434782608695
advisory,HIL,Voltage,30,16,0.5333333333333333
advisory,Real,Motor,196,69,0.3520408163265306
advisory,Real,Sensor,158,74,0.46835443037974683
advisory,SIL,Load,237,136,0.5738396624472574
advisory,SIL,Motor,744,514,0.6908602150537635
advisory,SIL,Propeller,354,332,0.9378531073446328
advisory,SIL,Sensor,552,226,0.40942028985507245
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,171,0.7215189873417721
critical,HIL,Motor,744,557,0.7486559139784946
critical,HIL,Propeller,387,363,0.937984496124031
critical,HIL,Sensor,552,360,0.6521739130434783
critical,HIL,Voltage,30,18,0.6
critical,Real,Motor,196,59,0.3010204081632653
critical,Real,Sensor,158,58,0.3670886075949367
critical,SIL,Load,237,125,0.5274261603375527
critical,SIL,Motor,744,373,0.5013440860215054
critical,SIL,Propeller,354,292,0.8248587570621468
critical,SIL,Sensor,552,158,0.286231884057971
critical,SIL,Voltage,30,12,0.4
