policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,164,0.6919831223628692
advisory,HIL,Motor,744,539,0.7244623655913979
advisory,HIL,Propeller,387,319,0.8242894056847545
advisory,HIL,Sensor,552,369,0.6684782608695652
advisory,HIL,Voltage,30,17,0.5666666666666667
advisory,Real,Motor,196,66,0.336734693877551
advisory,Real,Sensor,158,76,0.4810126582278481
advisory,SIL,Load,237,136,0.5738396624472574
advisory,SIL,Motor,744,493,0.6626344086021505
advisory,SIL,Propeller,354,315,0.8898305084745762
advisory,SIL,Sensor,552,218,0.39492753623188404
advisory,SIL,Voltage,30,13,0.43333333333333335
critical,HIL,Load,237,162,0.6835443037974683
critical,HIL,Motor,744,539,0.7244623655913979
critical,HIL,Propeller,387,333,0.8604651162790697
critical,HIL,Sensor,552,357,0.6467391304347826
critical,HIL,Voltage,30,17,0.5666666666666667
critical,Real,Motor,196,62,0.3163265306122449
critical,Real,Sensor,158,57,0.36075949367088606
critical,SIL,Load,237,130,0.5485232067510548
critical,SIL,Motor,744,385,0.5174731182795699
critical,SIL,Propeller,354,287,0.8107344632768362
critical,SIL,Sensor,552,178,0.322463768115942
critical,SIL,Voltage,30,13,0.43333333333333335
