policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,179,0.7552742616033755
advisory,HIL,Motor,744,665,0.8938172043010753
advisory,HIL,Propeller,387,375,0.9689922480620154
advisory,HIL,Sensor,552,357,0.6467391304347826
advisory,HIL,Voltage,30,16,0.5333333333333333
advisory,Real,Motor,196,74,0.37755102040816324
advisory,Real,Sensor,158,66,0.4177215189873418
advisory,SIL,Load,237,161,0.679324894514768
advisory,SIL,Motor,744,672,0.9032258064516129
advisory,SIL,Propeller,354,309,0.8728813559322034
advisory,SIL,Sensor,552,283,0.5126811594202898
advisory,SIL,Voltage,30,17,0.5666666666666667
critical,HIL,Load,237,161,0.679324894514768
critical,HIL,Motor,744,531,0.7137096774193549
critical,HIL,Propeller,387,368,0.9509043927648578
critical,HIL,Sensor,552,320,0.5797101449275363
critical,HIL,Voltage,30,10,0.3333333333333333
critical,Real,Motor,196,11,0.05612244897959184
critical,Real,Sensor,158,2,0.012658227848101266
critical,SIL,Load,237,187,0.7890295358649789
critical,SIL,Motor,744,670,0.9005376344086021
critical,SIL,Propeller,354,336,0.9491525423728814
critical,SIL,Sensor,552,295,0.5344202898550725
critical,SIL,Voltage,30,13,0.43333333333333335
