policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,141,0.5949367088607594
advisory,HIL,Motor,744,537,0.7217741935483871
advisory,HIL,Propeller,387,346,0.8940568475452196
advisory,HIL,Sensor,552,271,0.49094202898550726
advisory,HIL,Voltage,30,10,0.3333333333333333
advisory,Real,Motor,196,69,0.3520408163265306
advisory,Real,Sensor,158,66,0.4177215189873418
advisory,SIL,Load,237,175,0.7383966244725738
advisory,SIL,Motor,744,712,0.956989247311828
advisory,SIL,Propeller,354,348,0.9830508474576272
advisory,SIL,Sensor,552,290,0.5253623188405797
advisory,SIL,Voltage,30,19,0.6333333333333333
critical,HIL,Load,237,137,0.5780590717299579
critical,HIL,Motor,744,510,0.6854838709677419
critical,HIL,Propeller,387,342,0.8837209302325582
critical,HIL,Sensor,552,258,0.4673913043478261
critical,HIL,Voltage,30,9,0.3
critical,Real,Motor,196,17,0.08673469387755102
critical,Real,Sensor,158,1,0.006329113924050633
critical,SIL,Load,237,171,0.7215189873417721
critical,SIL,Motor,744,707,0.9502688172043011
critical,SIL,Propeller,354,343,0.9689265536723164
critical,SIL,Sensor,552,285,0.5163043478260869
critical,SIL,Voltage,30,16,0.5333333333333333
