epoch,train_loss,validation_loss
1,10.6773104429245,9.349714279174805
2,7.494609606266022,7.2769012451171875
3,5.989724236726761,6.730170249938965
4,5.190321785211563,6.619689464569092
5,4.948827588558197,6.247920036315918
6,4.3368845641613,5.625943183898926
7,3.670542997121811,5.152225017547607
8,3.138655561208725,4.933168411254883
9,2.994142597913742,4.916129112243652
10,2.879457825422287,4.701834201812744
11,2.7561858236789702,4.437323570251465
12,2.6573614299297335,4.478997230529785
13,2.5459122240543364,4.276959419250488
14,2.3864691287279127,4.134811878204346
15,2.1851757287979128,4.002556800842285
16,2.0828156769275665,3.926438093185425
17,2.052705204486847,3.8692586421966553
18,1.9983007580041885,3.788423538208008
19,1.9403892159461975,3.798875093460083
20,1.8152644515037537,3.715742588043213
21,1.7940481543540954,3.594707489013672
22,1.7574468582868576,3.57226300239563
23,1.6847110390663147,3.547703504562378
24,1.7126067191362382,3.495049238204956
25,1.648128867149353,3.4409120082855225
