validation_rotation,run,policy,fault_flights,detected_fault_flights,event_recall,flight_tp,flight_fn,flight_fp,flight_tn,normal_validation_fa_per_hour,all_nonfault_fa_per_hour,environment_fa_per_hour
0,run_20260722_093407,critical,4221,2714,0.6429755981994788,2714,1507,2,98,0.9741577594371532,1.4875231302660654,30.405320791996544
0,run_20260722_093407,advisory,4221,3215,0.7616678512200901,3215,1006,23,77,11.68989311324584,3.4493289977184127,33.81151817890884
1,run_20260722_094008,critical,4221,2795,0.662165363657901,2795,1426,3,88,1.4630181522622596,0.7330219187926696,32.05832834740987
1,run_20260722_094008,advisory,4221,2977,0.7052831082681829,2977,1244,21,70,10.241127065835816,5.303629177146963,32.90987769413794
2,run_20260722_094619,critical,4221,2528,0.5989102108505093,2528,1693,3,87,1.6757176105508147,1.6477659401480338,28.65213096049757
2,run_20260722_094619,advisory,4221,2867,0.6792229329542763,2867,1354,19,71,10.61287820015516,2.298199863890679,31.857963795238557
3,run_20260722_095048,critical,4221,2188,0.5183605780620706,2188,2033,2,98,1.199000832639467,1.3043241970254162,24.09383739860023
3,run_20260722_095048,advisory,4221,2574,0.6098081023454158,2574,1647,17,83,10.791007493755204,2.499954710965381,28.000946165940807
4,run_20260722_095707,critical,4221,2529,0.5991471215351812,2529,1692,1,90,0.6598240469208212,1.221418444872587,27.099305681169906
4,run_20260722_095707,advisory,4221,3106,0.7358445865908553,3106,1115,16,75,10.55718475073314,4.667563342905958,31.106596724596137
