outer_fold,validation_fold,epoch_cap,policy,event_recall,all_nonfault_fa_per_hour,median_detection_delay_s,wind_fa_per_hour,real_motor_recall,real_sensor_recall,real_macro_recall,real_normal_fa_per_hour,real_normal_alarm_flight_rate,run_dir
0,4,12,critical,0.4394409937888199,2.368001619146406,30.0,4.781742437964137,0.3125,0.0,0.15625,,,artifacts/rfly_full/v2/supervised_tcn/run_20260722_161559
0,4,12,advisory,0.7003105590062112,11.840008095732031,21.0,23.908712189820687,0.25,0.02631578947368421,0.1381578947368421,,,artifacts/rfly_full/v2/supervised_tcn/run_20260722_161559
1,0,12,critical,0.0891191709844559,0.7154213036565977,26.500000000000004,2.359624207996504,0.13043478260869565,0.010638297872340425,0.07053654024051803,0.0,0.0,artifacts/rfly_full/v2/supervised_tcn/run_20260722_162854
1,0,12,advisory,0.7088082901554404,9.80127186009539,19.0,25.169324885296046,0.5217391304347826,0.07446808510638298,0.29810360777058276,2.247191011235955,0.05,artifacts/rfly_full/v2/supervised_tcn/run_20260722_162854
2,1,12,critical,0.3003355704697986,0.087368037859483,21.0,0.807899461400359,0.0,0.0,0.0,0.0,0.0,artifacts/rfly_full/v2/supervised_tcn/run_20260722_164132
2,1,12,advisory,0.6526845637583892,5.329450309428467,17.000000000000007,11.310592459605026,0.6078431372549019,0.0,0.30392156862745096,0.0,0.0,artifacts/rfly_full/v2/supervised_tcn/run_20260722_164132
3,2,12,critical,0.4405144694533762,9.446895147607735,23.0,16.216918612206005,0.5161290322580645,,,,,artifacts/rfly_full/v2/supervised_tcn/run_20260722_165524
3,2,12,advisory,0.7459807073954984,23.861554122836782,17.0,42.725343266773514,0.6129032258064516,,,,,artifacts/rfly_full/v2/supervised_tcn/run_20260722_165524
4,3,12,critical,0.1741854636591478,1.741707235946902,26.0,7.880910683012259,0.02666666666666667,,,0.0,0.0,artifacts/rfly_full/v2/supervised_tcn/run_20260722_171024
4,3,12,advisory,0.5852130325814536,11.865380544888271,22.000000000000007,32.04903677758319,0.10666666666666667,,,0.0,0.0,artifacts/rfly_full/v2/supervised_tcn/run_20260722_171024
