canonical_case_id,domain,fault_family,evaluation_role,detected,false_alarm_events,detection_delay_s,normal_exposure_s,policy
rfly_83f034895cc4cc18cf99,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_034c0ad902bab3f8adb0,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_daffa577e59b944cdb3a,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_82f4442c43e7ccab57b0,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_06a1e6e4f50adf51c53e,HIL,Environment,environment_robustness,False,0,,70,critical
rfly_533d6f52fc1781ca63d6,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_4f9ce53b68c7c5593a0b,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_1a0f3f24bdf5fa14a326,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_7dc73395d8b968a7b343,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_6e8fc69ff5ba9374a027,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_fb94894fc021a16c3413,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_01a1d52cce4638ddb386,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_139f8f04aa74d80ca268,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_3c8beee03e1a7ba91a94,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_dc8c64b10a18fff5fd5f,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_06c01c9eca2666e59f2a,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_33d2c5e28aa0a9be4c40,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_43c5dcb9451d366a8fa8,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_34d17903b5a6890c9351,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_fe11b9f63657616abafe,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_3cbdf66a2e627d71649a,HIL,Environment,environment_robustness,False,0,,66,critical
rfly_579548c33121b4afba49,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_940ed9063320d1942756,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_5df693a272918de1560e,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_5cb53d925ff22be6c885,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_bd2352c7dba2c80a2cc9,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_47d072c20b52b2bea0a5,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_327df1fac2dc866411b3,HIL,Environment,environment_robustness,False,0,,60,critical
rfly_398a0da2b8ab9146b395,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_dc72eb363a680049a517,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_2cc306045d7b6a784a11,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_cc0af3a2520cbe76badb,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_2f073594b0fdd469b430,HIL,Environment,environment_robustness,False,0,,59,critical
rfly_b6c7c08a865098fb6b78,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_ffd8d538a73a43ec57bc,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_1c8851f983e07bbb508c,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_15be5bbdd3f4aad20fdf,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_7208dd471a53b0c9fdb4,HIL,Environment,environment_robustness,False,0,,62,critical
rfly_fe7a7bcd865ea3a1177a,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_143413d0fc9b5e17b969,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_049d68ada8b8fcb14676,HIL,Environment,environment_robustness,False,1,,65,critical
rfly_c5f0c565d6ab02c3c93d,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_31ec4b4836d4024956ca,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_8e0176c23c25376146a2,HIL,Environment,environment_robustness,False,0,,71,critical
rfly_b6afe730e03cf4846790,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_6c2f87951d24b50aba30,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_796b3348850ae652c8c3,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_7879f93deea9a6806d94,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_d23d164c3311a1c24be4,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_3240f8bc33592b25ecb1,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_c72c8172a1c51aba276b,HIL,Environment,environment_robustness,False,0,,63,critical
rfly_009787717a505146e61b,HIL,Environment,environment_robustness,False,0,,65,critical
rfly_5c3e241d042df07b933d,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_86262c5f17ba13b83e36,HIL,Environment,environment_robustness,False,0,,61,critical
rfly_c68d43bf4da7ef8557d5,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_e2778f6800b5868e2092,HIL,Environment,environment_robustness,False,0,,68,critical
rfly_7e66d4db465d9614e3b4,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_ecf82c0d2188ab78a6c7,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_5879b78e96b4f2e14ab9,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_f1ef05b7b0917bb5c824,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_7db049330208ebfc6c0f,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_23fe86393029f3a892ad,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_b12a755be9505b7b68d0,HIL,Environment,environment_robustness,False,0,,69,critical
rfly_2cf0c56ad51e8eca1cbf,HIL,Environment,environment_robustness,False,0,,67,critical
rfly_9426803a0200652ace64,HIL,Environment,environment_robustness,False,0,,63,critical
rfly_3d645835aa3b174b718f,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_6a75557b526aaba01b84,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_d66da4da0b872c422807,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_799c1b2065defdad17b9,HIL,Environment,environment_robustness,False,0,,64,critical
rfly_eb0f3fa02cf1afba1ee7,HIL,Motor,fault_detection,False,0,,0,critical
rfly_29438f568a60ea191699,HIL,Motor,fault_detection,False,0,,0,critical
rfly_a23a6eebb68abac757b1,HIL,Motor,fault_detection,False,0,,0,critical
rfly_abaeb8210147c03bd1e7,HIL,Motor,fault_detection,False,0,,2,critical
rfly_33520e555f25d469019a,HIL,Motor,fault_detection,False,0,,0,critical
rfly_f798f159431e40d47074,HIL,Motor,fault_detection,False,0,,2,critical
rfly_bf87086953dc617083bd,HIL,Motor,fault_detection,False,0,,0,critical
rfly_b09c088e76b8f86ebbb9,HIL,Motor,fault_detection,False,0,,2,critical
rfly_5bd686d85ac8bf59a611,HIL,Motor,fault_detection,False,0,,0,critical
rfly_128e0305365685c407b3,HIL,Motor,fault_detection,False,0,,0,critical
rfly_bee1136eb156e0e7bdf0,HIL,Motor,fault_detection,False,0,,0,critical
rfly_d5da608400a077d97b59,HIL,Motor,fault_detection,False,0,,2,critical
rfly_c447689879a6592cc9af,HIL,Motor,fault_detection,False,0,,0,critical
rfly_3407c45b305d98304d0c,HIL,Motor,fault_detection,False,0,,2,critical
rfly_666f14dfb9fd99bf3fbd,HIL,Motor,fault_detection,False,0,,0,critical
rfly_7c5d067aeeed8a6e97c1,HIL,Motor,fault_detection,False,0,,0,critical
rfly_a6b17cc26be4af2370a0,HIL,Motor,fault_detection,False,0,,0,critical
rfly_7ea54e65c6a814d7fc80,HIL,Motor,fault_detection,False,0,,0,critical
rfly_f4b86ecc4abee38458a3,HIL,Motor,fault_detection,False,0,,0,critical
rfly_29c838b73a47c372a422,HIL,Motor,fault_detection,False,0,,0,critical
rfly_3f348e699e8e5c047de7,HIL,Motor,fault_detection,False,0,,0,critical
rfly_a74135cfaff86e5ac761,HIL,Motor,fault_detection,False,0,,2,critical
rfly_07231b4e2e4565538901,HIL,Motor,fault_detection,False,0,,0,critical
rfly_7b66f6113805f76c6491,HIL,Motor,fault_detection,False,0,,2,critical
rfly_6211c49f397ff70c2173,HIL,Motor,fault_detection,False,0,,0,critical
rfly_3160e1a3695a05fee5a1,HIL,Motor,fault_detection,False,0,,2,critical
rfly_d2e6ef8c098c0f6393d5,HIL,Motor,fault_detection,False,0,,0,critical
rfly_5c36d53338fe0b1146fa,HIL,Motor,fault_detection,False,0,,0,critical
rfly_bd472b9535c20f29d1d0,HIL,Motor,fault_detection,False,0,,0,critical
rfly_abdbda0a5c630b4c39da,HIL,Motor,fault_detection,False,0,,0,critical
rfly_656c89122c0221e4f0b0,HIL,Motor,fault_detection,False,0,,0,critical
rfly_ba9ebecbc36e9354f0a3,HIL,Motor,fault_detection,False,0,,0,critical
rfly_00ee001c99aa159cfd11,HIL,Motor,fault_detection,False,0,,0,critical
rfly_22751cc0b4847a83c42e,HIL,Motor,fault_detection,False,0,,3,critical
rfly_972c301fe59b7858ccd6,HIL,Motor,fault_detection,False,0,,0,critical
rfly_a09307c89b82cc788221,HIL,Motor,fault_detection,False,0,,3,critical
rfly_9ac9c823e426055549c4,HIL,Motor,fault_detection,False,0,,0,critical
rfly_9e506adacaa3eed11f62,HIL,Motor,fault_detection,False,0,,0,critical
rfly_8696014d95854d633365,HIL,Motor,fault_detection,False,0,,0,critical
rfly_0a858766692be0e3d31b,HIL,Motor,fault_detection,False,0,,2,critical
rfly_672e820dce9ecb0df453,HIL,Motor,fault_detection,False,0,,0,critical
rfly_d189eccf0a77e2064312,HIL,Motor,fault_detection,False,0,,2,critical
rfly_960b9c87cb287023dab2,HIL,Motor,fault_detection,False,0,,0,critical
rfly_2264c854ed3562a19c67,HIL,Motor,fault_detection,False,0,,2,critical
rfly_89e78e7812f87f8adca4,HIL,Motor,fault_detection,False,0,,0,critical
