policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,43,24,0.5581395348837209
advisory,HIL,Motor,243,143,0.588477366255144
advisory,HIL,Sensor,104,32,0.3076923076923077
advisory,Real,Motor,75,8,0.10666666666666667
advisory,SIL,Load,54,37,0.6851851851851852
advisory,SIL,Motor,81,73,0.9012345679012346
advisory,SIL,Propeller,48,39,0.8125
advisory,SIL,Sensor,138,105,0.7608695652173914
advisory,SIL,Voltage,12,6,0.5
critical,HIL,Load,43,0,0.0
critical,HIL,Motor,243,23,0.09465020576131687
critical,HIL,Sensor,104,13,0.125
critical,Real,Motor,75,2,0.02666666666666667
critical,SIL,Load,54,2,0.037037037037037035
critical,SIL,Motor,81,22,0.2716049382716049
critical,SIL,Propeller,48,0,0.0
critical,SIL,Sensor,138,77,0.5579710144927537
critical,SIL,Voltage,12,0,0.0
