tier,signature,flight_count,distinct_split_group_ids,spans_multiple_split_groups,spans_locked_and_development,canonical_case_ids,split_group_ids
duration_signature,SIL|Sensor|Accelerometer|101.2|1013,18,4,True,True,rfly_01649d3149ca761f3548;rfly_1c9d2446c57fc754fb03;rfly_244518d8ffe7dcaf6806;rfly_531b79e3d10a8b6e0058;rfly_5b17b5a7b84e9aa5f76b;rfly_5b2d083defc1b0c12415;rfly_5e6576df1b6d16833058;rfly_64f5049e3b386b8daed5;rfly_6bbc358fa899065b7083;rfly_7a8be169a5730a10908c;rfly_928fcdaab289323edb04;rfly_93ecd8c461e005dd0449;rfly_9966c118261c350c7528;rfly_9c49e18996bcaec6bef8;rfly_a9cf36cb2560dfe5216f;rfly_df6d63d692da364eccaf;rfly_ec779bbbbadddf760c0f;rfly_f7dc2f771ab13bf2624f,simulation_scenario:SIL-Sensors/acce-acce;simulation_scenario:SIL-Sensors/acce-gyro;simulation_scenario:SIL-Sensors/acce-mag;simulation_scenario:SIL-Sensors/velocity-acce
duration_signature,SIL|Motor|Motor_1|135.2|1353,17,2,True,True,rfly_0cfeae78b90b2f57b3ee;rfly_14dcbe6ef57824bf3416;rfly_18dad48ca4ce029cc5b9;rfly_24a20b5a5dfa6476c7c1;rfly_255083810337c35b2231;rfly_5bb346c4e0bed8118042;rfly_84051bb81bd8353d372a;rfly_85d9ba152221799d281d;rfly_9636758d3854aedcd29f;rfly_99321389629c681fc026;rfly_9d334bcab8f1ec6e119f;rfly_aa6c1e9155d9865f3be2;rfly_bd8fe42b91e3cd74b974;rfly_bfcb68876e711fc53f8c;rfly_d52fc805fd35f8d23983;rfly_e30e1b4663ef8f8e3fbd;rfly_e9dab39952f705232262,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-1;simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-3
duration_signature,SIL|Environment|Wind|100.9|1010,15,3,True,True,rfly_020c7ee39b7f5a38b67e;rfly_207631a62a5e668949d1;rfly_4c9c56798604bb8df7f8;rfly_82390c16a41f627d7dec;rfly_9bd0ee420df3ee7b4a64;rfly_a16e13d40447833f6c82;rfly_aa2549d1c4a28e52c75b;rfly_ac60cc42b6b5559d9761;rfly_b2983a48be84e66fe3f9;rfly_b7b4d99baebc3029c1f0;rfly_d806ceaea0aa6f17aaa4;rfly_d8aa35e08d5917adbdb2;rfly_f0118f4f3640251e2fce;rfly_fd08a574e2299ac165a9;rfly_fe0f1803a50f3a4686b5,simulation_scenario:SIL-Wind/SIL-Wind/dece-wind;simulation_scenario:SIL-Wind/SIL-Wind/hover-wind;simulation_scenario:SIL-Wind/SIL-Wind/velocity-wind
duration_signature,SIL|Environment|Wind|101.0|1011,14,2,True,True,rfly_00ceda265fe41509e842;rfly_0e40dae0f34c0af9bc43;rfly_16936d501a64a9bd2b4f;rfly_31b267e36e50c71bfb3e;rfly_3529f774347ea8fec756;rfly_4ffd6e26b8cb6d9ddcd2;rfly_5da5a57a94086331d70a;rfly_68e2c6654bb9d073424e;rfly_97d5580a34638b4b767e;rfly_9f0cd4aa939af8674364;rfly_b47d12a73b88df40f356;rfly_db8143416d1a380f7dea;rfly_f277b7ac93cc709a5c37;rfly_f9c4832910adce8d9736,simulation_scenario:SIL-Wind/SIL-Wind/hover-wind;simulation_scenario:SIL-Wind/SIL-Wind/velocity-wind
duration_signature,SIL|Motor|Motor_1|134.3|1344,14,2,True,True,rfly_1608e50b8ed1a69a8fe8;rfly_193b17bee0f028c68d72;rfly_4d9b55fa91eb58d46fdf;rfly_77c15c42d526d378dd16;rfly_829e43f61971eff096da;rfly_89ebabe8232f68c79a1a;rfly_9cf0ae4e153c56d52fd1;rfly_b9f94cf32a1364d67032;rfly_ba39e475885bc1e2eb2b;rfly_c119ab4bd5d167afe921;rfly_cbe29471c1b15d0252e6;rfly_d4a111b042829fa76a01;rfly_d5f9e2f142b315deb410;rfly_defae5a5b7e1a5cad5bb,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-1;simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-3
duration_signature,SIL|Sensor|Accelerometer|101.1|1012,13,5,True,True,rfly_0b8cf9aabd2ae1f2ce0f;rfly_1447e919a7141aeb10fe;rfly_2375b1fe437f48f461d9;rfly_403198013b27fae45eef;rfly_67a41e8b387a69560023;rfly_72916a491b50292172ff;rfly_b28cf60a2154a91b59e5;rfly_cc75b185c6d80fb06946;rfly_d076598a1d67d5317ed2;rfly_d30d457554f31c87672a;rfly_dc6f7baee3af538c553f;rfly_fb145caf3905b7acbfaf;rfly_fd6930fc0dac4431b8c1,simulation_scenario:SIL-Sensors/acce-acce;simulation_scenario:SIL-Sensors/acce-baro;simulation_scenario:SIL-Sensors/acce-gyro;simulation_scenario:SIL-Sensors/acce-mag;simulation_scenario:SIL-Sensors/velocity-acce
duration_signature,SIL|Load|Load_Loss|99.0|991,12,2,True,True,rfly_272a390da05615abd52e;rfly_342479caf9ab832da645;rfly_363f76ec086c1f4ef1cf;rfly_52e5a214280bcb7c0cb0;rfly_9fa258fb6fadad2f35e2;rfly_a6eb7057436fb5aeee2a;rfly_adae5f40069fdcb675e7;rfly_c15b9b8e16085b92301d;rfly_cb3a7889805751ad1cb3;rfly_ce436f69a44e60da5e9a;rfly_e8daa8e914052f42e7f6;rfly_f74222508d53d61e38a3,simulation_scenario:SIL-Load/SIL-Load/acce-load;simulation_scenario:SIL-Load/SIL-Load/velocity-load
duration_signature,SIL|Load|Load_Loss|99.1|992,11,2,True,True,rfly_206c87690012602a3660;rfly_2bb9640cb93755eca4ce;rfly_53a5dc9388a5a9963926;rfly_6e56b08734d8716115d1;rfly_8e0340f333d23eee8bcc;rfly_90a09d42dcd6de53d989;rfly_c8bc155a3bb0f4e6c35b;rfly_f2c677d7bdce4c1d1a43;rfly_f448abe6d0d655a36cb5;rfly_f74699c32c398e11448a;rfly_fa6a0d364583c28a418c,simulation_scenario:SIL-Load/SIL-Load/acce-load;simulation_scenario:SIL-Load/SIL-Load/velocity-load
duration_signature,SIL|Motor|Motor_1|134.6|1347,11,2,True,True,rfly_2a56f38728909d037cb0;rfly_3a20df3b8c2aaf13c755;rfly_3b0eaa302028cf12d9c8;rfly_40ebfc4d49bdcd6ee1e6;rfly_7a596ee5b861a2a22b42;rfly_9898e78f3c43d41201d8;rfly_a46c71642c97dd7f0a24;rfly_b15680ddf3eb639c06f4;rfly_cc4d530b97c005d0df8a;rfly_d5dcfb8edc0977ec30dd;rfly_f9cfc31254789363cdfc,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-1;simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-3
duration_signature,SIL|Motor|Motor_1|134.8|1349,11,2,True,True,rfly_0146c3334199531b1461;rfly_2348d6d428c3a3ca1da5;rfly_2b774baf55e8c165a9c9;rfly_3ddcd557306b3a1adc2e;rfly_6426d79f416e0408a648;rfly_6c2579a6a0be7c44e4c7;rfly_83d25b3f5f7b2cbd30a1;rfly_a8522879852504698719;rfly_a8b03693b762584d0870;rfly_c7fba8c27bb4142e3aec;rfly_f1c58bb8eb80174a2005,simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-1;simulation_scenario:SIL_Motor_1/SIL_Motor_1/circling-motor-3
