canonical_case_id,object_name,package,domain,fault_family,fault_subtype,system_fault,truth_source,truth_crosscheck_disagreement,truth_crosscheck_eligible_v2,truth_crosscheck_onset_delta_s,truth_crosscheck_offset_delta_s,truth_crosscheck_overlap_s,truth_crosscheck_disagreement_v2,truth_crosscheck_schema_version,row_count,duration_s,fault_start_s,fault_end_s,missing_active_interval,active_from_first_sample,interval_violation,missing_v2_features,trajectory_fingerprint,split_group_id,split
rfly_7b9c7d3da817d2f17602,HIL-Wind/acce-wind/TestCase_106_2414000105/Log/log_105_2023-8-6-07-57-00.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.1999999999999993,16.900000000000006,45.10000000000064,False,2,860,85.9,,,False,False,,,"0.0,0.0,-0.1;2.2,0.9,-15.1;184.4,2.1,-15.0;373.9,93.2,-15.1;542.9,213.6,-12.6",simulation_scenario:HIL-Wind/acce-wind,development
rfly_775cf91757d68b261fe9,HIL-Wind/acce-wind/TestCase_107_2414000106/Log/log_106_2023-8-6-07-59-12.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.10000000000000142,17.5,45.10000000000064,False,2,866,86.5,,,False,False,,,"0.0,-0.0,0.0;2.3,0.9,-15.0;60.3,45.7,-15.0;17.7,105.3,-13.2;92.1,196.4,1.6",simulation_scenario:HIL-Wind/acce-wind,development
rfly_7ab3bccee9dc36006031,HIL-Wind/acce-wind/TestCase_108_2414000107/Log/log_107_2023-8-6-08-01-26.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-1.5,15.799999999999997,45.10000000000064,False,2,849,84.8,,,False,False,,,"0.1,0.0,-0.0;4.6,0.9,-15.0;186.8,9.4,-14.9;357.2,100.5,-14.0;435.4,221.9,-3.3",simulation_scenario:HIL-Wind/acce-wind,development
rfly_78544715059accd07d65,HIL-Wind/acce-wind/TestCase_109_2414000108/Log/log_108_2023-8-6-08-03-38.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.10000000000000142,17.5,45.10000000000064,False,2,866,86.5,,,False,False,,,"0.0,0.1,-0.0;2.1,1.0,-15.0;180.1,-21.6,-15.0;324.4,-108.9,-15.0;425.7,-212.5,-12.0",simulation_scenario:HIL-Wind/acce-wind,development
rfly_ef48786c66867dcf10b4,HIL-Wind/acce-wind/TestCase_110_2414000109/Log/log_109_2023-8-6-08-05-50.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.0,18.099999999999994,45.10000000000064,False,2,872,87.1,,,False,False,,,"0.0,-0.0,0.0;2.7,0.9,-15.0;193.9,-12.4,-15.0;419.4,-15.4,-15.0;635.0,-2.2,-11.6",simulation_scenario:HIL-Wind/acce-wind,development
rfly_861db941d934d6f0d67a,HIL-Wind/acce-wind/TestCase_111_2414000110/Log/log_110_2023-8-6-08-08-04.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.3999999999999986,18.299999999999997,44.700000000000635,False,2,874,87.3,,,False,False,,,"0.1,-0.0,-0.0;1.8,0.9,-15.0;179.8,44.0,-14.8;252.7,130.3,-14.4;329.4,418.9,1.1",simulation_scenario:HIL-Wind/acce-wind,development
rfly_521ee04a9322ef019e18,HIL-Wind/acce-wind/TestCase_112_2414000111/Log/log_111_2023-8-6-08-10-16.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.1999999999999993,17.599999999999994,45.10000000000064,False,2,867,86.6,,,False,False,,,"0.0,-0.0,-0.0;2.7,0.9,-15.1;191.2,-5.4,-15.0;404.8,31.7,-15.0;613.5,75.5,-11.5",simulation_scenario:HIL-Wind/acce-wind,development
rfly_0f68df32ea08846be3ba,HIL-Wind/acce-wind/TestCase_113_2414000112/Log/log_112_2023-8-6-08-12-28.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.3999999999999986,18.5,44.700000000000635,False,2,876,87.5,,,False,False,,,"0.0,0.0,-0.1;1.9,1.0,-15.1;185.1,33.0,-15.0;371.2,133.2,-15.0;432.8,218.9,1.9",simulation_scenario:HIL-Wind/acce-wind,development
rfly_96b3a7a2ae5e73ca6037,HIL-Wind/acce-wind/TestCase_114_2414000113/Log/log_113_2023-8-6-08-14-26.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.6000000000000014,2.0,44.50000000000063,False,2,711,71.0,,,False,False,,,"0.0,-0.0,-0.1;0.2,0.9,-15.1;51.2,0.1,-15.0;140.4,-7.5,-15.1;202.1,-12.1,-15.3",simulation_scenario:HIL-Wind/acce-wind,development
rfly_ef7d2deb1211485e2081,HIL-Wind/acce-wind/TestCase_115_2414000114/Log/log_114_2023-8-6-08-16-56.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-1.5,16.200000000000003,45.10000000000064,False,2,853,85.2,,,False,False,,,"-0.0,-0.0,-0.0;2.7,0.9,-15.0;100.7,-6.0,-15.0;208.7,-13.4,-15.0;226.9,-19.2,3.4",simulation_scenario:HIL-Wind/acce-wind,development
rfly_e3dc3713843b61065569,HIL-Wind/acce-wind/TestCase_116_2414000115/Log/log_115_2023-8-6-08-19-18.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.3999999999999986,18.599999999999994,44.700000000000635,False,2,877,87.6,,,False,False,,,"-0.0,0.1,0.0;1.1,1.1,-15.0;94.1,-6.4,-14.9;205.0,-25.9,-15.0;315.1,-38.9,-11.7",simulation_scenario:HIL-Wind/acce-wind,development
rfly_60cb66800ca2c7f462b8,HIL-Wind/acce-wind/TestCase_117_2414000116/Log/log_116_2023-8-6-08-21-22.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.3000000000000007,18.099999999999994,45.10000000000064,False,2,872,87.1,,,False,False,,,"0.1,0.0,0.0;1.7,0.9,-15.0;98.2,-0.3,-14.9;207.3,11.8,-14.9;314.9,26.6,-10.1",simulation_scenario:HIL-Wind/acce-wind,development
rfly_7197bb8a61da53624e8b,HIL-Wind/acce-wind/TestCase_118_2414000117/Log/log_117_2023-8-6-08-23-36.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.5,18.700000000000003,44.600000000000634,False,2,878,87.7,,,False,False,,,"-0.0,0.1,-0.0;1.1,1.1,-15.0;96.5,-1.3,-15.0;206.6,-6.7,-15.0;315.8,-11.1,-12.0",simulation_scenario:HIL-Wind/acce-wind,development
rfly_c083c985570b44748fcf,HIL-Wind/acce-wind/TestCase_119_2414000118/Log/log_118_2023-8-6-08-25-48.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.3999999999999986,18.799999999999997,44.700000000000635,False,2,879,87.8,,,False,False,,,"0.1,-0.0,-0.0;1.2,1.0,-15.0;97.2,-4.1,-15.0;207.0,-9.9,-15.0;316.7,-14.5,-10.6",simulation_scenario:HIL-Wind/acce-wind,development
rfly_d82a8d6178c9ac80bc47,HIL-Wind/acce-wind/TestCase_120_2414000119/Log/log_119_2023-8-6-08-28-02.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.1999999999999993,18.299999999999997,45.10000000000064,False,2,874,87.3,,,False,False,,,"-0.0,0.0,-0.0;1.6,1.0,-15.0;98.7,0.9,-15.0;208.5,-6.0,-15.0;317.1,-10.2,-11.4",simulation_scenario:HIL-Wind/acce-wind,development
rfly_4f8e814ce8bb391d95e8,HIL-Wind/acce-wind/TestCase_121_2414000120/Log/log_120_2023-8-6-08-30-16.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.6000000000000014,19.299999999999997,44.50000000000063,False,2,884,88.3,,,False,False,,,"0.0,0.0,0.0;1.2,1.0,-15.0;99.0,-10.6,-15.0;209.1,-16.6,-15.0;319.4,-20.4,-11.3",simulation_scenario:HIL-Wind/acce-wind,development
rfly_6b7e529cf9e82b26db8c,HIL-Wind/acce-wind/TestCase_192_2415000191/Log/log_54_2023-8-7-04-18-12.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.5,21.0,44.600000000000634,False,2,901,90.0,,,False,False,,,"-0.0,0.0,-0.1;2.6,0.9,-15.1;104.8,-2.3,-15.1;221.4,-6.3,-15.1;341.7,-12.2,-12.8",simulation_scenario:HIL-Wind/acce-wind,development
rfly_aa62f98b3a960011c0bb,HIL-Wind/acce-wind/TestCase_193_2415000192/Log/log_55_2023-8-7-04-20-26.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.1999999999999993,19.200000000000003,45.10000000000064,False,2,883,88.2,,,False,False,,,"-0.0,-0.0,-0.0;3.2,1.0,-15.1;97.7,-2.6,-15.0;208.0,-6.5,-15.0;310.6,-13.2,-13.2",simulation_scenario:HIL-Wind/acce-wind,development
rfly_38336bba163a1d69ac4c,HIL-Wind/acce-wind/TestCase_194_2415000193/Log/log_56_2023-8-7-04-22-42.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.3000000000000007,20.0,45.10000000000064,False,2,891,89.0,,,False,False,,,"0.0,-0.0,0.0;4.0,1.0,-15.0;93.7,-3.1,-15.0;201.1,-9.8,-15.0;319.4,-19.3,-13.0",simulation_scenario:HIL-Wind/acce-wind,development
rfly_65924f90d11f8d725bcf,HIL-Wind/acce-wind/TestCase_195_2415000194/Log/log_57_2023-8-7-04-24-56.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.5,20.299999999999997,44.600000000000634,False,2,894,89.3,,,False,False,,,"0.0,-0.0,-0.0;2.4,0.8,-15.0;85.3,-4.1,-15.1;179.9,-11.6,-15.0;279.2,-27.1,-13.0",simulation_scenario:HIL-Wind/acce-wind,development
rfly_813d83f307d338e8b0ab,HIL-Wind/acce-wind/TestCase_196_2415000195/Log/log_58_2023-8-7-04-27-10.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.1999999999999993,19.0,45.10000000000064,False,2,881,88.0,,,False,False,,,"0.0,-0.0,0.0;3.3,1.0,-15.0;79.5,-4.5,-15.0;168.5,-14.4,-14.9;267.4,-31.3,-13.2",simulation_scenario:HIL-Wind/acce-wind,development
rfly_7b314b9b3a7b2740afda,HIL-Wind/acce-wind/TestCase_197_2415000196/Log/log_59_2023-8-7-04-29-24.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,0.5,19.700000000000003,44.600000000000634,False,2,888,88.7,,,False,False,,,"0.0,0.1,-0.0;2.0,1.0,-15.0;96.7,-2.5,-15.1;207.1,-6.8,-15.0;325.1,-12.1,-13.0",simulation_scenario:HIL-Wind/acce-wind,development
rfly_a75b88589b56baab598a,HIL-Wind/acce-wind/TestCase_198_2415000197/Log/log_60_2023-8-7-04-31-38.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.1999999999999993,18.900000000000006,45.10000000000064,False,2,880,87.9,,,False,False,,,"0.1,-0.0,-0.1;2.7,0.9,-15.1;91.9,-3.0,-15.1;-9999.0,-9999.0,-9999.0;292.2,-13.4,-12.4",simulation_scenario:HIL-Wind/acce-wind,development
rfly_c63faed405ebf4d87a00,HIL-Wind/acce-wind/TestCase_199_2415000198/Log/log_61_2023-8-7-04-33-52.ulg,HIL-Wind,HIL,Environment,Accelerometer,False,rfly_ctrl_lxl,True,True,-0.8000000000000007,18.700000000000003,45.10000000000064,False,2,878,87.7,,,False,False,,,"0.0,0.0,-0.1;3.6,0.9,-15.1;87.4,-2.9,-15.0;186.6,-8.0,-15.1;284.8,-16.7,-13.1",simulation_scenario:HIL-Wind/acce-wind,development
