,local_x,local_y,local_z,local_vx,local_vy,local_vz,local_ax,local_ay,local_az,roll_deg,pitch_deg,yaw_deg,act_roll,act_pitch,act_yaw,act_thrust,output_mean,output_std,output_range,battery_remaining,vel_test_ratio,pos_test_ratio,hgt_test_ratio,mag_test_ratio,gps_eph,gps_epv
local_x,1.0,0.12612559397714143,-0.10358989713735536,0.3807863662008157,0.08993152461445567,0.2129648644119579,-0.08821633713433612,0.02189828432735034,-0.010822986951105684,0.1546022543989897,-0.6018469438239241,0.13040506778993508,0.04775057025270406,-0.6759328539877448,0.038950823983616774,-0.09829286180201463,-0.05443677306006516,0.29797605953036505,0.28120027051265095,-0.2812902721405534,0.2210099447822388,0.1148143719109297,0.0386801452125023,0.23499221033110007,-0.019291831319686047,-0.019234377208549303
local_y,0.12612559397714143,1.0,0.007549352604163406,-0.36004348974566897,0.386778207636373,-0.02615501407057116,-0.07000131537219371,-0.12583709748238017,0.02355480603543141,0.25325459310101506,0.026203926750079796,0.0993443380251643,0.13260946093956305,-0.07164163011109204,0.002555891119226925,-0.13892884186130525,-0.14784763697270234,0.10877121536238324,0.1620644647872161,-0.09266424147118084,-0.06265771206297036,-0.08477754619810637,-0.10124987609283319,0.07750857511050405,-0.04750228097071577,-0.046178344441363366
local_z,-0.10358989713735536,0.007549352604163406,1.0,-0.11077100644614732,0.1709546192554944,-0.05969138945098858,-0.029992940563269177,-2.1350117857921648e-05,-0.02755672776850468,0.0595196870696049,0.19429732244188636,-0.1383242974561835,0.08949624317061572,0.1802590244177378,0.06257748345592046,-0.12498606528659635,-0.16590048948864083,-0.27294351421015656,-0.2886684134086097,0.45625822345434014,-7.244141216522118e-05,0.011985088758150892,0.015183751510878984,-0.027737077975975348,0.2615989268486142,0.26169295105045914
local_vx,0.3807863662008157,-0.36004348974566897,-0.11077100644614732,1.0,-0.15388942819692197,0.05980758993080328,0.10684030562863779,0.23202837855967842,0.02051284912949045,-0.1359518813016645,-0.3656730005965704,-0.12055734582846997,-0.0011171837732837674,-0.3733122726601325,0.006908378434940582,0.08473304358788673,0.04726064269339306,0.19412321905470706,0.1704933858893432,-0.09098098733001547,0.16483541204061405,0.0826239454227142,0.10109270583792196,-0.0007344895141195453,-0.07792830439177154,-0.07736208328989744
local_vy,0.08993152461445567,0.386778207636373,0.1709546192554944,-0.15388942819692197,1.0,-0.09841871013296317,-0.3235930773676691,0.06446310026596462,0.007746812389563417,0.16997837254920795,0.1546501163398915,0.4487210959417227,0.07251230018605372,0.10188114105418346,0.04449092542614894,-0.06367948557755757,-0.06822193369527915,-0.10249566522761916,-0.04098211591080404,-0.03119756805246091,-0.042907634455137636,-0.05964996713057456,0.00039046336735205683,-0.03953377580184134,0.03879850376170656,0.039430315479537834
local_vz,0.2129648644119579,-0.02615501407057116,-0.05969138945098858,0.05980758993080328,-0.09841871013296317,1.0,-0.011579871630358445,-0.009732943202897533,0.0065692676508534,0.06954308930358019,-0.23352306362248612,0.03867177483225271,0.0016559513163808112,-0.3158944552101607,0.0719109975984221,-0.21720765731010133,-0.13803093939215463,0.0041729360632666,-0.047481861673678794,-0.19107923396899373,0.1590979539371962,0.0931998900152699,-0.010437969848972573,0.18037200035574885,0.141246525457105,0.14101025140629414
local_ax,-0.08821633713433612,-0.07000131537219371,-0.029992940563269177,0.10684030562863779,-0.3235930773676691,-0.011579871630358445,1.0,-0.0963864023690455,0.08813432909815072,-0.07194102703688389,-0.0829501372763357,-0.265701441158839,-0.005256710018908995,-0.01557072998268924,-0.0033672372841016367,0.048374511786725284,0.03980660028112931,0.0050114527895541204,-0.0011312981293121335,0.0009426127139230086,-0.002196467114902311,0.011160246709719221,0.022155481770054757,-0.016638935439157912,-0.006502603053741989,-0.006393948118009502
local_ay,0.02189828432735034,-0.12583709748238017,-2.1350117857921648e-05,0.23202837855967842,0.06446310026596462,-0.009732943202897533,-0.0963864023690455,1.0,-0.06346219764082481,0.09182808582707627,0.00034650129164881765,0.025043010864268467,-0.016073299897257573,-0.011382129133209256,0.01814081456089909,-0.06657872389365424,-0.04484117706312799,-0.017388540830409187,-0.017293204527984413,0.002965531524817864,-0.016749791784875675,-0.03331948986585539,-0.0038269322084041983,-0.056115155302145024,-0.009557353322423622,-0.00971997015707297
local_az,-0.010822986951105684,0.02355480603543141,-0.02755672776850468,0.02051284912949045,0.007746812389563417,0.0065692676508534,0.08813432909815072,-0.06346219764082481,1.0,-0.03838564712392923,0.04061401648422701,-0.008929834632191637,-0.005225048813110696,0.01664015938850948,-0.009312616786689569,-0.0652331383090403,-0.058136612889182,0.018244924896188706,0.010832898476359513,0.005574949750525757,0.027754684623865756,0.008551234037504355,0.07083253141144154,0.002769157311450299,-0.012019766053145718,-0.012023122346651725
roll_deg,0.1546022543989897,0.25325459310101506,0.0595196870696049,-0.1359518813016645,0.16997837254920795,0.06954308930358019,-0.07194102703688389,0.09182808582707627,-0.03838564712392923,1.0,-0.2064946113767601,0.4099459366404503,0.11772011788489899,-0.1134632557743657,0.03861089414753014,-0.37993433070408966,-0.04959223786807267,-0.25427522896868227,-0.3366981600061263,-0.16803874206550465,-0.03713950132713409,-0.05129576775931867,-0.22057652009887174,-0.05019526142670612,-0.2097472008135011,-0.21090186808140274
