case_id,domain,fault_family,cv_fold,split_group_id,pca_1,pca_2,tsne_1,tsne_2
HIL-NoFault/HIL-NoFault/circling/TestCase_100_2319000099,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.2584802388084648,-2.168371618444981,49.82187,-0.8573061
HIL-NoFault/HIL-NoFault/circling/TestCase_101_2319000100,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.443736885353852,-2.4430477829827364,49.811108,-0.9330418
HIL-NoFault/HIL-NoFault/circling/TestCase_102_2319000101,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,2.0330254143115356,-2.508042719671939,49.92591,-0.97188437
HIL-NoFault/HIL-NoFault/circling/TestCase_103_2319000102,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.530305718447686,-2.6334177799484677,49.634594,-0.7731097
HIL-NoFault/HIL-NoFault/circling/TestCase_104_2319000103,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.547078424576505,-2.4035061237260162,49.823307,-0.8268189
HIL-NoFault/HIL-NoFault/circling/TestCase_105_2319000104,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.9145033172376833,-2.1760197172477564,49.79689,-0.53919435
HIL-NoFault/HIL-NoFault/circling/TestCase_106_2319000105,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.606082553564413,-1.9600671166719135,49.600452,-0.3843614
HIL-NoFault/HIL-NoFault/circling/TestCase_107_2319000106,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.717629895614059,-1.6817879021986695,49.77663,-0.23354006
HIL-NoFault/HIL-NoFault/circling/TestCase_108_2319000107,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.8000736544467526,-1.4202021235480489,49.6971,0.5727006
HIL-NoFault/HIL-NoFault/circling/TestCase_109_2319000108,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.8639611167665473,-1.1611772548454784,49.712914,0.043589707
HIL-NoFault/HIL-NoFault/circling/TestCase_110_2319000109,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.6386989857829977,-0.8647996530442903,49.12639,0.9691245
HIL-NoFault/HIL-NoFault/circling/TestCase_111_2319000110,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,0.9425171287324341,-0.6999583655424191,49.00105,0.89453083
HIL-NoFault/HIL-NoFault/circling/TestCase_112_2319000111,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.9847197413150266,-1.0833509894649938,49.698147,0.41931215
HIL-NoFault/HIL-NoFault/circling/TestCase_113_2319000112,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.0751243994937585,-0.13850784290040696,49.189396,1.0063249
HIL-NoFault/HIL-NoFault/circling/TestCase_114_2319000113,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.3344503783021957,0.559262665699805,49.496254,1.4740739
HIL-NoFault/HIL-NoFault/circling/TestCase_115_2319000114,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.3441013642427615,0.01124954691188762,49.220905,1.330443
HIL-NoFault/HIL-NoFault/circling/TestCase_116_2319000115,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,0.6337272992260201,0.5435962493347546,49.057823,1.3566493
HIL-NoFault/HIL-NoFault/circling/TestCase_117_2319000116,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.8151210664727233,0.040842040136764624,49.534966,1.0141187
HIL-NoFault/HIL-NoFault/circling/TestCase_118_2319000117,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,1.034898541425715,0.160898035974955,49.00214,1.2956259
HIL-NoFault/HIL-NoFault/circling/TestCase_119_2319000118,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,0.3144927542627576,-0.15502603415608185,49.00398,1.2884749
HIL-NoFault/HIL-NoFault/circling/TestCase_120_2319000119,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,0.5409425481681043,0.039544102875120224,48.774555,1.3790872
HIL-NoFault/HIL-NoFault/circling/TestCase_81_2319000080,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,10.340784455909244,-3.7663011077791677,54.604126,-10.27366
HIL-NoFault/HIL-NoFault/circling/TestCase_82_2319000081,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,11.12242056672979,-3.5208515698064673,54.762867,-10.242199
HIL-NoFault/HIL-NoFault/circling/TestCase_83_2319000082,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,11.259490541682794,-3.070515115951937,54.825672,-10.237911
HIL-NoFault/HIL-NoFault/circling/TestCase_84_2319000083,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,12.043049208056683,-3.1649921252869517,54.88561,-10.2135315
HIL-NoFault/HIL-NoFault/circling/TestCase_85_2319000084,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,11.979592318986867,-2.6115903863620957,54.924923,-10.20352
HIL-NoFault/HIL-NoFault/circling/TestCase_86_2319000085,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,12.488549374977481,-2.394665518495617,54.94526,-10.201724
HIL-NoFault/HIL-NoFault/circling/TestCase_87_2319000086,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,12.628822592507913,-2.6481458477923243,54.93532,-10.20315
HIL-NoFault/HIL-NoFault/circling/TestCase_88_2319000087,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,10.574872137268716,-1.9511510947998847,54.895542,-10.197485
HIL-NoFault/HIL-NoFault/circling/TestCase_89_2319000088,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,5.727306358409567,-2.473286576716899,51.588104,-3.2588868
HIL-NoFault/HIL-NoFault/circling/TestCase_90_2319000089,HIL,NoFault,1,simulation_scenario:HIL-NoFault/HIL-NoFault/circling,4.160822894993402,-3.097026979937178,51.299454,-2.6817563
