case_id,domain,fault_family,knn_family_agreement,knn_domain_agreement
HIL-NoFault/HIL-NoFault/circling/TestCase_100_2319000099,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_101_2319000100,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_102_2319000101,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_103_2319000102,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_104_2319000103,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_105_2319000104,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_106_2319000105,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_107_2319000106,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_108_2319000107,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_109_2319000108,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_110_2319000109,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_111_2319000110,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_112_2319000111,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_113_2319000112,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_114_2319000113,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_115_2319000114,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_116_2319000115,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_117_2319000116,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_118_2319000117,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_119_2319000118,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_120_2319000119,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_81_2319000080,HIL,NoFault,1.0,0.6
HIL-NoFault/HIL-NoFault/circling/TestCase_82_2319000081,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_83_2319000082,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_84_2319000083,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_85_2319000084,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_86_2319000085,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_87_2319000086,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_88_2319000087,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_89_2319000088,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_90_2319000089,HIL,NoFault,0.8,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_91_2319000090,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_92_2319000091,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_93_2319000092,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_94_2319000093,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_95_2319000094,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_96_2319000095,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_97_2319000096,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_98_2319000097,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/circling/TestCase_99_2319000098,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_201_2519000200,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_202_2519000201,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_203_2519000202,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_204_2519000203,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_205_2519000204,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_206_2519000205,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_207_2519000206,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_208_2519000207,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_209_2519000208,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_210_2519000209,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_211_2519000210,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_212_2519000211,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_213_2519000212,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_214_2519000213,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_215_2519000214,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_216_2519000215,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_217_2519000216,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_218_2519000217,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_219_2519000218,HIL,NoFault,1.0,0.8
HIL-NoFault/HIL-NoFault/dece/TestCase_220_2519000219,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_221_2519000220,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_222_2519000221,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_223_2519000222,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_224_2519000223,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_225_2519000224,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_226_2519000225,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_227_2519000226,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_228_2519000227,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_229_2519000228,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_230_2519000229,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_231_2519000230,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_232_2519000231,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_233_2519000232,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_234_2519000233,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_235_2519000234,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_236_2519000235,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_237_2519000236,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_238_2519000237,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_239_2519000238,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/dece/TestCase_240_2519000239,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_10_2019000009,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_11_2019000010,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_12_2019000011,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_13_2019000012,HIL,NoFault,1.0,0.8
HIL-NoFault/HIL-NoFault/hover/TestCase_14_2019000013,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_15_2019000014,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_16_2019000015,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_17_2019000016,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_18_2019000017,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_19_2019000018,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_1_2019000000,HIL,NoFault,0.0,0.6
HIL-NoFault/HIL-NoFault/hover/TestCase_20_2019000019,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_21_2019000020,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_22_2019000021,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_23_2019000022,HIL,NoFault,1.0,0.8
HIL-NoFault/HIL-NoFault/hover/TestCase_24_2019000023,HIL,NoFault,1.0,1.0
HIL-NoFault/HIL-NoFault/hover/TestCase_25_2019000024,HIL,NoFault,1.0,0.6
HIL-NoFault/HIL-NoFault/hover/TestCase_26_2019000025,HIL,NoFault,1.0,0.6
HIL-NoFault/HIL-NoFault/hover/TestCase_27_2019000026,HIL,NoFault,1.0,0.8
