split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,cusum,critical,258,35,0.1356589147286821,64,10.928946456944445,5.856008193665664,18.04564014285715,50.00577700000002
split_00,0,existing_fusion,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,existing_fusion,k_of_n,advisory,258,21,0.0813953488372093,180,10.928946456944445,16.47002304468468,5.848879666666669,26.016403
split_00,0,existing_fusion,cusum,advisory,258,59,0.2286821705426356,188,10.928946456944445,17.20202406889289,14.890212542372876,36.845284
split_00,0,ml9_fusion,threshold,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,k_of_n,critical,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,cusum,critical,258,32,0.1240310077519379,64,10.928946456944445,5.856008193665664,19.31714446875,52.83922100000001
split_00,0,ml9_fusion,threshold,advisory,258,0,0.0,0,10.928946456944445,0.0,,
split_00,0,ml9_fusion,k_of_n,advisory,258,22,0.0852713178294573,186,10.928946456944445,17.019023812840835,5.993892318181818,26.016403
split_00,0,ml9_fusion,cusum,advisory,258,61,0.2364341085271318,187,10.928946456944445,17.110523940866862,14.279054196721304,36.845284
split_00,0,motor_simetrisi,threshold,critical,258,0,0.0,25,10.928946456944445,2.28750320065065,,
split_00,0,motor_simetrisi,k_of_n,critical,258,1,0.003875968992248,31,10.928946456944445,2.8365039688068063,60.09712000000002,60.09712000000002
split_00,0,motor_simetrisi,cusum,critical,258,2,0.0077519379844961,19,10.928946456944445,1.738502432494494,74.9761585,102.961118
split_00,0,motor_simetrisi,threshold,advisory,258,7,0.0271317829457364,100,10.928946456944445,9.1500128026026,29.30615428571428,59.095669999999984
split_00,0,motor_simetrisi,k_of_n,advisory,258,5,0.0193798449612403,55,10.928946456944445,5.032507041431431,21.462093800000016,60.09712000000002
split_00,0,motor_simetrisi,cusum,advisory,258,11,0.0426356589147286,85,10.928946456944445,7.77751088221221,43.12234272727271,114.995652
split_01,1,existing_fusion,threshold,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,k_of_n,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,cusum,critical,258,35,0.1356589147286821,158,10.734994461388888,14.718219051559531,21.6047938,59.095669999999984
split_01,1,existing_fusion,threshold,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,k_of_n,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,existing_fusion,cusum,advisory,258,59,0.2286821705426356,273,10.734994461388888,25.4308468422516,14.677601542372877,48.97536600000001
split_01,1,ml9_fusion,threshold,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,k_of_n,critical,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,cusum,critical,258,36,0.1395348837209302,169,10.734994461388888,15.742905188060512,20.94874208333333,58.09403900000001
split_01,1,ml9_fusion,threshold,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,k_of_n,advisory,258,0,0.0,0,10.734994461388888,0.0,,
split_01,1,ml9_fusion,cusum,advisory,258,60,0.2325581395348837,290,10.734994461388888,27.014452689571293,15.21636271666666,48.97536600000001
split_01,1,motor_simetrisi,threshold,critical,258,6,0.0232558139534883,91,10.734994461388888,8.476948947417199,26.52596916666666,59.095669999999984
split_01,1,motor_simetrisi,k_of_n,critical,258,3,0.0116279069767441,45,10.734994461388888,4.191897831140373,26.71278833333335,60.09712000000002
split_01,1,motor_simetrisi,cusum,critical,258,12,0.0465116279069767,87,10.734994461388888,8.104335806871388,43.00885166666666,98.095036
split_01,1,motor_simetrisi,threshold,advisory,258,27,0.1046511627906976,289,10.734994461388888,26.92129940443484,20.18990707407407,69.97660500000006
split_01,1,motor_simetrisi,k_of_n,advisory,258,25,0.0968992248062015,188,10.734994461388888,17.512817605653115,20.37818892,69.97660500000006
split_01,1,motor_simetrisi,cusum,advisory,258,68,0.2635658914728682,709,10.734994461388888,66.04567916174499,19.74855007352941,116.949501
split_02,2,existing_fusion,threshold,critical,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,existing_fusion,k_of_n,critical,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,existing_fusion,cusum,critical,258,49,0.189922480620155,159,10.752868880833333,14.78675149507428,19.509407387755108,49.952061000000015
split_02,2,existing_fusion,threshold,advisory,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,existing_fusion,k_of_n,advisory,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,existing_fusion,cusum,advisory,258,54,0.2093023255813953,284,10.752868880833333,26.41155612956664,14.691342592592587,44.077178
split_02,2,ml9_fusion,threshold,critical,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,ml9_fusion,k_of_n,critical,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,ml9_fusion,cusum,critical,258,51,0.1976744186046511,169,10.752868880833333,15.71673586583367,18.484345980392156,53.989149
split_02,2,ml9_fusion,threshold,advisory,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,ml9_fusion,k_of_n,advisory,258,0,0.0,0,10.752868880833333,0.0,,
split_02,2,ml9_fusion,cusum,advisory,258,54,0.2093023255813953,299,10.752868880833333,27.80653268570573,14.654207981481475,44.077178
split_02,2,motor_simetrisi,threshold,critical,258,0,0.0,8,10.752868880833333,0.7439874966075111,,
split_02,2,motor_simetrisi,k_of_n,critical,258,0,0.0,29,10.752868880833333,2.6969546752022278,,
split_02,2,motor_simetrisi,cusum,critical,258,1,0.003875968992248,7,10.752868880833333,0.6509890595315722,161.05168500000005,161.05168500000005
