split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Actuator Controls,17,0,0.0,2,0.5114270366666666,3.9106262606596265,,
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Actuator Outputs,25,1,0.04,4,0.7446180683333333,5.3718814652901665,3.9689970000000017,3.9689970000000017
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Actuator Outputs+Controls,42,1,0.023809523809523808,6,1.2128293091666666,4.947109996972774,3.9689970000000017,3.9689970000000017
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Position.X,145,59,0.4068965517241379,81,2.3575775725,34.35730002898982,6.3875246610169505,53.089595
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Position.Y,96,34,0.3541666666666667,69,1.713746643611111,40.262660911537694,5.1398919117647095,10.077571000000006
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Position.Z,121,1,0.008264462809917356,0,1.5845958772222224,0.0,24.99839300000002,24.99839300000002
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,4.523490999999979,4.980281999999988
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Controls,17,0,0.0,2,0.5114270366666666,3.9106262606596265,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Outputs,25,0,0.0,4,0.7446180683333333,5.3718814652901665,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Outputs+Controls,42,0,0.0,6,1.2128293091666666,4.947109996972774,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Position.X,145,46,0.31724137931034485,77,2.3575775725,32.66064323743477,7.634781652173915,55.094088
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Position.Y,96,23,0.23958333333333334,63,1.713746643611111,36.761559962708326,7.007843608695652,14.994827999999998
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Position.Z,121,0,0.0,1,1.5845958772222224,0.6310757300170363,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,6.505766499999993,7.008757999999943
