split,seed,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,usad_score,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,24.99839300000002,24.99839300000002
split_00,0,usad_score,threshold,critical,external_position_anomaly,185,70,0.3783783783783784,24,2.7663557002777774,8.675673919152947,7.17706435714286,61.07983399999999
split_00,0,usad_score,threshold,critical,global_position_anomaly,51,6,0.11764705882352941,1,0.6878973927777778,1.4537051753633343,4.83870983333333,12.94029599999999
split_00,0,usad_score,threshold,critical,mechanical_fault,43,1,0.023255813953488372,8,1.299568493888889,6.1558894645563695,3.9689970000000017,3.9689970000000017
split_00,0,usad_score,threshold,critical,normal,0,0,,19,27.959377571111112,0.6795573310484442,,
split_00,0,usad_score,k_of_n,critical,altitude_anomaly,114,0,0.0,2,1.4421181852777778,1.3868488868786881,,
split_00,0,usad_score,k_of_n,critical,external_position_anomaly,185,46,0.24864864864864866,45,2.7663557002777774,16.266888598411775,9.334706130434785,63.105069
split_00,0,usad_score,k_of_n,critical,global_position_anomaly,51,5,0.09803921568627451,2,0.6878973927777778,2.9074103507266686,5.823398200000023,14.959031000000095
split_00,0,usad_score,k_of_n,critical,mechanical_fault,43,0,0.0,8,1.299568493888889,6.1558894645563695,,
split_00,0,usad_score,k_of_n,critical,normal,0,0,,17,27.959377571111112,0.6080249804117659,,
split_00,0,usad_score,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_score,cusum,critical,external_position_anomaly,185,7,0.03783783783783784,14,2.7663557002777774,5.060809786172553,46.440600714285715,98.92748199999998
split_00,0,usad_score,cusum,critical,global_position_anomaly,51,5,0.09803921568627451,4,0.6878973927777778,5.814820701453337,54.55134600000001,74.89029800000003
split_00,0,usad_score,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,usad_score,cusum,critical,normal,0,0,,7,27.959377571111112,0.2503632272283742,,
split_00,0,usad_score,threshold,advisory,altitude_anomaly,114,21,0.18421052631578946,58,1.4421181852777778,40.218617719481955,4.945520190476192,29.01369599999998
split_00,0,usad_score,threshold,advisory,external_position_anomaly,185,80,0.43243243243243246,233,2.7663557002777774,84.22633429844319,4.1492225750000005,31.49551299999999
split_00,0,usad_score,threshold,advisory,global_position_anomaly,51,13,0.2549019607843137,38,0.6878973927777778,55.240796663806705,4.454648384615384,11.911060000000006
split_00,0,usad_score,threshold,advisory,mechanical_fault,43,13,0.3023255813953488,42,1.299568493888889,32.31841968892094,10.068414076923075,33.97825399999999
split_00,0,usad_score,threshold,advisory,normal,0,0,,649,27.959377571111112,23.21224778160212,,
split_00,0,usad_score,k_of_n,advisory,altitude_anomaly,114,20,0.17543859649122806,63,1.4421181852777778,43.68573993667868,6.49333199999999,31.045530999999983
split_00,0,usad_score,k_of_n,advisory,external_position_anomaly,185,75,0.40540540540540543,193,2.7663557002777774,69.76687776652162,5.740513653333329,52.07152400000001
split_00,0,usad_score,k_of_n,advisory,global_position_anomaly,51,9,0.17647058823529413,36,0.6878973927777778,52.333386313080034,7.244034000000001,19.005539999999996
split_00,0,usad_score,k_of_n,advisory,mechanical_fault,43,5,0.11627906976744186,44,1.299568493888889,33.85739205506003,16.7795588,36.00812000000002
split_00,0,usad_score,k_of_n,advisory,normal,0,0,,583,27.959377571111112,20.851680210591734,,
split_00,0,usad_score,cusum,advisory,altitude_anomaly,114,4,0.03508771929824561,15,1.4421181852777778,10.40136665159016,12.75155625000001,31.000835000000052
split_00,0,usad_score,cusum,advisory,external_position_anomaly,185,55,0.2972972972972973,100,2.7663557002777774,36.148641329803944,18.652747890909087,66.011956
split_00,0,usad_score,cusum,advisory,global_position_anomaly,51,18,0.35294117647058826,24,0.6878973927777778,34.88892420872002,13.32151616666667,58.916042000000004
split_00,0,usad_score,cusum,advisory,mechanical_fault,43,0,0.0,11,1.299568493888889,8.464348013765008,,
split_00,0,usad_score,cusum,advisory,normal,0,0,,161,27.959377571111112,5.758354226252607,,
split_00,0,usad_ml14_fusion,threshold,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,threshold,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
