country,hex_count,row_count
United States,6868,823278
Germany,579,31046
France,432,51728
United Kingdom,372,66660
Italy,267,27096
Australia,215,39981
Spain,160,19082
Canada,159,33090
Brazil,133,11979
Colombia,114,3527
Switzerland,93,8273
Thailand,90,6063
Netherlands,83,11564
United Arab Emirates,83,6490
Turkey,73,7973
India,72,6193
Poland,66,8695
Japan,65,8642
Indonesia,62,2150
Czech Republic,61,10473
Qatar,59,5144
Belgium,57,7003
Israel,50,1270
Mexico,49,4119
Austria,49,2625
Saudi Arabia,47,2103
Greece,46,13926
Russia,46,2110
Portugal,43,4856
New Zealand,38,8109
Philippines,34,1851
Finland,33,4053
Denmark,32,4983
Sweden,29,3808
Hungary,26,3734
Ireland,25,5447
Egypt,25,713
Singapore,23,6325
South Korea,23,507
Morocco,22,1657
Norway,22,2817
Romania,22,4673
Slovenia,21,1705
China,20,493
Jordan,19,793
Argentina,17,1569
Bulgaria,16,1666
Algeria,15,1139
Slovakia,14,2023
Oman,11,2197
Peru,11,492
Malaysia,11,708
Kazakhstan,11,191
Pakistan,10,349
Bahrain,10,1525
Chile,9,282
Guatemala,9,672
Tunisia,8,491
Luxembourg,7,1302
Kenya,7,461
Viet Nam,7,27
Kuwait,6,1871
Bangladesh,6,371
Croatia,6,678
Senegal,6,949
South Africa,6,196
Ecuador,5,138
Paraguay,5,307
Angola,5,351
Lithuania,4,675
Coate d Ivoire,4,180
Azerbaijan,4,110
Taiwan (unofficial),4,203
Albania,3,59
Ukraine,3,354
Belarus,3,20
Gabon,3,95
Malta,3,385
Nigeria,3,58
Brunei,2,24
Bahamas,2,34
Estonia,2,545
Equatorial Guinea,2,61
Chad,2,16
Bolivia,2,57
Venezuela,2,26
Turkmenistan,2,121
Tanzania,2,54
Uruguay,2,137
Zambia,2,19
San Marino,2,94
Myanmar,2,11
Panama,2,144
Libya,2,245
Latvia,2,9
Botswana,1,41
Cape Verde,1,12
Belize,1,14
Benin,1,1
Cyprus,1,297
Dominican Republic,1,6
Iraq,1,22
Iran,1,4
Iceland,1,82
Honduras,1,12
Ghana,1,122
Cook Islands,1,51
Kyrgyzstan,1,3
Jamaica,1,198
Nepal,1,50
Namibia,1,18
Niger,1,30
Mozambique,1,3
Seychelles,1,24
Uganda,1,19
Uzbekistan,1,1
Yugoslavia,1,397
