country,pair,flight_count,origin_icao,dest_icao,rank,is_top
Argentina,AR-0115->SABE,2,AR-0115,SABE,1,True
Australia,YSCB->YSSY,24,YSCB,YSSY,1,True
Australia,YSSY->YSCB,16,YSSY,YSCB,2,False
Australia,AU-0751->YPEA,15,AU-0751,YPEA,3,False
Australia,YAMB->YSRI,8,YAMB,YSRI,4,False
Australia,YSCB->YSRI,8,YSCB,YSRI,5,False
Australia,YTAM->YAMB,7,YTAM,YAMB,6,False
Australia,YBBN->YSCB,6,YBBN,YSCB,7,False
Australia,YYRM->YMES,6,YYRM,YMES,8,False
Australia,YGSD->YDWU,5,YGSD,YDWU,9,False
Australia,YMML->YSCB,5,YMML,YSCB,10,False
Australia,YPED->YAMB,5,YPED,YAMB,11,False
Australia,YSCB->YBBN,5,YSCB,YBBN,12,False
Australia,YSCB->YMML,5,YSCB,YMML,13,False
Australia,YSCB->YSTW,5,YSCB,YSTW,14,False
Australia,YSNW->YSWG,5,YSNW,YSWG,15,False
Austria,LOGK->LOXT,3,LOGK,LOXT,1,True
Austria,LOGT->LOXT,3,LOGT,LOXT,2,False
Austria,AT-0024->LOXT,2,AT-0024,LOXT,3,False
Austria,DE-0354->LOGK,2,DE-0354,LOGK,4,False
Austria,LOGK->LOXN,2,LOGK,LOXN,5,False
Austria,LOWI->LOIK,2,LOWI,LOIK,6,False
Austria,LOXT->LOGT,2,LOXT,LOGT,7,False
Austria,LOXT->LOWL,2,LOXT,LOWL,8,False
Austria,LSZE->LOSM,2,LSZE,LOSM,9,False
Belgium,EBMB->EPRZ,4,EBMB,EPRZ,1,True
Belgium,EBGB->EBUL,3,EBGB,EBUL,2,False
Belgium,EBMB->EBFS,3,EBMB,EBFS,3,False
Belgium,LGRX->EBMB,3,LGRX,EBMB,4,False
Belgium,EBBE->EBMO,2,EBBE,EBMO,5,False
Belgium,EBMB->EBZW,2,EBMB,EBZW,6,False
Belgium,EBMB->EETN,2,EBMB,EETN,7,False
Belgium,EBMB->ETAR,2,EBMB,ETAR,8,False
Belgium,EBMB->PT-0092,2,EBMB,PT-0092,9,False
Belgium,EBOS->EBBE,2,EBOS,EBBE,10,False
Belgium,EBUL->EBMB,2,EBUL,EBMB,11,False
Belgium,EPRJ->EBMB,2,EPRJ,EBMB,12,False
Belgium,EPRZ->EBMB,2,EPRZ,EBMB,13,False
Belgium,EYKA->EBMB,2,EYKA,EBMB,14,False
Belgium,EYMM->EBMB,2,EYMM,EBMB,15,False
Brazil,BR-2299->SBUR,12,BR-2299,SBUR,1,True
Brazil,SBSP->BR-1470,4,SBSP,BR-1470,2,False
Brazil,SSMV->SDLU,4,SSMV,SDLU,3,False
Brazil,BR-0001->BR-1305,3,BR-0001,BR-1305,4,False
Brazil,BR-0717->SSEF,3,BR-0717,SSEF,5,False
Brazil,BR-2299->BR-2756,3,BR-2299,BR-2756,6,False
Brazil,BR-2299->SDLL,3,BR-2299,SDLL,7,False
Brazil,BR-2299->SDWK,3,BR-2299,SDWK,8,False
Brazil,SBMT->BR-1470,3,SBMT,BR-1470,9,False
Brazil,SDPD->BR-1305,3,SDPD,BR-1305,10,False
Brazil,SSMV->BR-2269,3,SSMV,BR-2269,11,False
Brazil,SWKY->BR-2299,3,SWKY,BR-2299,12,False
Brazil,BR-0121->SBGL,2,BR-0121,SBGL,13,False
Brazil,BR-0717->SBSP,2,BR-0717,SBSP,14,False
Brazil,BR-0850->SBBR,2,BR-0850,SBBR,15,False
Bulgaria,EBBR->LBSF,2,EBBR,LBSF,1,True
Bulgaria,LBGR->BG-0046,2,LBGR,BG-0046,2,False
Canada,CYMJ->CYXE,11,CYMJ,CYXE,1,True
Canada,CYXE->CYMJ,10,CYXE,CYMJ,2,False
Canada,CJR5->CYPG,5,CJR5,CYPG,3,False
Canada,CYMJ->CYWG,5,CYMJ,CYWG,4,False
Canada,CYWG->CYQT,5,CYWG,CYQT,5,False
Canada,CJN4->CYMJ,4,CJN4,CYMJ,6,False
Canada,CWL4->CYPG,4,CWL4,CYPG,7,False
Canada,CYOW->CYHZ,4,CYOW,CYHZ,8,False
Canada,CYMJ->CYQR,3,CYMJ,CYQR,9,False
Canada,CYOW->CYQB,3,CYOW,CYQB,10,False
Canada,CYRP->CYYZ,3,CYRP,CYYZ,11,False
Canada,CYWG->CYMJ,3,CYWG,CYMJ,12,False
Canada,CYWG->CYOW,3,CYWG,CYOW,13,False
Canada,CYYZ->CYOW,3,CYYZ,CYOW,14,False
Canada,EBMB->EPRZ,3,EBMB,EPRZ,15,False
China,CN-0184->CN-0054,2,CN-0184,CN-0054,1,True
Colombia,SK-213->SKMP,2,SK-213,SKMP,1,True
Colombia,SKBO->SK-350,2,SKBO,SK-350,2,False
Colombia,SKBO->SKMP,2,SKBO,SKMP,3,False
Croatia,LDZD->LDSP,2,LDZD,LDSP,1,True
Czech Republic,LKKB->EBBR,5,LKKB,EBBR,1,True
Czech Republic,EBBR->LKKB,4,EBBR,LKKB,2,False
Czech Republic,LKKB->LKNA,4,LKKB,LKNA,3,False
Czech Republic,CZ-0164->LKPO,3,CZ-0164,LKPO,4,False
Czech Republic,CZ-0148->LKKB,2,CZ-0148,LKKB,5,False
Czech Republic,CZ-0177->LKKB,2,CZ-0177,LKKB,6,False
Czech Republic,LKKB->ENGM,2,LKKB,ENGM,7,False
Czech Republic,LKKB->EPLB,2,LKKB,EPLB,8,False
Czech Republic,LKKB->LCLK,2,LKKB,LCLK,9,False
Czech Republic,LKKB->LKHK,2,LKKB,LKHK,10,False
Czech Republic,LKKB->LKKU,2,LKKB,LKKU,11,False
Czech Republic,LKKB->LKPD,2,LKKB,LKPD,12,False
Czech Republic,LKKM->LKPD,2,LKKM,LKPD,13,False
Czech Republic,LKNA->LKKB,2,LKNA,LKKB,14,False
Czech Republic,LKTC->LKRY,2,LKTC,LKRY,15,False
Denmark,EKYT->EKKA,7,EKYT,EKKA,1,True
Denmark,EKYT->EKRK,6,EKYT,EKRK,2,False
Denmark,EKSV->EKYT,5,EKSV,EKYT,3,False
Denmark,EKRK->EKYT,4,EKRK,EKYT,4,False
Denmark,EKYT->EKCH,4,EKYT,EKCH,5,False
Denmark,DK-0003->EKYT,3,DK-0003,EKYT,6,False
