pair,flight_count
KOZR->KDHN,19
KDHN->KOZR,17
KOZR->KTOI,13
KNGP->KCRP,12
KNSE->KCEW,12
PHIK->PHJR,10
KCRP->KNGP,10
KNSE->KPNS,9
LSMD->LSME,8
KALI->KNQI,8
KDLF->KDRT,8
KDCA->KADW,7
KSAV->KLFI,7
EGYE->EGYD,7
LSME->LSMD,7
LEMI->LELC,7
KGRF->KTIW,6
KVQQ->KNIP,6
KPAE->KNUW,6
KCLM->KNUW,6
KOXR->KNTD,6
KNKX->KNZY,6
KRND->KSAT,5
KWRI->KNEL,5
KEWN->KNCA,5
KBAK->KHOP,5
KTIW->KGRF,5
KSPS->KLAW,5
KNGU->KLFI,5
KCEW->KEGI,5
KEND->KDMA,5
KDAA->KMSN,5
KMOB->KBFM,4
KEWB->KHYA,4
KCXO->KGRK,4
KCEW->KNSE,4
KCOS->KBJC,4
KLFI->KNGU,4
PHJR->PHIK,4
KMQY->KBNA,4
KNIP->KVQQ,4
KNGP->KVCT,4
KNZY->KSAN,4
KNZY->KSDM,4
KOAJ->KNCA,4
LIRL->LIRE,4
LLBG->KPSM,4
KOKC->KTIK,4
KPNS->KNSE,4
KTCM->KGRF,4
KADW->KNYG,4
ETHN->EPGD,4
KAPG->KMTN,4
KAPA->KVPS,3
ETSN->EDMA,3
ETNW->ETSI,3
RODN->RORE,3
RKSW->RKTN,3
RKSS->RKSG,3
LKCV->LKPD,3
KCUB->KMMT,3
KDCA->KDAA,3
KDRT->KDLF,3
KBAF->KBDL,3
KART->KGTB,3
KEGI->KVPS,3
KELP->KBIF,3
KFCS->KCOS,3
KFBG->KPOB,3
ESSP->ESCF,3
ESSL->ESCF,3
LFTW->LFMI,3
LIRE->LIRA,3
KGPT->KBIX,3
KHFD->KBDL,3
KGTB->KRME,3
KHLN->KGTF,3
RKSG->RKSW,3
LSMP->LSME,3
KNEL->KWRI,3
PHNL->PHIK,3
KNIP->KNGU,3
KNPA->KPNS,3
EHGR->EHWO,3
KMTN->KAPG,3
KNEL->KGRF,3
KNZY->KNKX,3
EHWO->EHGR,3
LETO->LEMD,3
LFBU->LFBG,3
LFMV->LFTW,3
EDMA->ETSN,3
LKPO->LKPD,3
LKPD->LKPO,3
EGXC->EGYD,3
KOLM->KGRF,3
KSGJ->KNIP,3
KSKA->KGEG,3
KSGJ->KNRB,3
KPNE->KWRI,3
KSSI->KNIP,3
KSAT->KSKF,3
EGHI->EGXH,3
KSAV->ETAR,3
LECU->LEGT,3
ETNN->ETSB,3
ETSN->ETSI,3
PAED->PAFB,3
KCOS->KFCS,3
