epoch,mean_train_gaussian_nll,windows,candidate_windows_before_balancing,observed_target_cells,batches,elapsed_seconds,sampler,train_group_count,group_quota_min,group_quota_max,replacement_window_draws,mean_validation_gaussian_nll
1,1.4006955785052975,4036,4036,33320,4,1.0332949000003282,group_then_source_balanced_epoch_quota,4,1009,1009,1764,1.5552469649287721
2,1.3527434461338574,4036,4036,33368,4,0.7478601999973762,group_then_source_balanced_epoch_quota,4,1009,1009,1766,1.5822622856247996
3,1.3148927197529232,4036,4036,33437,4,0.7879458999996132,group_then_source_balanced_epoch_quota,4,1009,1009,1764,1.61608495753019
4,1.261894168524661,4036,4036,33470,4,0.6812480999979016,group_then_source_balanced_epoch_quota,4,1009,1009,1764,1.6638776997999993
5,1.2084973825128837,4036,4036,33368,4,0.6001276999995753,group_then_source_balanced_epoch_quota,4,1009,1009,1765,1.7432336472320402
6,1.1502118073786047,4036,4036,33431,4,0.7221757999977854,group_then_source_balanced_epoch_quota,4,1009,1009,1764,1.9095900402600636
7,1.088822412303886,4036,4036,33539,4,0.8552271999978984,group_then_source_balanced_epoch_quota,4,1009,1009,1764,2.206748104192456
8,1.0155441223116044,4036,4036,33377,4,0.6428182000017841,group_then_source_balanced_epoch_quota,4,1009,1009,1764,2.5219703778491165
9,0.9498055562295276,4036,4036,33377,4,0.933012499997858,group_then_source_balanced_epoch_quota,4,1009,1009,1764,2.7284206771481996
10,0.877370731833871,4036,4036,33497,4,1.1337917000018933,group_then_source_balanced_epoch_quota,4,1009,1009,1764,2.901721329656047
11,0.8150255772480703,4036,4036,33416,4,1.045409499998641,group_then_source_balanced_epoch_quota,4,1009,1009,1765,3.00877069909947
12,0.7496558154554314,4036,4036,33404,4,0.8216752000007546,group_then_source_balanced_epoch_quota,4,1009,1009,1764,3.2560400696669873
13,0.6903542191213144,4036,4036,33398,4,0.7802821000004769,group_then_source_balanced_epoch_quota,4,1009,1009,1764,3.669772082989152
14,0.638512509238535,4036,4036,33449,4,0.6554629000020213,group_then_source_balanced_epoch_quota,4,1009,1009,1764,4.65487097204459
15,0.5646276893107264,4036,4036,33461,4,0.6188815999994404,group_then_source_balanced_epoch_quota,4,1009,1009,1764,5.932089870804398
16,0.5114093818139863,4036,4036,33503,4,0.7145571999972162,group_then_source_balanced_epoch_quota,4,1009,1009,1764,8.05395747535931
17,0.4407954113690665,4036,4036,33329,4,0.7520151999997324,group_then_source_balanced_epoch_quota,4,1009,1009,1764,8.991894044987767
18,0.38665517322175696,4036,4036,33359,4,0.7358142999983102,group_then_source_balanced_epoch_quota,4,1009,1009,1764,9.38126429307742
19,0.35233594134265905,4036,4036,33356,4,0.6714355000003707,group_then_source_balanced_epoch_quota,4,1009,1009,1764,7.313090987566577
20,0.3182300483006684,4036,4036,33434,4,0.7359059000009438,group_then_source_balanced_epoch_quota,4,1009,1009,1764,7.3705908721920625
21,0.2721787546265261,4036,4036,33380,4,0.6169143000006443,group_then_source_balanced_epoch_quota,4,1009,1009,1764,6.964941773017409
22,0.23192003613845116,4036,4036,33317,4,0.6048298999994586,group_then_source_balanced_epoch_quota,4,1009,1009,1764,7.884245153371642
23,0.19156227135319645,4036,4036,33374,4,0.7278579999983776,group_then_source_balanced_epoch_quota,4,1009,1009,1764,9.460718005927138
24,0.17803430408078627,4036,4036,33374,4,0.6264857000023767,group_then_source_balanced_epoch_quota,4,1009,1009,1764,10.27431225002394
25,0.17086799398699187,4036,4036,33509,4,0.6021514999993087,group_then_source_balanced_epoch_quota,4,1009,1009,1764,12.05884854940014
26,0.145685766511331,4036,4036,33470,4,0.5149340999996639,group_then_source_balanced_epoch_quota,4,1009,1009,1764,13.757765903717333
27,0.12198687075957337,4036,4036,33446,4,0.23755720000190195,group_then_source_balanced_epoch_quota,4,1009,1009,1764,14.729791061902697
28,0.10812560201553613,4036,4036,33452,4,0.32255760000043665,group_then_source_balanced_epoch_quota,4,1009,1009,1764,19.78803669755492
29,0.09413791469688795,4036,4036,33545,4,0.3056770000002871,group_then_source_balanced_epoch_quota,4,1009,1009,1764,22.73443057273732
30,0.053602006388572404,4036,4036,33356,4,0.283322400002362,group_then_source_balanced_epoch_quota,4,1009,1009,1765,26.91246869924885
