epoch,mean_train_gaussian_nll,windows,candidate_windows_before_balancing,observed_target_cells,batches,elapsed_seconds,sampler,train_group_count,group_quota_min,group_quota_max,replacement_window_draws,mean_validation_gaussian_nll
1,0.5423457626742408,205247,205247,4902016,201,6.777547911999932,group_then_source_balanced_epoch_quota,7,29321,29321,33416,1.1653403132771498
2,0.024789285620180426,205247,205247,4901717,201,5.931315218000009,group_then_source_balanced_epoch_quota,7,29321,29321,33345,1.0507784796209496
3,-0.1446457740629287,205247,205247,4902223,201,5.904640116999985,group_then_source_balanced_epoch_quota,7,29321,29321,33380,0.8508832304635665
4,-0.26517419945620335,205247,205247,4902536,201,5.910658051000041,group_then_source_balanced_epoch_quota,7,29321,29321,33341,0.9465269177161134
5,-0.3464846502745893,205247,205247,4901685,201,5.90858498099999,group_then_source_balanced_epoch_quota,7,29321,29321,33304,0.8257678884682139
6,-0.4082365186706023,205247,205247,4902198,201,5.870633343000009,group_then_source_balanced_epoch_quota,7,29321,29321,33349,0.8911860529438338
7,-0.4560540110863013,205247,205247,4901998,201,5.897457168999949,group_then_source_balanced_epoch_quota,7,29321,29321,33485,0.6978214702321811
8,-0.505917651333526,205247,205247,4901965,201,5.874930749999976,group_then_source_balanced_epoch_quota,7,29321,29321,33318,0.5920528406358911
9,-0.5449782547315073,205247,205247,4901706,201,5.923004806999984,group_then_source_balanced_epoch_quota,7,29321,29321,33355,0.6586178247816434
10,-0.5771280841888756,205247,205247,4902012,201,5.936755967000067,group_then_source_balanced_epoch_quota,7,29321,29321,33357,0.527286166994528
11,-0.6138830122917234,205247,205247,4902197,201,5.915483521000056,group_then_source_balanced_epoch_quota,7,29321,29321,33434,0.6027464954998963
12,-0.6488594970781363,205247,205247,4902140,201,5.906034184000077,group_then_source_balanced_epoch_quota,7,29321,29321,33354,0.5940980132607345
13,-0.6783971904825223,205247,205247,4902290,201,5.879577660999985,group_then_source_balanced_epoch_quota,7,29321,29321,33369,0.42851153962028915
14,-0.6979361851002759,205247,205247,4902300,201,5.89006825499996,group_then_source_balanced_epoch_quota,7,29321,29321,33335,0.47740076712349155
15,-0.7261801828078529,205247,205247,4902219,201,5.894936223000059,group_then_source_balanced_epoch_quota,7,29321,29321,33394,0.5557967092184873
16,-0.7492703719303799,205247,205247,4902513,201,5.885968864000006,group_then_source_balanced_epoch_quota,7,29321,29321,33421,0.2704104845472679
17,-0.7716159341763726,205247,205247,4901662,201,5.8443773140000985,group_then_source_balanced_epoch_quota,7,29321,29321,33418,0.3087951496090591
18,-0.7864513226710325,205247,205247,4902032,201,5.879590464999978,group_then_source_balanced_epoch_quota,7,29321,29321,33402,0.11660038920095973
19,-0.8038129628020256,205247,205247,4901896,201,5.909822491999989,group_then_source_balanced_epoch_quota,7,29321,29321,33241,0.14377611634824955
20,-0.8151765052666998,205247,205247,4901819,201,5.912631347000001,group_then_source_balanced_epoch_quota,7,29321,29321,33396,0.06933428023382683
21,-0.844266210798294,205247,205247,4901510,201,5.930235079999989,group_then_source_balanced_epoch_quota,7,29321,29321,33404,0.09254650678597638
22,-0.8539572494120957,205247,205247,4901934,201,5.893465566999907,group_then_source_balanced_epoch_quota,7,29321,29321,33318,0.19424723036072447
23,-0.8675751888942064,205247,205247,4902011,201,5.933150887000011,group_then_source_balanced_epoch_quota,7,29321,29321,33381,0.016172852217480632
24,-0.8810828322255675,205247,205247,4901828,201,5.9391853319999655,group_then_source_balanced_epoch_quota,7,29321,29321,33364,0.026852239205802382
25,-0.9058286824556487,205247,205247,4902067,201,5.938296492000063,group_then_source_balanced_epoch_quota,7,29321,29321,33337,0.0544885966164055
26,-0.9099395029651103,205247,205247,4902119,201,5.900063767000006,group_then_source_balanced_epoch_quota,7,29321,29321,33316,-0.05038457711680153
27,-0.9291688790130591,205247,205247,4902439,201,5.893956015000072,group_then_source_balanced_epoch_quota,7,29321,29321,33451,-0.054695009210458424
28,-0.9372871734348035,205247,205247,4902053,201,5.9111208400000805,group_then_source_balanced_epoch_quota,7,29321,29321,33530,0.26094072033636434
29,-0.9513834570109156,205247,205247,4901747,201,5.8983877929999835,group_then_source_balanced_epoch_quota,7,29321,29321,33332,-0.06948317732601055
30,-0.9604541933654139,205247,205247,4902471,201,5.905598916999907,group_then_source_balanced_epoch_quota,7,29321,29321,33394,-0.15059167814242488
