split,seed,model,decision,budget,source_id,label,event_detected,first_alarm_delay_s,false_alarm_events
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/406_1/log_26_2023-6-2-10-09-14,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/406_2/log_27_2023-6-2-10-13-42,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/407_1/log_28_2023-6-2-10-16-50,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/408_1/log_29_2023-6-2-10-19-46,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/409_1/log_30_2023-6-2-10-22-56,motor_fault,False,,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/410_1/log_31_2023-6-2-10-26-10,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/411_1/log_32_2023-6-2-10-29-58,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/412_1/log_33_2023-6-2-10-33-34,motor_fault,True,9.210135000000005,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/413_1/log_34_2023-6-2-10-36-38,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/414_1/log_35_2023-6-2-10-40-42,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/415_1/log_36_2023-6-2-10-46-08,motor_fault,False,,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/416_1/log_37_2023-6-2-10-50-00,motor_fault,True,10.295083999999989,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/416_2/log_38_2023-6-2-10-56-48,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/417_1/log_39_2023-6-2-11-00-18,motor_fault,True,11.093232999999994,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/418_1/log_40_2023-6-2-11-03-30,motor_fault,False,,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/420_1/log_42_2023-6-2-11-12-16,motor_fault,True,11.895656000000002,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/421_1/log_43_2023-6-2-11-15-50,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/422_1/log_44_2023-6-2-11-19-24,motor_fault,True,10.707226000000002,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/428_1/log_4_2023-6-2-14-09-48,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/429_1/log_5_2023-6-2-14-13-26,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/acce/430_1/log_6_2023-6-2-14-18-00,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/326_1/log_46_2023-5-31-15-23-38,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/327_1/log_47_2023-5-31-15-29-42,motor_fault,True,6.895481999999994,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/328_1/log_50_2023-5-31-15-45-54,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/328_3/log_12_2023-6-7-08-34-04,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/329_2/log_13_2023-6-7-08-41-08,motor_fault,False,,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/330_1/log_52_2023-5-31-15-55-38,motor_fault,False,,3
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/330_2/log_14_2023-6-7-08-47-16,motor_fault,True,33.00109799999998,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/331_1/log_53_2023-5-31-16-00-30,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/332_2/log_16_2023-6-7-08-58-16,motor_fault,False,,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/333_1/log_55_2023-5-31-16-09-28,motor_fault,True,15.503081000000002,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/334_1/log_56_2023-5-31-16-22-28,motor_fault,False,,3
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/334_2/log_57_2023-5-31-16-32-28,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/334_3/log_18_2023-6-7-09-11-24,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/336_1/log_20_2023-6-7-09-27-20,motor_fault,False,,3
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/337_1/log_21_2023-6-7-09-35-08,motor_fault,True,45.902713999999996,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/338_1/log_0_2023-6-7-16-26-50,motor_fault,True,16.704736000000004,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/339_1/log_1_2023-6-7-16-32-14,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/340_1/log_2_2023-6-7-16-36-12,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/341_1/log_1_2023-6-9-08-30-46,motor_fault,False,,3
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/342_1/log_2_2023-6-9-08-36-02,motor_fault,False,,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/343_1/log_3_2023-6-9-08-40-46,motor_fault,True,6.8971500000000034,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/344_1/log_4_2023-6-9-08-45-46,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/345_1/log_5_2023-6-9-08-50-56,motor_fault,True,42.114115,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/346_1/log_6_2023-6-9-08-56-06,motor_fault,True,28.292461999999986,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/347_1/log_7_2023-6-9-09-02-04,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/348_1/log_8_2023-6-9-09-16-24,motor_fault,True,8.698030999999965,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/350_1/log_10_2023-6-9-09-28-10,motor_fault,True,13.499840000000006,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/351_1/log_11_2023-6-9-09-36-18,motor_fault,True,4.928893000000009,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/352_1/log_12_2023-6-9-09-42-34,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/353_1/log_13_2023-6-9-09-48-18,motor_fault,True,33.10152700000001,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/354_1/log_14_2023-6-9-09-53-56,motor_fault,True,32.918701999999996,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/356_1/log_16_2023-6-9-11-26-58,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/357_1/log_0_2023-6-9-17-20-14,motor_fault,False,,3
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/358_1/log_1_2023-6-9-17-28-00,motor_fault,False,,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/359_1/log_2_2023-6-9-17-32-44,motor_fault,True,8.807736999999996,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/360_1/log_3_2023-6-9-17-37-16,motor_fault,False,,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/362_1/log_5_2023-6-9-17-47-52,motor_fault,True,44.113098,1
split_00,0,lstm_ae,threshold,critical,Real-Motor/circling/365_1/log_1_2023-6-10-08-07-42,motor_fault,True,16.201002999999986,2
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/10_1/log_4_2023-5-17-15-31-28,motor_fault,True,50.605722000000014,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/11_1/log_5_2023-5-17-15-39-34,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/13_1/log_7_2023-5-17-15-47-34,motor_fault,True,3.413963999999993,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/14_1/log_8_2023-5-17-15-52-16,motor_fault,False,,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/15_1/log_9_2023-5-17-15-56-42,motor_fault,True,59.29969000000001,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/16_1/log_10_2023-5-17-16-01-50,motor_fault,True,46.316618999999996,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/17_1/log_11_2023-5-17-16-06-52,motor_fault,True,38.407835000000006,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/18_1/log_12_2023-5-17-16-12-26,motor_fault,True,91.40069400000004,0
split_00,0,lstm_ae,threshold,critical,Real-Motor/hover/19_1/log_13_2023-5-17-16-19-30,motor_fault,False,,1
