epoch,train_loss,val_loss,split,model
1,3.045627382066515,3.745659112930298,split_03,dense_ae
2,3.001206146346198,3.6528306007385254,split_03,dense_ae
3,2.8901329239209494,3.5094730854034424,split_03,dense_ae
4,2.7773382796181574,3.3595409393310547,split_03,dense_ae
5,2.6454951100879245,3.2244956493377686,split_03,dense_ae
6,2.5350581540001764,3.115178346633911,split_03,dense_ae
7,2.4428929123613567,3.0185868740081787,split_03,dense_ae
8,2.3608729276392193,2.94746732711792,split_03,dense_ae
9,2.3165673282411365,2.9056365489959717,split_03,dense_ae
10,2.2862918972969055,2.88358473777771,split_03,dense_ae
11,2.264872905280855,2.8648297786712646,split_03,dense_ae
12,2.249073214001126,2.8454043865203857,split_03,dense_ae
13,2.2252308428287506,2.8314096927642822,split_03,dense_ae
14,2.220035582780838,2.8230788707733154,split_03,dense_ae
15,2.2112800114684634,2.8157765865325928,split_03,dense_ae
16,2.2026429805490704,2.81003999710083,split_03,dense_ae
17,2.1977855265140533,2.8031582832336426,split_03,dense_ae
18,2.198635710610284,2.8000874519348145,split_03,dense_ae
19,2.1929133203294544,2.7955596446990967,split_03,dense_ae
20,2.1900166902277203,2.795541286468506,split_03,dense_ae
21,2.1827352344989777,2.7966253757476807,split_03,dense_ae
22,2.1866393619113498,2.7968273162841797,split_03,dense_ae
23,2.1864689555433063,2.787825107574463,split_03,dense_ae
24,2.1844331324100494,2.7873003482818604,split_03,dense_ae
25,2.1799224581983356,2.7870447635650635,split_03,dense_ae
26,2.1795082555876837,2.780773639678955,split_03,dense_ae
27,2.1731120447317758,2.7782034873962402,split_03,dense_ae
28,2.176055441300074,2.7788636684417725,split_03,dense_ae
29,2.169610023498535,2.781344413757324,split_03,dense_ae
30,2.175960057311588,2.777029037475586,split_03,dense_ae
31,2.1693235205279455,2.778502941131592,split_03,dense_ae
32,2.17419053779708,2.776615858078003,split_03,dense_ae
33,2.1766515241728888,2.7768115997314453,split_03,dense_ae
34,2.169852899180518,2.779202461242676,split_03,dense_ae
35,2.1710201501846313,2.778160333633423,split_03,dense_ae
36,2.1697237028015985,2.7795159816741943,split_03,dense_ae
37,2.16925350162718,2.77597975730896,split_03,dense_ae
38,2.162418587340249,2.777059316635132,split_03,dense_ae
39,2.1674527360333338,2.7747108936309814,split_03,dense_ae
40,2.1701168715953827,2.7720189094543457,split_03,dense_ae
