split,part,n_flights,n_rows,n_windows,observed_cell_fraction
split_00,train,27,15244,2792,0.9987584948539734
split_00,val,12,5028,893,0.9998809695243835
split_00,test,315,177247,32476,0.9999103546142578
split_01,train,27,15333,2809,0.9999100565910339
split_01,val,12,4861,860,0.9998777508735657
split_01,test,315,177325,32492,0.9998114705085754
split_02,train,27,14430,2629,0.9986767172813416
split_02,val,12,5850,1056,0.9998971819877625
split_02,test,315,177239,32476,0.999910831451416
split_03,train,27,12680,2280,0.9998957514762878
split_03,val,12,5528,992,0.9966382384300232
split_03,test,315,179311,32889,0.9999114871025085
split_04,train,27,12607,2266,0.9984698295593262
split_04,val,12,7627,1412,0.9999247193336487
split_04,test,315,177285,32483,0.9999104738235474
