package,flights,telemetry_rows_1hz,truth_missing_flights,tp,fn,fp,tn,event_recall,false_alarm_events,normal_exposure_hours,false_alarms_per_hour,batch_row_auroc_mean,batch_row_auprc_mean,batches
HIL-Load,291,30565,0,20,271,0,0,0.06872852233676977,4,4.816388888888889,0.8304977218986102,0.6876413047987917,0.5437173897587829,19
HIL-NoFault,240,15765,0,0,0,1,239,,1,4.379166666666666,0.22835394862036157,,,15
HIL-Sensors,690,66482,0,11,679,0,0,0.015942028985507246,5,10.612222222222222,0.4711548528949848,0.6465332638090454,0.5470123486133825,44
HIL-Voltage,36,3511,0,2,34,0,0,0.05555555555555555,0,0.5386111111111112,0.0,0.6646494461662096,0.5484032015485948,3
HIL-Wind,443,43631,0,78,365,0,0,0.17607223476297967,21,6.4880555555555555,3.236717044140943,0.6959055799466057,0.5956481118732766,28
HIL_Motor_1,486,50770,0,0,486,0,0,0.0,0,7.666944444444445,0.0,0.6886441250448568,0.6353936548639711,31
HIL_Motor_2,435,46952,0,1,434,0,0,0.0022988505747126436,9,7.350555555555555,1.224397248885194,0.7210536972724556,0.5736179055511427,28
HIL_Prop,435,40756,0,3,432,0,0,0.006896551724137931,9,6.559722222222222,1.3720093161126403,0.7615704077810479,0.6029783917857804,28
Real-Motor,245,29492,0,40,205,0,0,0.16326530612244897,9,5.895277777777777,1.52664562031758,0.8157351242480354,0.6093872032859348,16
Real-No_Fault,51,5170,0,0,0,6,45,,6,1.4361111111111111,4.1779497098646035,,,4
Real-Sensors,197,21195,0,4,193,0,0,0.02030456852791878,17,3.7055555555555557,4.5877061469265366,0.6585253109480695,0.47000794943002877,13
SIL-Load,291,31464,0,27,264,0,0,0.09278350515463918,6,5.028333333333333,1.193238316208154,0.5298402892328661,0.46719323795211853,19
SIL-NoFault,240,19889,0,0,0,1,239,,1,5.5247222222222225,0.18100457539343354,,,15
SIL-Sensors,690,74291,0,3,687,0,0,0.004347826086956522,1,12.635555555555555,0.07914175167077031,0.5216964468623277,0.42860762026589944,44
SIL-Voltage,36,3841,0,0,36,0,0,0.0,0,0.595,0.0,0.5886486510627967,0.5001017394980124,3
SIL-Wind,443,51088,0,23,420,0,0,0.05191873589164785,11,8.536666666666667,1.2885591565794612,0.5343573102273976,0.4353615324186218,28
SIL_Motor_1,486,56601,0,0,486,0,0,0.0,0,9.2875,0.0,0.48161571592783853,0.42506575073235614,31
SIL_Motor_2,435,52661,0,0,435,0,0,0.0,0,8.928055555555556,0.0,0.5731857948882204,0.44264101621987045,28
SIL_Prop,435,46268,0,1,434,0,0,0.0022988505747126436,1,8.073055555555555,0.12386883666517566,0.5127088081709863,0.39918916620273215,28
