platform_metadata,fault_id,fault_parameter,fault_severity,planned_fault_start_s,planned_fault_end_s,case_id,canonical_case_id,source_archive,dataset_version,domain,representation,platform,flight_status,fault_family,fault_subtype,system_fault,environment_condition,evaluation_role,fault_start_s,fault_end_s,duration_s,truth_source,ulog_sha256,testinfo_sha256,duplicate_group,quality_status,split_group_id,split,cv_fold,object_name,parsed_path,ulog_bytes
unknown,[123544.],[2. 2. 2.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_106_2414000105,rfly_7b9c7d3da817d2f17602,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,85.0,test_info,7b9c7d3da817d2f17602c3728db2b55841299a2a00dc719b5946a5d0a5a161ad,49a6a53e71e97fc1392f56d16cc2ccb02723ea4717a23e4b1e149ddebaf7a535,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_106_2414000105/Log/log_105_2023-8-6-07-57-00.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10359884
unknown,[123544.],[2. 2. 4.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_107_2414000106,rfly_775cf91757d68b261fe9,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,86.0,test_info,775cf91757d68b261fe96f377ec5b77140b04567a451af03a976cc3a5372f138,f9919350992eec784ef9c954279c798770ef204089d770f149d3261df3b6c195,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_107_2414000106/Log/log_106_2023-8-6-07-59-12.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10471832
unknown,[123544.],[2. 4. 2.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_108_2414000107,rfly_7ab3bccee9dc36006031,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,84.0,test_info,7ab3bccee9dc360060311d319572fbb056c069c2181cb3dd1184639805267e40,3b8f690ac076a0828c60978bed8ccd3447dbc308415d1fc7f28be6e4adf48d94,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_108_2414000107/Log/log_107_2023-8-6-08-01-26.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,9952203
unknown,[123544.],[2. 4. 4.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_109_2414000108,rfly_78544715059accd07d65,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,86.0,test_info,78544715059accd07d6553e3bf9cff11bbba7b7b6ff4097b6d416604da3266c2,3e653adffb6b493160703c53aefc4ad8e15123ed2f2f10e53ca1e30a311e433b,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_109_2414000108/Log/log_108_2023-8-6-08-03-38.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10424707
unknown,[123544.],[4. 2. 2.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_110_2414000109,rfly_ef48786c66867dcf10b4,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,86.0,test_info,ef48786c66867dcf10b4bfe5a999db669b0237b318d9ef524ba2c380abd0f439,a86f70f4e772b8f8bace07ec38fa8c60e748f3be0e7d86959cc06c55324d0e7d,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_110_2414000109/Log/log_109_2023-8-6-08-05-50.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10471807
unknown,[123544.],[4. 2. 4.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_111_2414000110,rfly_861db941d934d6f0d67a,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,86.0,test_info,861db941d934d6f0d67ae881b8c12da4ebae4be01fc1b2f25d67c9433acb993f,07f12235dcbe9fd95c39b49fcc50c024632006300c1ab801b1734f3d1b2ebe01,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_111_2414000110/Log/log_110_2023-8-6-08-08-04.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10423241
unknown,[123544.],[4. 4. 2.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_112_2414000111,rfly_521ee04a9322ef019e18,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,86.0,test_info,521ee04a9322ef019e18cd641b75b5ca7e58b77cc1810d82b67df533e52fcdd8,4920d7769075296185adc041f1a41d86d6c4d6578a484e5c96fab4316be837ed,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_112_2414000111/Log/log_111_2023-8-6-08-10-16.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10481224
unknown,[123544.],[4. 4. 4.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_113_2414000112,rfly_0f68df32ea08846be3ba,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,87.0,test_info,0f68df32ea08846be3ba3011b1dcca53fc90f0bf7079347b7ae4dd60be19504a,035706985c416bfe5e70f6a7f9d222075cdc5dbabcc1a84ab1900128adc4b3f8,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_113_2414000112/Log/log_112_2023-8-6-08-12-28.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10583051
unknown,[123544.],[2. 2. 2.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_114_2414000113,rfly_96b3a7a2ae5e73ca6037,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,71.0,test_info,96b3a7a2ae5e73ca6037498989171b8d3a7f7a725846f112a8840330afd5b36b,862ef6d9350d8610b97dd07a3a6dad657118cf6058f527057662c8fa70badb07,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_114_2414000113/Log/log_113_2023-8-6-08-14-26.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,8643775
unknown,[123544.],[2. 2. 4.],unknown,24.0,69.0,HIL-Wind/acce-wind/TestCase_115_2414000114,rfly_ef7d2deb1211485e2081,xianglile/rflymad,kaggle_snapshot_2026-07-20,HIL,ULog+TestInfo,unknown,normal_or_environment,Environment,Accelerometer,False,Wind,environment_robustness,24.0,69.0,84.0,test_info,ef7d2deb1211485e208178aff1f211ce7f0670aff6787d08c999e1f5b3aa0aaa,5c2407b380e20ca296f2947322e81c4f44fd7533251f2b090d718ec2a87dd404,,ok,simulation_scenario:HIL-Wind/acce-wind,development,3,HIL-Wind/acce-wind/TestCase_115_2414000114/Log/log_114_2023-8-6-08-16-56.ulg,C:/Users/PC_5812_YD26/Desktop/GitHub/AnomalyDetection/artifacts/rfly_full/parsed_batches/HIL-Wind/batch_0000.parquet,10290070
