policy,domain,fault_family,fault_subtype,flights,detected,recall
frozen_q99.5,HIL,Motor,Motor_1,567,0,0.0
frozen_q99.5,HIL,Motor,Motor_2,354,0,0.0
frozen_q99.5,HIL,Propeller,Propeller,238,0,0.0
frozen_q99.5,HIL,Sensor,Accelerometer,206,4,0.019417475728155338
frozen_q99.5,HIL,Sensor,Barometer,121,4,0.03305785123966942
frozen_q99.5,HIL,Sensor,GPS,121,0,0.0
frozen_q99.5,HIL,Sensor,Gyroscope,121,4,0.03305785123966942
frozen_q99.5,HIL,Sensor,Unknown,121,0,0.0
frozen_q99.5,Real,Motor,Accelerometer,27,1,0.037037037037037035
frozen_q99.5,Real,Motor,Unknown,218,59,0.2706422018348624
frozen_q99.5,Real,Sensor,Accelerometer,50,16,0.32
frozen_q99.5,Real,Sensor,Barometer,41,10,0.24390243902439024
frozen_q99.5,Real,Sensor,GPS,39,7,0.1794871794871795
frozen_q99.5,Real,Sensor,Gyroscope,35,10,0.2857142857142857
frozen_q99.5,Real,Sensor,Unknown,32,1,0.03125
frozen_q99.5,SIL,Motor,Motor_1,567,0,0.0
frozen_q99.5,SIL,Motor,Motor_2,354,0,0.0
frozen_q99.5,SIL,Propeller,Propeller,435,1,0.0022988505747126436
frozen_q99.5,SIL,Sensor,Accelerometer,206,0,0.0
frozen_q99.5,SIL,Sensor,Barometer,121,0,0.0
frozen_q99.5,SIL,Sensor,GPS,121,0,0.0
frozen_q99.5,SIL,Sensor,Gyroscope,121,4,0.03305785123966942
frozen_q99.5,SIL,Sensor,Unknown,121,0,0.0
diagnostic_at_2_fa_h,HIL,Motor,Motor_1,567,0,0.0
diagnostic_at_2_fa_h,HIL,Motor,Motor_2,354,0,0.0
diagnostic_at_2_fa_h,HIL,Propeller,Propeller,238,0,0.0
diagnostic_at_2_fa_h,HIL,Sensor,Accelerometer,206,4,0.019417475728155338
diagnostic_at_2_fa_h,HIL,Sensor,Barometer,121,3,0.024793388429752067
diagnostic_at_2_fa_h,HIL,Sensor,GPS,121,0,0.0
diagnostic_at_2_fa_h,HIL,Sensor,Gyroscope,121,3,0.024793388429752067
diagnostic_at_2_fa_h,HIL,Sensor,Unknown,121,0,0.0
diagnostic_at_2_fa_h,Real,Motor,Accelerometer,27,0,0.0
diagnostic_at_2_fa_h,Real,Motor,Unknown,218,39,0.17889908256880735
diagnostic_at_2_fa_h,Real,Sensor,Accelerometer,50,9,0.18
diagnostic_at_2_fa_h,Real,Sensor,Barometer,41,8,0.1951219512195122
diagnostic_at_2_fa_h,Real,Sensor,GPS,39,2,0.05128205128205128
diagnostic_at_2_fa_h,Real,Sensor,Gyroscope,35,2,0.05714285714285714
diagnostic_at_2_fa_h,Real,Sensor,Unknown,32,1,0.03125
diagnostic_at_2_fa_h,SIL,Motor,Motor_1,567,0,0.0
diagnostic_at_2_fa_h,SIL,Motor,Motor_2,354,0,0.0
diagnostic_at_2_fa_h,SIL,Propeller,Propeller,435,1,0.0022988505747126436
diagnostic_at_2_fa_h,SIL,Sensor,Accelerometer,206,0,0.0
diagnostic_at_2_fa_h,SIL,Sensor,Barometer,121,0,0.0
diagnostic_at_2_fa_h,SIL,Sensor,GPS,121,0,0.0
diagnostic_at_2_fa_h,SIL,Sensor,Gyroscope,121,4,0.03305785123966942
diagnostic_at_2_fa_h,SIL,Sensor,Unknown,121,0,0.0
diagnostic_at_12_fa_h,HIL,Motor,Motor_1,567,44,0.07760141093474426
diagnostic_at_12_fa_h,HIL,Motor,Motor_2,354,97,0.2740112994350282
diagnostic_at_12_fa_h,HIL,Propeller,Propeller,238,12,0.05042016806722689
diagnostic_at_12_fa_h,HIL,Sensor,Accelerometer,206,47,0.22815533980582525
diagnostic_at_12_fa_h,HIL,Sensor,Barometer,121,47,0.3884297520661157
diagnostic_at_12_fa_h,HIL,Sensor,GPS,121,19,0.15702479338842976
diagnostic_at_12_fa_h,HIL,Sensor,Gyroscope,121,11,0.09090909090909091
diagnostic_at_12_fa_h,HIL,Sensor,Unknown,121,3,0.024793388429752067
diagnostic_at_12_fa_h,Real,Motor,Accelerometer,27,25,0.9259259259259259
diagnostic_at_12_fa_h,Real,Motor,Unknown,218,63,0.2889908256880734
diagnostic_at_12_fa_h,Real,Sensor,Accelerometer,50,18,0.36
diagnostic_at_12_fa_h,Real,Sensor,Barometer,41,17,0.4146341463414634
diagnostic_at_12_fa_h,Real,Sensor,GPS,39,20,0.5128205128205128
diagnostic_at_12_fa_h,Real,Sensor,Gyroscope,35,15,0.42857142857142855
diagnostic_at_12_fa_h,Real,Sensor,Unknown,32,15,0.46875
diagnostic_at_12_fa_h,SIL,Motor,Motor_1,567,75,0.13227513227513227
diagnostic_at_12_fa_h,SIL,Motor,Motor_2,354,113,0.3192090395480226
diagnostic_at_12_fa_h,SIL,Propeller,Propeller,435,110,0.25287356321839083
diagnostic_at_12_fa_h,SIL,Sensor,Accelerometer,206,33,0.16019417475728157
diagnostic_at_12_fa_h,SIL,Sensor,Barometer,121,38,0.3140495867768595
diagnostic_at_12_fa_h,SIL,Sensor,GPS,121,26,0.21487603305785125
diagnostic_at_12_fa_h,SIL,Sensor,Gyroscope,121,13,0.10743801652892562
diagnostic_at_12_fa_h,SIL,Sensor,Unknown,121,8,0.06611570247933884
