case_id,domain,fault_family,fault_subtype,evaluation_role,detected,alarm_events
HIL-NoFault/HIL-NoFault/acce/TestCase_163_2419000162,HIL,NoFault,Accelerometer,normal_reference,False,0
HIL-NoFault/HIL-NoFault/acce/TestCase_164_2419000163,HIL,NoFault,Accelerometer,normal_reference,False,0
HIL-NoFault/HIL-NoFault/acce/TestCase_165_2419000164,HIL,NoFault,Accelerometer,normal_reference,False,0
HIL-NoFault/HIL-NoFault/acce/TestCase_180_2419000179,HIL,NoFault,Accelerometer,normal_reference,False,0
HIL-NoFault/HIL-NoFault/acce/TestCase_184_2419000183,HIL,NoFault,Accelerometer,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_100_2319000099,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_103_2319000102,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_104_2319000103,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_105_2319000104,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_111_2319000110,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_81_2319000080,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_88_2319000087,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/circling/TestCase_95_2319000094,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/dece/TestCase_215_2519000214,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/dece/TestCase_228_2519000227,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/dece/TestCase_236_2519000235,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/hover/TestCase_16_2019000015,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/hover/TestCase_19_2019000018,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/hover/TestCase_31_2019000030,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/hover/TestCase_36_2019000035,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_123_2219000122,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_131_2219000130,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_138_2219000137,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_141_2219000140,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_143_2219000142,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_144_2219000143,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_146_2219000145,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_151_2219000150,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_153_2219000152,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_154_2219000153,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_158_2219000157,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/velocity/TestCase_159_2219000158,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/waypoint/TestCase_57_2119000056,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/waypoint/TestCase_61_2119000060,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/waypoint/TestCase_63_2119000062,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/waypoint/TestCase_75_2119000074,HIL,NoFault,NoFault,normal_reference,False,0
HIL-NoFault/HIL-NoFault/waypoint/TestCase_79_2119000078,HIL,NoFault,NoFault,normal_reference,False,0
HIL-Sensors/acce-GPS/TestCase_100_2406000099,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_101_2406000100,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_102_2406000101,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_103_2406000102,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_104_2406000103,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_105_2406000104,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_106_2406000105,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_107_2406000106,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_108_2406000107,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_109_2406000108,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_110_2406000109,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_111_2406000110,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_135_2406000134,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_136_2406000135,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_97_2406000096,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_98_2406000097,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-GPS/TestCase_99_2406000098,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_100_2402000099,HIL,Sensor,Accelerometer,fault_detection,False,0
HIL-Sensors/acce-acce/TestCase_101_2402000100,HIL,Sensor,Accelerometer,fault_detection,False,0
