domain,fault_family,phase,count,mean,median,q90,q95,q99
HIL,Environment,environment_active,20274,4.0569057,2.4855175,8.361172,14.466203,24.737953
HIL,Environment,environment_inactive,14940,3.6959054,2.054001,7.8093677,13.256452,28.288084
HIL,Motor,fault_active,43659,3.710473,3.572357,6.2628536,7.110107,8.506756
HIL,Motor,post_fault,18159,3.5941622,3.4996827,5.7361436,6.3045454,7.597451
HIL,Motor,pre_fault,18405,1.5528107,1.3496174,2.6565788,2.8821304,3.4380875
HIL,NoFault,normal,1735,1.3467836,1.048229,2.6432478,3.1719196,5.6246576
HIL,Propeller,fault_active,8224,3.8280354,3.7355247,5.7290654,6.2316756,7.016389
HIL,Propeller,post_fault,4426,3.9193015,3.7215514,5.8336306,6.3967013,7.9108763
HIL,Propeller,pre_fault,3426,1.4402424,1.455037,2.2992024,2.577456,3.088191
HIL,Sensor,fault_active,28252,3.3435426,2.7131872,7.158638,8.8255205,14.066446
HIL,Sensor,post_fault,13095,3.8740518,3.3008204,8.222023,10.242712,14.114428
HIL,Sensor,pre_fault,12025,1.5665526,1.3582102,2.778458,3.038442,3.78635
Real,Motor,fault_active,8182,12.026514,12.204319,16.307758,17.373579,19.360569
Real,Motor,missing_truth,2207,12.857344,12.82281,17.249441,18.561777,21.560303
Real,Motor,post_fault,8652,14.241891,14.257615,18.447657,19.711931,22.119385
Real,Motor,pre_fault,5796,10.86503,10.738803,14.978582,16.010948,17.937027
Real,NoFault,normal,307,8.293092,7.3429885,12.561762,13.239065,13.961323
Real,Sensor,fault_active,7791,11.572851,11.685109,15.240999,16.242744,18.92997
Real,Sensor,post_fault,5797,13.803781,13.267215,18.61365,20.323254,23.553896
Real,Sensor,pre_fault,3864,9.57362,9.584148,12.544831,13.488712,14.850374
SIL,Environment,environment_active,20356,2.4830382,1.6212,5.7486386,6.9868584,12.404603
SIL,Environment,environment_inactive,22315,2.5848567,1.5584792,5.9473104,6.9872932,12.427703
SIL,Motor,fault_active,43686,3.155735,2.690465,6.4445057,7.5232797,9.308575
SIL,Motor,post_fault,28169,4.0393534,3.9084363,6.4360647,7.1952715,8.556984
SIL,Motor,pre_fault,19908,0.651015,0.56369054,1.0356796,1.3793812,2.1799746
SIL,NoFault,normal,2066,1.1088698,0.73519397,2.0489662,2.9874756,6.8356953
SIL,Propeller,fault_active,17205,3.6756294,3.1761515,7.415436,8.434015,10.3205185
SIL,Propeller,post_fault,13202,4.8092723,4.6168966,7.1727657,8.062211,9.857621
SIL,Propeller,pre_fault,7596,0.6664188,0.56729734,1.0181621,1.5002275,2.2794313
SIL,Sensor,fault_active,28803,2.5590854,1.4438633,6.2549286,8.104608,12.075483
SIL,Sensor,post_fault,19403,3.321434,2.8223712,7.658368,9.103635,12.546829
SIL,Sensor,pre_fault,12975,0.7098667,0.613004,1.1331737,1.5590237,2.3409023
