policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,140,0.5907172995780591
advisory,HIL,Motor,744,440,0.5913978494623656
advisory,HIL,Propeller,387,291,0.751937984496124
advisory,HIL,Sensor,552,258,0.4673913043478261
advisory,HIL,Voltage,30,9,0.3
advisory,Real,Motor,196,31,0.15816326530612246
advisory,Real,Sensor,158,30,0.189873417721519
advisory,SIL,Load,237,80,0.33755274261603374
advisory,SIL,Motor,744,198,0.2661290322580645
advisory,SIL,Propeller,354,161,0.4548022598870056
advisory,SIL,Sensor,552,71,0.1286231884057971
advisory,SIL,Voltage,30,2,0.06666666666666667
critical,HIL,Load,237,137,0.5780590717299579
critical,HIL,Motor,744,575,0.7728494623655914
critical,HIL,Propeller,387,342,0.8837209302325582
critical,HIL,Sensor,552,247,0.447463768115942
critical,HIL,Voltage,30,10,0.3333333333333333
critical,Real,Motor,196,21,0.10714285714285714
critical,Real,Sensor,158,26,0.16455696202531644
critical,SIL,Load,237,72,0.3037974683544304
critical,SIL,Motor,744,160,0.21505376344086022
critical,SIL,Propeller,354,138,0.3898305084745763
critical,SIL,Sensor,552,58,0.10507246376811594
critical,SIL,Voltage,30,2,0.06666666666666667
