policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,136,0.5738396624472574
advisory,HIL,Motor,744,401,0.5389784946236559
advisory,HIL,Propeller,387,301,0.7777777777777778
advisory,HIL,Sensor,552,215,0.3894927536231884
advisory,HIL,Voltage,30,7,0.23333333333333334
advisory,Real,Motor,196,68,0.3469387755102041
advisory,Real,Sensor,158,6,0.0379746835443038
advisory,SIL,Load,237,167,0.7046413502109705
advisory,SIL,Motor,744,630,0.8467741935483871
advisory,SIL,Propeller,354,329,0.9293785310734464
advisory,SIL,Sensor,552,228,0.41304347826086957
advisory,SIL,Voltage,30,14,0.4666666666666667
critical,HIL,Load,237,113,0.4767932489451477
critical,HIL,Motor,744,181,0.24327956989247312
critical,HIL,Propeller,387,213,0.5503875968992248
critical,HIL,Sensor,552,145,0.26268115942028986
critical,HIL,Voltage,30,3,0.1
critical,Real,Motor,196,52,0.2653061224489796
critical,Real,Sensor,158,0,0.0
critical,SIL,Load,237,150,0.6329113924050633
critical,SIL,Motor,744,582,0.782258064516129
critical,SIL,Propeller,354,316,0.8926553672316384
critical,SIL,Sensor,552,191,0.34601449275362317
critical,SIL,Voltage,30,9,0.3
