policy,domain,fault_family,flights,detected,recall
advisory,HIL,Load,237,88,0.37130801687763715
advisory,HIL,Motor,744,188,0.25268817204301075
advisory,HIL,Propeller,387,176,0.45478036175710596
advisory,HIL,Sensor,552,105,0.19021739130434784
advisory,HIL,Voltage,30,3,0.1
advisory,Real,Motor,196,30,0.15306122448979592
advisory,Real,Sensor,158,30,0.189873417721519
advisory,SIL,Load,237,83,0.350210970464135
advisory,SIL,Motor,744,193,0.2594086021505376
advisory,SIL,Propeller,354,162,0.4576271186440678
advisory,SIL,Sensor,552,70,0.12681159420289856
advisory,SIL,Voltage,30,2,0.06666666666666667
critical,HIL,Load,237,5,0.02109704641350211
critical,HIL,Motor,744,1,0.0013440860215053765
critical,HIL,Propeller,387,0,0.0
critical,HIL,Sensor,552,2,0.0036231884057971015
critical,HIL,Voltage,30,0,0.0
critical,Real,Motor,196,20,0.10204081632653061
critical,Real,Sensor,158,26,0.16455696202531644
critical,SIL,Load,237,39,0.16455696202531644
critical,SIL,Motor,744,0,0.0
critical,SIL,Propeller,354,10,0.02824858757062147
critical,SIL,Sensor,552,8,0.014492753623188406
critical,SIL,Voltage,30,0,0.0
