policy,canonical_case_id,domain,fault_family,evaluation_role,detected,alarm_events,false_alarm_events,normal_calibration_holdout,exposure_hours,normal_exposure_hours
critical,rfly_01f8a131775520fe08d8,HIL,Environment,environment_robustness,,1,1,False,0.021666666666666667,0.021666666666666667
critical,rfly_02869208fd351f7248e7,HIL,Environment,environment_robustness,,1,1,False,0.03277777777777778,0.03277777777777778
critical,rfly_012d2a915faa0c6b2e6a,HIL,Environment,environment_robustness,,1,1,False,0.030555555555555555,0.030555555555555555
critical,rfly_03425f6a012baf80f9da,HIL,Environment,environment_robustness,,0,0,False,0.0225,0.0225
critical,rfly_034c0ad902bab3f8adb0,HIL,Environment,environment_robustness,,0,0,False,0.020555555555555556,0.020555555555555556
critical,rfly_01a1d52cce4638ddb386,HIL,Environment,environment_robustness,,0,0,False,0.020555555555555556,0.020555555555555556
critical,rfly_049d68ada8b8fcb14676,HIL,Environment,environment_robustness,,1,1,False,0.020833333333333332,0.020833333333333332
critical,rfly_009787717a505146e61b,HIL,Environment,environment_robustness,,0,0,False,0.020833333333333332,0.020833333333333332
critical,rfly_002a8c238bce42375339,HIL,Environment,environment_robustness,,1,1,False,0.03305555555555555,0.03305555555555555
critical,rfly_00536cf02989628c81ce,HIL,Environment,environment_robustness,,2,2,False,0.03305555555555555,0.03305555555555555
critical,rfly_021ebac55c420ec9a288,HIL,Motor,fault_detection,True,1,0,False,0.03277777777777778,0.0
critical,rfly_01f204a5d199e5a8b8fb,HIL,Motor,fault_detection,True,1,0,False,0.03194444444444444,0.0
critical,rfly_02b48f3e389f6f5c3e43,HIL,Motor,fault_detection,True,1,0,False,0.013333333333333334,0.0
critical,rfly_0171dcf4b2d86f290e6f,HIL,Motor,fault_detection,False,0,0,False,0.012777777777777779,0.0
critical,rfly_03352ead71fc4dd9bde6,HIL,Motor,fault_detection,True,1,0,False,0.012777777777777779,0.0
critical,rfly_014fc83ae29a8eccae33,HIL,Motor,fault_detection,True,1,0,False,0.012777777777777779,0.0
critical,rfly_00ee001c99aa159cfd11,HIL,Motor,fault_detection,False,0,0,False,0.02361111111111111,0.0
critical,rfly_028dc6db433613bbb603,HIL,Motor,fault_detection,True,1,0,False,0.02388888888888889,0.0
critical,rfly_00e3e753f560b2f3ec54,HIL,Motor,fault_detection,False,0,0,False,0.01861111111111111,0.0
critical,rfly_041931241a456e8fc4c6,HIL,Motor,fault_detection,True,1,0,False,0.019166666666666665,0.0
critical,rfly_0433d0ebd7abda505020,HIL,Motor,fault_detection,True,2,0,False,0.034722222222222224,0.0
critical,rfly_0058c4c30d4fc2bbc150,HIL,Motor,fault_detection,True,1,0,False,0.035,0.0
critical,rfly_00458625c8b942377542,HIL,Motor,fault_detection,True,1,0,False,0.034722222222222224,0.0
critical,rfly_0113ecaf67de028dcc2d,HIL,Motor,fault_detection,True,1,0,False,0.034722222222222224,0.0
critical,rfly_03caa547b0bcec906ab7,HIL,Motor,fault_detection,True,2,0,False,0.03222222222222222,0.0
critical,rfly_036c9573c63ffbd896d2,HIL,Motor,fault_detection,True,1,0,False,0.03166666666666667,0.0
critical,rfly_3e6e4200e81980b9aa6b,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_7eced51190caa2e8683e,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_e21af99eaee532d26f28,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_7531ddf2d24437dc9e12,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_1c7405ab5f01c99fe3e7,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_cb569fabe91951686146,HIL,NoFault,normal_reference,,0,0,False,0.019444444444444445,0.019444444444444445
critical,rfly_5c2e93134f6d540ae4e9,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_ef171aa8fb84e42100df,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_c26c34828fbf487b29d6,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_bd772a9843bfac6976ce,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_16f8009d30de933f226c,HIL,NoFault,normal_reference,,0,0,False,0.020277777777777777,0.020277777777777777
critical,rfly_00a1192f3698e39a1e50,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_087ceeafd3990ecd2a1a,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_b870288e9828c5081c36,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_98b71605ce804a6d91cc,HIL,NoFault,normal_reference,,0,0,False,0.019444444444444445,0.019444444444444445
critical,rfly_35c95182ec361fe7409e,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_aea999bd429b87bf846d,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_66475002f04c31d2603b,HIL,NoFault,normal_reference,,0,0,False,0.020277777777777777,0.020277777777777777
critical,rfly_33cc5a2f9eb15b24e8c1,HIL,NoFault,normal_reference,,0,0,False,0.020277777777777777,0.020277777777777777
critical,rfly_bf4d2d4456500d96ef2f,HIL,NoFault,normal_reference,,0,0,False,0.020277777777777777,0.020277777777777777
critical,rfly_131f306cd7266c89234f,HIL,NoFault,normal_reference,,0,0,False,0.020277777777777777,0.020277777777777777
critical,rfly_61a296ff866180e48613,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_4bd189905bc3eca7e154,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_8740b19069a7fa67ade9,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_0a4aca20d158e19069ff,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_b441cb2fffb390132854,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_26c2339843b557d2c8d8,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_81be493ae780b45f93ea,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_8ddf4add9eecb2582bd0,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_c2363c7958dff10ce206,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_4366be4dcabf671dc860,HIL,NoFault,normal_reference,,0,0,False,0.019444444444444445,0.019444444444444445
critical,rfly_a3f37cb5c865cbef78a8,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_75a55c59c7f7a74ca180,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_f031926a965c8468a9fc,HIL,NoFault,normal_reference,,0,0,False,0.019444444444444445,0.019444444444444445
critical,rfly_88ae53523386ab2c7262,HIL,NoFault,normal_reference,,0,0,False,0.01972222222222222,0.01972222222222222
critical,rfly_2ca690e73f447b6305e9,HIL,NoFault,normal_reference,,0,0,False,0.020277777777777777,0.020277777777777777
critical,rfly_677a29971936797f0253,HIL,NoFault,normal_reference,,0,0,False,0.02,0.02
critical,rfly_e6de6d35a89a737bf626,HIL,NoFault,normal_reference,,1,1,False,0.012222222222222223,0.012222222222222223
critical,rfly_c06e704d08af90ca7213,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_2373fe019cc1d1fde3ec,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_baad02790167d337c9d1,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_3c36ade8decbe5ac239b,HIL,NoFault,normal_reference,,1,1,False,0.0125,0.0125
critical,rfly_1764ce459342b1098d44,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_a29d7601dc6c9614b116,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_3e75fe9b58e16fbbe595,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_de64d986012c6862db2f,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_d64e1b6c6d17877b7e76,HIL,NoFault,normal_reference,,0,0,False,0.011944444444444445,0.011944444444444445
critical,rfly_640cbe771236b4cb0dc3,HIL,NoFault,normal_reference,,1,1,False,0.012222222222222223,0.012222222222222223
critical,rfly_6393c8582fe29a5f3d17,HIL,NoFault,normal_reference,,0,0,False,0.011944444444444445,0.011944444444444445
critical,rfly_0dc4aeba0361440bf886,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_2d2209ed6248fa87e87e,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_9cd7c905251aa2d6466e,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_1cd8fcbfbcea4cf74ddf,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_cd5b3d504cd553c26eb2,HIL,NoFault,normal_reference,,0,0,False,0.012777777777777779,0.012777777777777779
critical,rfly_01227258036a2ceb77c0,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_2589281a63f6e5c29fdc,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_e48cc637ab1e397284d2,HIL,NoFault,normal_reference,,1,1,False,0.011944444444444445,0.011944444444444445
critical,rfly_a92d206ab69d47997c67,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_c0052c677cbea41224d0,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_45fc8e990943cac80165,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_a14290b2d834be605145,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_28a5a7f85a322dd3e6c7,HIL,NoFault,normal_reference,,1,1,False,0.0125,0.0125
critical,rfly_7bff231ea5f1431132fe,HIL,NoFault,normal_reference,,1,1,False,0.0125,0.0125
critical,rfly_417286acd52a223216a6,HIL,NoFault,normal_reference,,1,1,False,0.0125,0.0125
critical,rfly_b4756da38ae4a46033d6,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_66fc439db44447d01505,HIL,NoFault,normal_reference,,1,1,False,0.0125,0.0125
critical,rfly_50e1f00744367d308330,HIL,NoFault,normal_reference,,1,1,False,0.0125,0.0125
critical,rfly_e2216cd9109e6aa80c95,HIL,NoFault,normal_reference,,0,0,False,0.012777777777777779,0.012777777777777779
critical,rfly_1ac4a84e7ae3e45127b2,HIL,NoFault,normal_reference,,0,0,False,0.012777777777777779,0.012777777777777779
critical,rfly_5dfedd1a831c653b2672,HIL,NoFault,normal_reference,,1,1,False,0.011944444444444445,0.011944444444444445
critical,rfly_37bf2fb1398e21164bc6,HIL,NoFault,normal_reference,,1,1,False,0.012222222222222223,0.012222222222222223
critical,rfly_ddfb462e999000a82eca,HIL,NoFault,normal_reference,,1,1,False,0.012222222222222223,0.012222222222222223
critical,rfly_a519e2e2b042859bbe96,HIL,NoFault,normal_reference,,1,1,False,0.0125,0.0125
critical,rfly_54b29d39e521aeee7574,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_73b4158515d9b02fd9f3,HIL,NoFault,normal_reference,,0,0,False,0.0125,0.0125
critical,rfly_e09056ef8ab5a9fee5be,HIL,NoFault,normal_reference,,0,0,False,0.012222222222222223,0.012222222222222223
critical,rfly_a5351e38f45bca5e919a,HIL,NoFault,normal_reference,,0,0,True,0.016944444444444446,0.016944444444444446
critical,rfly_4cb02b7e1899e7c92042,HIL,NoFault,normal_reference,,0,0,True,0.017222222222222222,0.017222222222222222
