canonical_case_id,domain,fault_family,evaluation_role,detected,false_alarm_events,detection_delay_s,normal_exposure_s,policy
rfly_2f5da3d58126f0e93118,HIL,Load,fault_detection,False,0,,34,critical
rfly_cf6765dc0ff6f6781204,HIL,Load,fault_detection,False,0,,35,critical
rfly_c2cdbe59d780735adbe7,HIL,Load,fault_detection,False,0,,34,critical
rfly_382d2e851d9a273ccc7b,HIL,Load,fault_detection,False,0,,33,critical
rfly_49416f2ed3df1a6d3d6c,HIL,Load,fault_detection,False,0,,34,critical
rfly_29e509c5102a9016c5b4,HIL,Load,fault_detection,False,0,,35,critical
rfly_08b1e129f889b3ebcff0,HIL,Load,fault_detection,False,0,,34,critical
rfly_b176806fd31491f8611e,HIL,Load,fault_detection,False,0,,35,critical
rfly_c142764acb0e7be72afe,HIL,Load,fault_detection,False,0,,35,critical
rfly_1d5937a1d80ee7a495d6,HIL,Load,fault_detection,False,0,,34,critical
rfly_2e9e0598f796f6dbddce,HIL,Load,fault_detection,False,0,,35,critical
rfly_9b29eafaa9ffc2ad11aa,HIL,Load,fault_detection,False,0,,35,critical
rfly_c0511946280ed3ef27b1,HIL,Load,fault_detection,False,0,,35,critical
rfly_066a0bbd44dcbd9fa470,HIL,Load,fault_detection,False,0,,35,critical
rfly_5605681d7e199c148443,HIL,Load,fault_detection,False,0,,34,critical
rfly_e43c9e452232103e72b6,HIL,Load,fault_detection,False,0,,33,critical
rfly_87c3abc57890c0cf47ae,HIL,Load,fault_detection,False,0,,34,critical
rfly_728bd8436d20db926e0c,HIL,Load,fault_detection,False,0,,35,critical
rfly_1357963d1708d6534036,HIL,Load,fault_detection,False,0,,33,critical
rfly_c8dcea0b47c6028b2622,HIL,Load,fault_detection,False,0,,34,critical
rfly_e5efb78f6cee65f27b32,HIL,Load,fault_detection,False,0,,35,critical
rfly_1f201eb4047bc86f79ad,HIL,Load,fault_detection,False,0,,34,critical
rfly_f2377031b5aa3072c919,HIL,Load,fault_detection,False,0,,35,critical
rfly_ca106fd5289816aa21d2,HIL,Load,fault_detection,False,0,,34,critical
rfly_737aacfdebdb7259e683,HIL,Load,fault_detection,False,0,,33,critical
rfly_7356b2031e5f72ba2072,HIL,Load,fault_detection,False,0,,35,critical
rfly_73418d3e0294567ec05e,HIL,Load,fault_detection,False,0,,34,critical
rfly_f7bc0f5d5975a5be81a8,HIL,Load,fault_detection,False,0,,34,critical
rfly_7f701908500cfb3aeb69,HIL,Load,fault_detection,False,0,,34,critical
rfly_091ae62db491d1bef6c2,HIL,Load,fault_detection,False,0,,34,critical
rfly_786db893b3aa08a52a65,HIL,Load,fault_detection,False,0,,34,critical
rfly_2ebb5588c638e2be7906,HIL,Load,fault_detection,False,0,,35,critical
rfly_1bc54502ab1ad7826eb9,HIL,Load,fault_detection,False,0,,33,critical
rfly_56541edb9a173bcc02f9,HIL,Load,fault_detection,False,0,,34,critical
rfly_617e008eab58724ecbde,HIL,Load,fault_detection,False,0,,34,critical
rfly_210e42a02b2f4a35cfdc,HIL,Load,fault_detection,False,0,,33,critical
rfly_f02892d59d3fba0f2113,HIL,Load,fault_detection,False,0,,34,critical
