domain,fault_family,truth_source,flights
HIL,Environment,rfly_ctrl_lxl,443
HIL,Load,rfly_ctrl_lxl,291
HIL,Motor,rfly_ctrl_lxl,921
HIL,NoFault,normal_no_fault,240
HIL,Propeller,rfly_ctrl_lxl,435
HIL,Sensor,rfly_ctrl_lxl,690
HIL,Voltage,rfly_ctrl_lxl,36
Real,Motor,missing,5
Real,Motor,rfly_ctrl_lxl,240
Real,NoFault,normal_no_fault,51
Real,Sensor,rfly_ctrl_lxl,197
SIL,Environment,rfly_ctrl_lxl,443
SIL,Load,rfly_ctrl_lxl,291
SIL,Motor,rfly_ctrl_lxl,921
SIL,NoFault,normal_no_fault,240
SIL,Propeller,rfly_ctrl_lxl,435
SIL,Sensor,rfly_ctrl_lxl,690
SIL,Voltage,rfly_ctrl_lxl,36
