domain,fault_family,truth_source,flights
HIL,Environment,rfly_ctrl_lxl,359
HIL,Load,rfly_ctrl_lxl,237
HIL,Motor,rfly_ctrl_lxl,744
HIL,NoFault,normal_no_fault,200
HIL,Propeller,rfly_ctrl_lxl,387
HIL,Sensor,rfly_ctrl_lxl,552
HIL,Voltage,rfly_ctrl_lxl,30
Real,Motor,missing,5
Real,Motor,rfly_ctrl_lxl,191
Real,NoFault,normal_no_fault,41
Real,Sensor,rfly_ctrl_lxl,158
SIL,Environment,rfly_ctrl_lxl,359
SIL,Load,rfly_ctrl_lxl,237
SIL,Motor,rfly_ctrl_lxl,744
SIL,NoFault,normal_no_fault,200
SIL,Propeller,rfly_ctrl_lxl,354
SIL,Sensor,rfly_ctrl_lxl,552
SIL,Voltage,rfly_ctrl_lxl,30
