split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,threshold,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,existing_fusion,k_of_n,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,existing_fusion,cusum,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,existing_fusion,threshold,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,existing_fusion,k_of_n,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,existing_fusion,cusum,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,ml9_fusion,threshold,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,ml9_fusion,k_of_n,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,ml9_fusion,cusum,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,ml9_fusion,threshold,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,ml9_fusion,k_of_n,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,ml9_fusion,cusum,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,itki_komutu,threshold,critical,696,21,0.03017241379310345,178,40.267520285277776,4.420436091891128,56.178244714285725,90.99796
split_00,0,itki_komutu,k_of_n,critical,696,15,0.021551724137931036,122,40.267520285277776,3.029737096689425,47.62489479999999,91.99853400000003
split_00,0,itki_komutu,cusum,critical,696,11,0.015804597701149427,439,40.267520285277776,10.902086765956208,34.72346336363636,91.981113
split_00,0,itki_komutu,threshold,advisory,696,44,0.06321839080459771,790,40.267520285277776,19.618789396595453,42.3913851590909,92.99668399999996
split_00,0,itki_komutu,k_of_n,advisory,696,15,0.021551724137931036,122,40.267520285277776,3.029737096689425,47.62489479999999,91.99853400000003
split_00,0,itki_komutu,cusum,advisory,696,122,0.1752873563218391,1251,40.267520285277776,31.067222196380904,30.251992327868845,161.05168500000005
split_00,0,rfly0_fusion,threshold,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,rfly0_fusion,k_of_n,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,rfly0_fusion,cusum,critical,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,rfly0_fusion,threshold,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,rfly0_fusion,k_of_n,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_00,0,rfly0_fusion,cusum,advisory,696,0,0.0,0,40.267520285277776,0.0,,
split_01,1,existing_fusion,threshold,critical,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,existing_fusion,k_of_n,critical,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,existing_fusion,cusum,critical,696,2,0.0028735632183908046,18,39.92820428638889,0.45080915412306716,68.9873575,91.01470699999999
split_01,1,existing_fusion,threshold,advisory,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,existing_fusion,k_of_n,advisory,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,existing_fusion,cusum,advisory,696,18,0.02586206896551724,372,39.92820428638889,9.316722518543388,18.140681222222224,59.038973000000006
split_01,1,ml9_fusion,threshold,critical,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,ml9_fusion,k_of_n,critical,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,ml9_fusion,cusum,critical,696,2,0.0028735632183908046,32,39.92820428638889,0.801438496218786,70.00481399999997,92.02689899999999
split_01,1,ml9_fusion,threshold,advisory,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,ml9_fusion,k_of_n,advisory,696,0,0.0,0,39.92820428638889,0.0,,
split_01,1,ml9_fusion,cusum,advisory,696,32,0.04597701149425287,425,39.92820428638889,10.644105027905752,19.9280220625,83.95025700000001
split_01,1,itki_komutu,threshold,critical,696,21,0.03017241379310345,211,39.92820428638889,5.284485084442621,56.178244714285725,90.99796
split_01,1,itki_komutu,k_of_n,critical,696,17,0.02442528735632184,251,39.92820428638889,6.286283204716103,44.68323800000001,91.99853400000003
split_01,1,itki_komutu,cusum,critical,696,16,0.022988505747126436,365,39.92820428638889,9.141407847495529,29.623934874999986,95.894361
split_01,1,itki_komutu,threshold,advisory,696,54,0.07758620689655173,1065,39.92820428638889,26.672874952281475,36.63058292592592,92.99668399999996
