split,seed,architecture,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,0,1.4421181852777778,0.0,24.99839300000002,24.99839300000002
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,external_position_anomaly,185,79,0.42702702702702705,89,2.7663557002777774,32.17229078352551,6.461769291139242,53.089595
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,global_position_anomaly,51,8,0.1568627450980392,32,0.6878973927777778,46.5185656116267,2.3972537500000026,7.019540000000006
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,mechanical_fault,43,1,0.023255813953488372,6,1.299568493888889,4.616917098417277,3.9689970000000017,3.9689970000000017
split_00,0,dense_ae,dense_ae_relerr,threshold,critical,normal,0,0,,100,27.959377571111112,3.576617531833917,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,altitude_anomaly,114,0,0.0,1,1.4421181852777778,0.6934244434393441,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,external_position_anomaly,185,63,0.34054054054054056,80,2.7663557002777774,28.918913063843156,7.842026523809525,55.094088
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,global_position_anomaly,51,6,0.11764705882352941,31,0.6878973927777778,45.064860436263366,4.5312523333333345,8.948671999999988
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,mechanical_fault,43,0,0.0,6,1.299568493888889,4.616917098417277,,
split_00,0,dense_ae,dense_ae_relerr,k_of_n,critical,normal,0,0,,71,27.959377571111112,2.539398447602081,,
split_00,0,dense_ae,dense_ae_relerr,cusum,critical,altitude_anomaly,114,0,0.0,1,1.4421181852777778,0.6934244434393441,,
split_00,0,dense_ae,dense_ae_relerr,cusum,critical,external_position_anomaly,185,34,0.1837837837837838,25,2.7663557002777774,9.037160332450986,25.843766941176472,73.130816
