split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm,lstm_relerr,threshold,critical,Actuator Controls,17,0,0.0,0,0.5114270366666666,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,Actuator Outputs+Controls,42,0,0.0,0,1.2128293091666666,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,Position.X,145,0,0.0,0,2.3575775725,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,Position.Y,96,0,0.0,0,1.713746643611111,0.0,,
split_00,0,lstm,lstm_relerr,threshold,critical,Position.Z,121,0,0.0,2,1.5845958772222224,1.2621514600340726,,
split_00,0,lstm,lstm_relerr,threshold,critical,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Actuator Controls,17,0,0.0,0,0.5114270366666666,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Actuator Outputs+Controls,42,0,0.0,0,1.2128293091666666,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Position.X,145,0,0.0,0,2.3575775725,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Position.Y,96,0,0.0,0,1.713746643611111,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Position.Z,121,0,0.0,1,1.5845958772222224,0.6310757300170363,,
split_00,0,lstm,lstm_relerr,k_of_n,critical,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,lstm,lstm_relerr,cusum,critical,Actuator Controls,17,0,0.0,3,0.5114270366666666,5.86593939098944,,
split_00,0,lstm,lstm_relerr,cusum,critical,Actuator Outputs,25,0,0.0,2,0.7446180683333333,2.6859407326450833,,
split_00,0,lstm,lstm_relerr,cusum,critical,Actuator Outputs+Controls,42,0,0.0,4,1.2128293091666666,3.298073331315183,,
split_00,0,lstm,lstm_relerr,cusum,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_relerr,cusum,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,lstm,lstm_relerr,cusum,critical,Position.X,145,4,0.027586206896551724,27,2.3575775725,11.452433342996608,66.25617925,111.07419599999997
split_00,0,lstm,lstm_relerr,cusum,critical,Position.Y,96,18,0.1875,27,1.713746643611111,15.75495426973214,31.5261253888889,63.96990200000005
split_00,0,lstm,lstm_relerr,cusum,critical,Position.Z,121,1,0.008264462809917356,6,1.5845958772222224,3.7864543801022177,18.013705999999985,18.013705999999985
split_00,0,lstm,lstm_relerr,cusum,critical,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,lstm,lstm_relerr,threshold,advisory,Actuator Controls,17,0,0.0,1,0.5114270366666666,1.9553131303298132,,
split_00,0,lstm,lstm_relerr,threshold,advisory,Actuator Outputs,25,0,0.0,1,0.7446180683333333,1.3429703663225416,,
split_00,0,lstm,lstm_relerr,threshold,advisory,Actuator Outputs+Controls,42,0,0.0,2,1.2128293091666666,1.6490366656575914,,
split_00,0,lstm,lstm_relerr,threshold,advisory,Actuator Thrust,2,0,0.0,1,0.06510427361111108,15.359974768681454,,
split_00,0,lstm,lstm_relerr,threshold,advisory,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,lstm,lstm_relerr,threshold,advisory,Position.X,145,2,0.013793103448275862,3,2.3575775725,1.2724925936662896,65.94511800000001,71.986897
split_00,0,lstm,lstm_relerr,threshold,advisory,Position.Y,96,1,0.010416666666666666,4,1.713746643611111,2.3340672992195763,23.05758400000002,23.05758400000002
split_00,0,lstm,lstm_relerr,threshold,advisory,Position.Z,121,2,0.01652892561983471,10,1.5845958772222224,6.310757300170363,1.5245179999999934,2.0330589999999944
split_00,0,lstm,lstm_relerr,threshold,advisory,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Actuator Controls,17,0,0.0,20,0.5114270366666666,39.10626260659627,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Actuator Outputs,25,0,0.0,4,0.7446180683333333,5.3718814652901665,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Actuator Outputs+Controls,42,0,0.0,22,1.2128293091666666,18.139403322233505,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Battery,2,0,0.0,3,0.06345890611111113,47.27468820132601,,
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Position.X,145,11,0.07586206896551724,93,2.3575775725,39.44727040365498,19.532748636363632,51.96623799999999
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Position.Y,96,25,0.2604166666666667,74,1.713746643611111,43.180245035562166,11.210114960000004,37.04308399999991
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Position.Z,121,6,0.049586776859504134,32,1.5845958772222224,20.194423360545162,6.351735833333336,14.029619999999994
split_00,0,lstm,lstm_relerr,k_of_n,advisory,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,lstm,lstm_relerr,cusum,advisory,Actuator Controls,17,1,0.058823529411764705,17,0.5114270366666666,33.24032321560683,2.028726000000006,2.028726000000006
split_00,0,lstm,lstm_relerr,cusum,advisory,Actuator Outputs,25,1,0.04,12,0.7446180683333333,16.1156443958705,1.020891000000006,1.020891000000006
split_00,0,lstm,lstm_relerr,cusum,advisory,Actuator Outputs+Controls,42,2,0.047619047619047616,25,1.2128293091666666,20.61295832071989,1.524808500000006,2.028726000000006
split_00,0,lstm,lstm_relerr,cusum,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_relerr,cusum,advisory,Battery,2,0,0.0,3,0.06345890611111113,47.27468820132601,,
split_00,0,lstm,lstm_relerr,cusum,advisory,Position.X,145,35,0.2413793103448276,79,2.3575775725,33.5089716332123,14.886395485714287,51.998351000000014
split_00,0,lstm,lstm_relerr,cusum,advisory,Position.Y,96,35,0.3645833333333333,95,1.713746643611111,55.43409835646494,11.821218171428571,32.00969699999999
split_00,0,lstm,lstm_relerr,cusum,advisory,Position.Z,121,13,0.10743801652892562,40,1.5845958772222224,25.243029200681452,10.395336692307692,35.07483500000001
split_00,0,lstm,lstm_relerr,cusum,advisory,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,lstm,lstm_rankpct,threshold,critical,Actuator Controls,17,1,0.058823529411764705,0,0.5114270366666666,0.0,4.069555000000037,4.069555000000037
split_00,0,lstm,lstm_rankpct,threshold,critical,Actuator Outputs,25,1,0.04,5,0.7446180683333333,6.714851831612708,38.040696999999966,38.040696999999966
split_00,0,lstm,lstm_rankpct,threshold,critical,Actuator Outputs+Controls,42,2,0.047619047619047616,5,1.2128293091666666,4.122591664143979,21.055126,38.040696999999966
split_00,0,lstm,lstm_rankpct,threshold,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,lstm,lstm_rankpct,threshold,critical,Battery,2,0,0.0,2,0.06345890611111113,31.516458800884003,,
split_00,0,lstm,lstm_rankpct,threshold,critical,Position.X,145,54,0.3724137931034483,148,2.3575775725,62.77630128753696,6.6992453333333355,41.060598
split_00,0,lstm,lstm_rankpct,threshold,critical,Position.Y,96,18,0.1875,93,1.713746643611111,54.26706470685515,4.997593444444443,15.995848999999993
split_00,0,lstm,lstm_rankpct,threshold,critical,Position.Z,121,3,0.024793388429752067,30,1.5845958772222224,18.93227190051109,5.628793666666657,13.933675999999991
split_00,0,lstm,lstm_rankpct,threshold,critical,Velocity,2,1,0.5,0,0.0036470161111110933,0.0,9.03744299999994,9.03744299999994
split_00,0,lstm,lstm_rankpct,k_of_n,critical,Actuator Controls,17,0,0.0,3,0.5114270366666666,5.86593939098944,,
split_00,0,lstm,lstm_rankpct,k_of_n,critical,Actuator Outputs,25,2,0.08,7,0.7446180683333333,9.400792564257792,28.996115499999974,38.040696999999966
split_00,0,lstm,lstm_rankpct,k_of_n,critical,Actuator Outputs+Controls,42,2,0.047619047619047616,9,1.2128293091666666,7.420664995459161,28.996115499999974,38.040696999999966
split_00,0,lstm,lstm_rankpct,k_of_n,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
