split,seed,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae_recon,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,24.99839300000002,24.99839300000002
split_00,0,dense_ae_recon,threshold,critical,external_position_anomaly,185,70,0.3783783783783784,24,2.7663557002777774,8.675673919152947,7.17706435714286,61.07983399999999
split_00,0,dense_ae_recon,threshold,critical,global_position_anomaly,51,6,0.11764705882352941,1,0.6878973927777778,1.4537051753633343,4.83870983333333,12.94029599999999
split_00,0,dense_ae_recon,threshold,critical,mechanical_fault,43,1,0.023255813953488372,7,1.299568493888889,5.386403281486823,3.9689970000000017,3.9689970000000017
split_00,0,dense_ae_recon,threshold,critical,normal,0,0,,19,27.959377571111112,0.6795573310484442,,
split_00,0,dense_ae_recon,k_of_n,critical,altitude_anomaly,114,0,0.0,2,1.4421181852777778,1.3868488868786881,,
split_00,0,dense_ae_recon,k_of_n,critical,external_position_anomaly,185,46,0.24864864864864866,46,2.7663557002777774,16.628375011709814,9.356742369565222,63.105069
split_00,0,dense_ae_recon,k_of_n,critical,global_position_anomaly,51,5,0.09803921568627451,2,0.6878973927777778,2.9074103507266686,5.823398200000023,14.959031000000095
split_00,0,dense_ae_recon,k_of_n,critical,mechanical_fault,43,0,0.0,7,1.299568493888889,5.386403281486823,,
split_00,0,dense_ae_recon,k_of_n,critical,normal,0,0,,17,27.959377571111112,0.6080249804117659,,
split_00,0,dense_ae_recon,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae_recon,cusum,critical,external_position_anomaly,185,7,0.03783783783783784,14,2.7663557002777774,5.060809786172553,45.74741042857145,98.122268
split_00,0,dense_ae_recon,cusum,critical,global_position_anomaly,51,5,0.09803921568627451,4,0.6878973927777778,5.814820701453337,52.9354746,73.88546399999996
split_00,0,dense_ae_recon,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,dense_ae_recon,cusum,critical,normal,0,0,,6,27.959377571111112,0.214597051910035,,
split_00,0,dense_ae_recon,threshold,advisory,altitude_anomaly,114,21,0.18421052631578946,57,1.4421181852777778,39.525193276042614,5.187158904761903,29.01369599999998
split_00,0,dense_ae_recon,threshold,advisory,external_position_anomaly,185,80,0.43243243243243246,225,2.7663557002777774,81.33444299205888,4.094507875,33.531859999999995
split_00,0,dense_ae_recon,threshold,advisory,global_position_anomaly,51,13,0.2549019607843137,41,0.6878973927777778,59.60191218989671,4.454648384615384,11.911060000000006
split_00,0,dense_ae_recon,threshold,advisory,mechanical_fault,43,14,0.32558139534883723,41,1.299568493888889,31.548933505851394,9.559769214285712,34.99124499999999
split_00,0,dense_ae_recon,threshold,advisory,normal,0,0,,628,27.959377571111112,22.461158099916997,,
split_00,0,dense_ae_recon,k_of_n,advisory,altitude_anomaly,114,21,0.18421052631578946,60,1.4421181852777778,41.60546660636064,6.184461714285706,31.045530999999983
split_00,0,dense_ae_recon,k_of_n,advisory,external_position_anomaly,185,73,0.3945945945945946,183,2.7663557002777774,66.15201363354122,5.815598835616434,52.07152400000001
split_00,0,dense_ae_recon,k_of_n,advisory,global_position_anomaly,51,9,0.17647058823529413,36,0.6878973927777778,52.333386313080034,6.904785999999997,16.968756999999982
split_00,0,dense_ae_recon,k_of_n,advisory,mechanical_fault,43,5,0.11627906976744186,44,1.299568493888889,33.85739205506003,16.7795588,36.00812000000002
split_00,0,dense_ae_recon,k_of_n,advisory,normal,0,0,,567,27.959377571111112,20.279421405498308,,
split_00,0,dense_ae_recon,cusum,advisory,altitude_anomaly,114,3,0.02631578947368421,14,1.4421181852777778,9.707942208150817,13.64938000000002,31.91303300000004
split_00,0,dense_ae_recon,cusum,advisory,external_position_anomaly,185,53,0.2864864864864865,100,2.7663557002777774,36.148641329803944,18.753435452830185,67.03474600000001
split_00,0,dense_ae_recon,cusum,advisory,global_position_anomaly,51,17,0.3333333333333333,26,0.6878973927777778,37.79633455944669,14.80548452941177,58.916042000000004
split_00,0,dense_ae_recon,cusum,advisory,mechanical_fault,43,0,0.0,11,1.299568493888889,8.464348013765008,,
split_00,0,dense_ae_recon,cusum,advisory,normal,0,0,,154,27.959377571111112,5.507990999024232,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,dense_ae_ml14_fusion,k_of_n,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,dense_ae_ml14_fusion,cusum,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,dense_ae_ml14_fusion,threshold,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
