split,seed,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm_recon,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,24.99839300000002,24.99839300000002
split_00,0,lstm_recon,threshold,critical,external_position_anomaly,185,70,0.3783783783783784,24,2.7663557002777774,8.675673919152947,7.191533157142859,61.07983399999999
split_00,0,lstm_recon,threshold,critical,global_position_anomaly,51,6,0.11764705882352941,1,0.6878973927777778,1.4537051753633343,4.83870983333333,12.94029599999999
split_00,0,lstm_recon,threshold,critical,mechanical_fault,43,1,0.023255813953488372,7,1.299568493888889,5.386403281486823,3.9689970000000017,3.9689970000000017
split_00,0,lstm_recon,threshold,critical,normal,0,0,,19,27.959377571111112,0.6795573310484442,,
split_00,0,lstm_recon,k_of_n,critical,altitude_anomaly,114,0,0.0,2,1.4421181852777778,1.3868488868786881,,
split_00,0,lstm_recon,k_of_n,critical,external_position_anomaly,185,46,0.24864864864864866,45,2.7663557002777774,16.266888598411775,9.389434500000004,63.105069
split_00,0,lstm_recon,k_of_n,critical,global_position_anomaly,51,5,0.09803921568627451,2,0.6878973927777778,2.9074103507266686,5.823398200000023,14.959031000000095
split_00,0,lstm_recon,k_of_n,critical,mechanical_fault,43,0,0.0,7,1.299568493888889,5.386403281486823,,
split_00,0,lstm_recon,k_of_n,critical,normal,0,0,,17,27.959377571111112,0.6080249804117659,,
split_00,0,lstm_recon,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_recon,cusum,critical,external_position_anomaly,185,7,0.03783783783783784,14,2.7663557002777774,5.060809786172553,45.8644372857143,98.92748199999998
split_00,0,lstm_recon,cusum,critical,global_position_anomaly,51,5,0.09803921568627451,4,0.6878973927777778,5.814820701453337,55.96872399999999,76.91920499999992
split_00,0,lstm_recon,cusum,critical,mechanical_fault,43,0,0.0,4,1.299568493888889,3.0779447322781848,,
split_00,0,lstm_recon,cusum,critical,normal,0,0,,7,27.959377571111112,0.2503632272283742,,
split_00,0,lstm_recon,threshold,advisory,altitude_anomaly,114,21,0.18421052631578946,57,1.4421181852777778,39.525193276042614,4.993530476190476,29.01369599999998
split_00,0,lstm_recon,threshold,advisory,external_position_anomaly,185,80,0.43243243243243246,233,2.7663557002777774,84.22633429844319,4.299528087499999,33.531859999999995
split_00,0,lstm_recon,threshold,advisory,global_position_anomaly,51,11,0.21568627450980393,37,0.6878973927777778,53.78709148844337,4.636996272727267,11.911060000000006
split_00,0,lstm_recon,threshold,advisory,mechanical_fault,43,13,0.3023255813953488,38,1.299568493888889,29.240474956642753,10.068414076923075,33.97825399999999
split_00,0,lstm_recon,threshold,advisory,normal,0,0,,652,27.959377571111112,23.31954630755714,,
split_00,0,lstm_recon,k_of_n,advisory,altitude_anomaly,114,20,0.17543859649122806,63,1.4421181852777778,43.68573993667868,6.34641294999999,31.045530999999983
split_00,0,lstm_recon,k_of_n,advisory,external_position_anomaly,185,74,0.4,196,2.7663557002777774,70.85133700641573,5.947160743243239,52.07152400000001
split_00,0,lstm_recon,k_of_n,advisory,global_position_anomaly,51,8,0.1568627450980392,37,0.6878973927777778,53.78709148844337,5.773845750000001,12.006472000000002
split_00,0,lstm_recon,k_of_n,advisory,mechanical_fault,43,5,0.11627906976744186,46,1.299568493888889,35.396364421199124,16.7795588,36.00812000000002
split_00,0,lstm_recon,k_of_n,advisory,normal,0,0,,595,27.959377571111112,21.280874314411804,,
split_00,0,lstm_recon,cusum,advisory,altitude_anomaly,114,5,0.043859649122807015,14,1.4421181852777778,9.707942208150817,34.39872139999999,122.00000699999998
split_00,0,lstm_recon,cusum,advisory,external_position_anomaly,185,54,0.2918918918918919,100,2.7663557002777774,36.148641329803944,18.944671055555553,64.997612
split_00,0,lstm_recon,cusum,advisory,global_position_anomaly,51,21,0.4117647058823529,20,0.6878973927777778,29.074103507266685,12.800681619047623,61.95455000000004
split_00,0,lstm_recon,cusum,advisory,mechanical_fault,43,1,0.023255813953488372,12,1.299568493888889,9.233834196834554,18.00840699999992,18.00840699999992
split_00,0,lstm_recon,cusum,advisory,normal,0,0,,160,27.959377571111112,5.722588050934267,,
split_00,0,lstm_ml14_fusion,threshold,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,threshold,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,altitude_anomaly,114,0,0.0,0,1.4421181852777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,external_position_anomaly,185,0,0.0,0,2.7663557002777774,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,global_position_anomaly,51,0,0.0,0,0.6878973927777778,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,mechanical_fault,43,0,0.0,0,1.299568493888889,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,normal,0,0,,0,27.959377571111112,0.0,,
split_00,0,lstm_ml14_fusion,cusum,advisory,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,125.030001,125.030001
