split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,lstm_recon,threshold,critical,393,78,0.1984732824427481,52,34.15531734333333,1.5224569421296774,7.197525256410259,61.07983399999999
split_00,0,lstm_recon,k_of_n,critical,393,51,0.1297709923664122,73,34.15531734333333,2.137295322605124,9.03982309803922,63.105069
split_00,0,lstm_recon,cusum,critical,393,12,0.030534351145038167,29,34.15531734333333,0.8490625254184739,50.07455675,98.92748199999998
split_00,0,lstm_recon,threshold,advisory,393,125,0.31806615776081426,1017,34.15531734333333,29.775744425882344,5.0457818319999985,33.97825399999999
split_00,0,lstm_recon,k_of_n,advisory,393,107,0.272264631043257,937,34.15531734333333,27.433502976452072,6.515016018691584,52.07152400000001
split_00,0,lstm_recon,cusum,advisory,393,81,0.20610687022900764,306,34.15531734333333,8.959073544070794,18.29417981481481,122.00000699999998
split_00,0,lstm_ml14_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_ml14_fusion,cusum,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_ml14_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_ml14_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_ml14_fusion,cusum,advisory,393,2,0.005089058524173028,110,34.15531734333333,3.2205819929666255,84.99534299999999,125.030001
split_00,0,lstm_itki_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_itki_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_itki_fusion,cusum,critical,393,5,0.01272264631043257,36,34.15531734333333,1.054008652243623,31.81245560000002,63.089397999999996
split_00,0,lstm_itki_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_itki_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,lstm_itki_fusion,cusum,advisory,393,72,0.183206106870229,980,34.15531734333333,28.692457755520845,16.73174351388889,85.14009300000004
split_01,1,lstm_recon,threshold,critical,393,99,0.25190839694656486,204,33.828754295833335,6.030372806991789,3.9962720202020194,30.054137999999995
split_01,1,lstm_recon,k_of_n,critical,393,88,0.22391857506361323,213,33.828754295833335,6.296418666123779,5.288147340909088,32.057963
split_01,1,lstm_recon,cusum,critical,393,51,0.1297709923664122,179,33.828754295833335,5.291356531625148,29.777380607843135,138.96688199999997
split_01,1,lstm_recon,threshold,advisory,393,91,0.23155216284987276,718,33.828754295833335,21.224547428529924,5.39050482417582,40.989284999999995
split_01,1,lstm_recon,k_of_n,advisory,393,63,0.16030534351145037,637,33.828754295833335,18.830134696342007,5.659865603174598,32.057963
split_01,1,lstm_recon,cusum,advisory,393,122,0.3104325699745547,867,33.828754295833335,25.629084429715103,12.001244672131149,52.07563300000001
split_01,1,lstm_ml14_fusion,threshold,critical,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,lstm_ml14_fusion,k_of_n,critical,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,lstm_ml14_fusion,cusum,critical,393,32,0.08142493638676845,30,33.828754295833335,0.886819530439969,28.659295812499995,84.15207199999999
split_01,1,lstm_ml14_fusion,threshold,advisory,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,lstm_ml14_fusion,k_of_n,advisory,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,lstm_ml14_fusion,cusum,advisory,393,58,0.1475826972010178,376,33.828754295833335,11.114804781514277,18.89158696551724,50.99932000000001
split_01,1,lstm_itki_fusion,threshold,critical,393,10,0.02544529262086514,170,33.828754295833335,5.025310672493157,6.717743099999984,22.96894999999995
split_01,1,lstm_itki_fusion,k_of_n,critical,393,83,0.21119592875318066,95,33.828754295833335,2.808261846393235,6.768073216867469,32.057963
split_01,1,lstm_itki_fusion,cusum,critical,393,47,0.11959287531806616,232,33.828754295833335,6.858071035402427,27.340651106382982,76.137128
split_01,1,lstm_itki_fusion,threshold,advisory,393,10,0.02544529262086514,170,33.828754295833335,5.025310672493157,6.717743099999984,22.96894999999995
split_01,1,lstm_itki_fusion,k_of_n,advisory,393,93,0.2366412213740458,650,33.828754295833335,19.21442315953266,5.081641408602149,34.552909
split_01,1,lstm_itki_fusion,cusum,advisory,393,124,0.3155216284987277,1242,33.828754295833335,36.71432856021472,10.628342137096773,41.97447600000004
split_02,2,lstm_recon,threshold,critical,393,89,0.22646310432569974,73,34.3213765025,2.126954319407399,5.245744606741573,30.054137999999995
split_02,2,lstm_recon,k_of_n,critical,393,84,0.21374045801526717,72,34.3213765025,2.097817958867572,6.544019654761901,32.057963
split_02,2,lstm_recon,cusum,critical,393,29,0.0737913486005089,39,34.3213765025,1.1363180610532682,42.27418393103449,77.139898
split_02,2,lstm_recon,threshold,advisory,393,95,0.24173027989821882,223,34.3213765025,6.497408400381508,3.978537578947369,36.947213000000005
split_02,2,lstm_recon,k_of_n,advisory,393,89,0.22646310432569974,222,34.3213765025,6.46827203984168,5.3917446741573,37.96314100000001
split_02,2,lstm_recon,cusum,advisory,393,103,0.26208651399491095,433,34.3213765025,12.616044113745259,14.234395728155341,54.047971000000075
split_02,2,lstm_ml14_fusion,threshold,critical,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,lstm_ml14_fusion,k_of_n,critical,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,lstm_ml14_fusion,cusum,critical,393,4,0.010178117048346057,33,34.3213765025,0.9614998978143038,59.31216175,81.08909399999999
split_02,2,lstm_ml14_fusion,threshold,advisory,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,lstm_ml14_fusion,k_of_n,advisory,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,lstm_ml14_fusion,cusum,advisory,393,30,0.07633587786259542,412,34.3213765025,12.004180542408884,22.0251224,101.96455300000001
split_02,2,lstm_itki_fusion,threshold,critical,393,52,0.13231552162849872,70,34.3213765025,2.0395452377879173,3.6249053461538456,20.02945299999999
split_02,2,lstm_itki_fusion,k_of_n,critical,393,86,0.21882951653944022,63,34.3213765025,1.8355907140091254,7.491943383720933,63.105069
split_02,2,lstm_itki_fusion,cusum,critical,393,39,0.09923664122137404,65,34.3213765025,1.8938634350887802,31.200445820512822,75.84229099999993
split_02,2,lstm_itki_fusion,threshold,advisory,393,124,0.3155216284987277,596,34.3213765025,17.365270881737125,7.33215879032258,72.03985499999999
split_02,2,lstm_itki_fusion,k_of_n,advisory,393,120,0.3053435114503817,499,34.3213765025,14.539043909373866,6.877027691666665,63.11327699999999
split_02,2,lstm_itki_fusion,cusum,advisory,393,112,0.28498727735368956,376,34.3213765025,10.955271562975097,12.724826187500001,57.90885800000001
split_03,3,lstm_recon,threshold,critical,393,74,0.18829516539440203,49,34.67820707944444,1.412991158618602,8.810985662162164,72.03985499999999
split_03,3,lstm_recon,k_of_n,critical,393,63,0.16030534351145037,59,34.67820707944444,1.7013567011938266,9.90546893650794,73.052086
split_03,3,lstm_recon,cusum,critical,393,9,0.022900763358778626,29,34.67820707944444,0.8362600734681521,44.98357077777777,120.01672899999994
split_03,3,lstm_recon,threshold,advisory,393,92,0.2340966921119593,382,34.67820707944444,11.015563726373589,5.0058903695652175,37.96314100000001
split_03,3,lstm_recon,k_of_n,advisory,393,77,0.19592875318066158,381,34.67820707944444,10.986727172116067,5.58649574025974,38.979185
split_03,3,lstm_recon,cusum,advisory,393,65,0.16539440203562342,193,34.67820707944444,5.56545497170184,18.491563830769227,64.961269
split_03,3,lstm_ml14_fusion,threshold,critical,393,0,0.0,0,34.67820707944444,0.0,,
split_03,3,lstm_ml14_fusion,k_of_n,critical,393,0,0.0,0,34.67820707944444,0.0,,
split_03,3,lstm_ml14_fusion,cusum,critical,393,32,0.08142493638676845,64,34.67820707944444,1.8455394724814391,30.044622906249998,66.98476200000003
split_03,3,lstm_ml14_fusion,threshold,advisory,393,0,0.0,0,34.67820707944444,0.0,,
split_03,3,lstm_ml14_fusion,k_of_n,advisory,393,112,0.28498727735368956,398,34.67820707944444,11.47694859449395,8.083337169642858,56.88243499999999
split_03,3,lstm_ml14_fusion,cusum,advisory,393,111,0.2824427480916031,293,34.67820707944444,8.449110397454088,10.275887945945945,64.89581400000009
split_03,3,lstm_itki_fusion,threshold,critical,393,75,0.19083969465648856,272,34.67820707944444,7.843542758046116,9.543574866666669,72.03985499999999
split_03,3,lstm_itki_fusion,k_of_n,critical,393,65,0.16539440203562342,117,34.67820707944444,3.3738768481301307,11.080420461538468,73.052086
split_03,3,lstm_itki_fusion,cusum,critical,393,13,0.03307888040712468,79,34.67820707944444,2.2780877863442766,30.860360461538466,86.97979299999999
split_03,3,lstm_itki_fusion,threshold,advisory,393,110,0.27989821882951654,726,34.67820707944444,20.935338390961324,8.287551018181817,72.03985499999999
split_03,3,lstm_itki_fusion,k_of_n,advisory,393,85,0.21628498727735368,437,34.67820707944444,12.601574210537326,9.813351023529412,74.06482
