split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,usad_score,threshold,critical,393,78,0.1984732824427481,52,34.15531734333333,1.5224569421296774,7.197525256410259,61.07983399999999
split_00,0,usad_score,k_of_n,critical,393,65,0.16539440203562342,63,34.15531734333333,1.8445151414263399,8.077769138461546,62.092578999999986
split_00,0,usad_score,cusum,critical,393,12,0.030534351145038167,27,34.15531734333333,0.7905064891827172,49.82146916666668,98.92748199999998
split_00,0,usad_score,threshold,advisory,393,127,0.3231552162849873,1047,34.15531734333333,30.654084969418697,4.8703751732283465,33.97825399999999
split_00,0,usad_score,k_of_n,advisory,393,112,0.28498727735368956,956,34.15531734333333,27.989785320691762,6.183236071428567,52.07152400000001
split_00,0,usad_score,cusum,advisory,393,76,0.19338422391857507,311,34.15531734333333,9.105463634660186,17.66557378947368,64.997612
split_00,0,usad_ml14_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,cusum,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_ml14_fusion,cusum,advisory,393,2,0.005089058524173028,110,34.15531734333333,3.2205819929666255,84.99534299999999,125.030001
split_00,0,usad_itki_fusion,threshold,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,k_of_n,critical,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,cusum,critical,393,5,0.01272264631043257,36,34.15531734333333,1.054008652243623,31.81245560000002,63.089397999999996
split_00,0,usad_itki_fusion,threshold,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,k_of_n,advisory,393,0,0.0,0,34.15531734333333,0.0,,
split_00,0,usad_itki_fusion,cusum,advisory,393,73,0.18575063613231552,976,34.15531734333333,28.57534568304933,16.4337637260274,85.14009300000004
split_01,1,usad_score,threshold,critical,393,95,0.24173027989821882,192,33.828754295833335,5.675644994815801,4.092756589473684,30.054137999999995
split_01,1,usad_score,k_of_n,critical,393,83,0.21119592875318066,208,33.828754295833335,6.148615411050451,5.343529433734936,32.057963
split_01,1,usad_score,cusum,critical,393,51,0.1297709923664122,141,33.828754295833335,4.168051793067854,28.37759466666666,79.143209
split_01,1,usad_score,threshold,advisory,393,77,0.19592875318066158,745,33.828754295833335,22.022685005925894,3.87700201298701,30.054137999999995
split_01,1,usad_score,k_of_n,advisory,393,68,0.17302798982188294,676,33.828754295833335,19.983000085913968,5.993410999999996,34.984804000000025
split_01,1,usad_score,cusum,advisory,393,115,0.2926208651399491,741,33.828754295833335,21.904442401867232,12.594652443478257,57.90885800000001
split_01,1,usad_ml14_fusion,threshold,critical,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,usad_ml14_fusion,k_of_n,critical,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,usad_ml14_fusion,cusum,critical,393,32,0.08142493638676845,30,33.828754295833335,0.886819530439969,28.659295812499995,84.15207199999999
split_01,1,usad_ml14_fusion,threshold,advisory,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,usad_ml14_fusion,k_of_n,advisory,393,0,0.0,0,33.828754295833335,0.0,,
split_01,1,usad_ml14_fusion,cusum,advisory,393,58,0.1475826972010178,376,33.828754295833335,11.114804781514277,18.87406494827587,50.99932000000001
split_01,1,usad_itki_fusion,threshold,critical,393,11,0.027989821882951654,170,33.828754295833335,5.025310672493157,6.74502736363635,22.96894999999995
split_01,1,usad_itki_fusion,k_of_n,critical,393,83,0.21119592875318066,96,33.828754295833335,2.8378224974079007,6.780240096385539,32.057963
split_01,1,usad_itki_fusion,cusum,critical,393,44,0.11195928753180662,199,33.828754295833335,5.88256955191846,27.34555740909092,76.137128
split_01,1,usad_itki_fusion,threshold,advisory,393,11,0.027989821882951654,170,33.828754295833335,5.025310672493157,6.74502736363635,22.96894999999995
split_01,1,usad_itki_fusion,k_of_n,advisory,393,89,0.22646310432569974,649,33.828754295833335,19.184862508517995,5.130553011235953,34.552909
split_01,1,usad_itki_fusion,cusum,advisory,393,121,0.30788804071246817,1181,33.828754295833335,34.91112884832011,11.114700462809916,45.93838200000005
split_02,2,usad_score,threshold,critical,393,89,0.22646310432569974,73,34.3213765025,2.126954319407399,5.166985539325841,30.054137999999995
split_02,2,usad_score,k_of_n,critical,393,84,0.21374045801526717,72,34.3213765025,2.097817958867572,6.507745190476188,32.057963
split_02,2,usad_score,cusum,critical,393,26,0.06615776081424936,37,34.3213765025,1.0780453399736134,41.84568403846153,79.95239599999991
split_02,2,usad_score,threshold,advisory,393,98,0.24936386768447838,240,34.3213765025,6.992726529558573,3.848347551020407,33.995194
split_02,2,usad_score,k_of_n,advisory,393,90,0.22900763358778625,234,34.3213765025,6.817908366319609,5.306773433333332,36.03179799999998
split_02,2,usad_score,cusum,advisory,393,95,0.24173027989821882,414,34.3213765025,12.062453263488539,17.3713794,165.01635000000002
split_02,2,usad_ml14_fusion,threshold,critical,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,usad_ml14_fusion,k_of_n,critical,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,usad_ml14_fusion,cusum,critical,393,4,0.010178117048346057,33,34.3213765025,0.9614998978143038,59.31216175,81.08909399999999
split_02,2,usad_ml14_fusion,threshold,advisory,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,usad_ml14_fusion,k_of_n,advisory,393,0,0.0,0,34.3213765025,0.0,,
split_02,2,usad_ml14_fusion,cusum,advisory,393,30,0.07633587786259542,412,34.3213765025,12.004180542408884,22.0251224,101.96455300000001
split_02,2,usad_itki_fusion,threshold,critical,393,53,0.13486005089058525,70,34.3213765025,2.0395452377879173,3.914684094339622,20.02945299999999
split_02,2,usad_itki_fusion,k_of_n,critical,393,86,0.21882951653944022,63,34.3213765025,1.8355907140091254,7.514362988372095,63.105069
split_02,2,usad_itki_fusion,cusum,critical,393,38,0.09669211195928754,64,34.3213765025,1.8647270745489528,32.079091184210526,77.93158100000005
split_02,2,usad_itki_fusion,threshold,advisory,393,125,0.31806615776081426,596,34.3213765025,17.365270881737125,6.377116695999999,61.07983399999999
split_02,2,usad_itki_fusion,k_of_n,advisory,393,120,0.3053435114503817,498,34.3213765025,14.50990754883404,6.800810733333332,63.11327699999999
split_02,2,usad_itki_fusion,cusum,advisory,393,108,0.2748091603053435,393,34.3213765025,11.450589692152164,13.856361796296293,58.93031300000001
split_03,3,usad_score,threshold,critical,393,74,0.18829516539440203,49,34.67820707944444,1.412991158618602,8.823367972972976,72.03985499999999
split_03,3,usad_score,k_of_n,critical,393,63,0.16030534351145037,58,34.67820707944444,1.6725201469363042,9.993692460317463,73.052086
split_03,3,usad_score,cusum,critical,393,9,0.022900763358778626,31,34.67820707944444,0.893933181983197,46.10547977777779,117.98802599999999
split_03,3,usad_score,threshold,advisory,393,91,0.23155216284987276,327,34.67820707944444,9.429553242209852,5.566782835164836,62.029162000000014
