feature_a,feature_b,spearman_rho
gps_speed_calc_mps,log_gps_speed,1.0
local_xy_reset_counter_delta,local_vxy_reset_counter_delta,1.0
local_xy_valid,local_v_xy_valid,1.0
local_vxy_reset_counter_delta,local_vz_reset_counter_delta,1.0
local_xy_reset_counter_delta,local_vz_reset_counter_delta,1.0
gps_check_fail_flags_active,gps_check_fail_flags_bit_count,0.9999983221943157
vel_test_ratio_5s_mean,vel_test_ratio_5s_max,0.9999692709065663
ekf_vertical_vel_innov_5s_mean,ekf_vertical_vel_innov_5s_max,0.9998459681201998
innovation_check_flags_active,innovation_check_flags_bit_count,0.9998452004371082
ekf_vel_innov_mag,ekf_vertical_vel_innov,0.9992559940755267
hdop,vdop,0.9992331828236056
ekf_vertical_vel_innov,ekf_vertical_vel_innov_5s_mean,0.9986748509140773
hdop,hdop_5s_max,0.9986390848278408
ekf_vertical_vel_innov,ekf_vertical_vel_innov_5s_max,0.9985581118824656
ekf_vel_innov_mag,ekf_vertical_vel_innov_5s_max,0.998376208626029
ekf_vel_innov_mag,ekf_vertical_vel_innov_5s_mean,0.9983608173204129
vel_test_ratio,vel_test_ratio_5s_max,0.9982125692395507
vel_test_ratio,vel_test_ratio_5s_mean,0.9982095740157696
noise_per_ms,noise_5s_mean,0.9977233276578431
vdop,hdop_5s_max,0.9976661882266831
jamming_indicator,jamming_1s_mean,0.9975962370706061
raw_gps_eph,raw_gps_epv,0.9957947712944545
timeout_flags_active,timeout_flags_bit_count,0.9937287233696797
actuator_output_std_5s_mean,actuator_output_range_5s_mean,0.9929636205046989
jamming_1s_mean,jamming_5s_max,0.9901713901765388
jamming_indicator,jamming_5s_max,0.988753650960461
vel_test_ratio_5s_mean,vel_test_ratio_cusum_pos,0.985491500144954
vel_test_ratio_5s_max,vel_test_ratio_cusum_pos,0.9854701834814055
raw_gps_eph,s_variance_m_s,0.9848733053277527
actuator_output_std_5s_max,actuator_output_range_5s_max,0.9843626669716947
raw_gps_epv,s_variance_m_s,0.9838869376221329
actuator_output_std,actuator_output_range,0.9836606633174875
vel_test_ratio,vel_test_ratio_cusum_pos,0.9836280144117929
pos_test_ratio_5s_mean,pos_test_ratio_5s_max,0.9784362245590663
jamming_1s_mean,noise_5s_mean,0.9766369136169395
jamming_indicator,noise_5s_mean,0.9764446977502927
jamming_indicator,noise_per_ms,0.9760178805510419
noise_per_ms,jamming_1s_mean,0.9757449106854558
jamming_5s_max,noise_5s_mean,0.9749282594614631
noise_per_ms,jamming_5s_max,0.9735070217802291
ekf_alt_innov_5s_mean,ekf_alt_innov_5s_max,0.9721827428163555
satellites_used,sats_5s_min,0.9720002664327081
actuator_output_std_cusum_pos,actuator_output_range_cusum_pos,0.9694550858935632
hgt_test_ratio_5s_mean,hgt_test_ratio_5s_max,0.9648315805178455
gps_step_m,gps_speed_calc_mps,0.96328643037757
gps_step_m,log_gps_speed,0.96328643037757
gps_step_5s_max,gps_step_5s_rms,0.9619332833573231
vibe_0,vibe_1,0.9614385172110979
hdop_delta,satellites_used_delta,-0.953563380572199
vdop,jamming_indicator,0.950280912056678
vdop,jamming_5s_max,0.9499405219932283
hdop,jamming_indicator,0.9487039942218375
vdop,jamming_1s_mean,0.9484645937482512
jamming_indicator,hdop_5s_max,0.9483539046118471
hdop,jamming_5s_max,0.948302379944775
jamming_5s_max,hdop_5s_max,0.9470113975930473
hdop,jamming_1s_mean,0.9468878609429245
jamming_1s_mean,hdop_5s_max,0.9457347447672174
attitude_error_mag_5s_max,attitude_error_mag_5s_rms,0.9450928927200681
noise_per_ms,hdop_5s_max,0.9427914963198767
hdop,noise_per_ms,0.942410607596392
vdop,noise_per_ms,0.9419891431162768
noise_5s_mean,hdop_5s_max,0.9406637706475716
hdop,noise_5s_mean,0.9404011002094714
vdop,noise_5s_mean,0.9401325305226051
vdop_delta,satellites_used_delta,-0.9231467551146304
vibe_1,vibe_2,0.9166278498083087
vibe_0,vibe_2,0.9160671190070335
hdop_delta,vdop_delta,0.9137313535687993
